,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Pierre-Emerick Aubameyang,ARS,M/F,9800,4.955555555555556,1,0,5,2,9,6,114,4,5,1,0,1,4.859192825112108,6.574439461883408,0.26,0.836863525695861,0.3106838714040109,0.5747651620974201,0.18,0.4452459016426229,0.4042709867422366,0.39791434299052153,11.982924419485634,4.969593000084984,26.0,0.19230769230769232,2.304408542208776,0.4,0.9217634168835105,25.0,0.24,2.765290250650531,45.25,1.85,16.04259988866015,89.2,0.0,y,Pierre-Emerick Aubameyang
1,Patrick Bamford,LEE,F,10200,5.0,4,0,22,10,1,1,46,1,6,4,1,1,7.424000000000001,15.124,0.78,1.2284594168636722,0.634941610030053,0.7174840193339598,0.02,1.1276595744680853,0.01773584905660377,0.0183970261367682,11.520682012260838,3.936765905880813,49.0,0.4489795918367347,5.172551107545683,0.45454545454545453,2.3511595943389465,39.0,0.02564102564102564,0.23511595943389466,30.96,1.13,15.568049011478731,90.0,0.0,y,Patrick Bamford
2,Jack Harrison,LEE,M,9400,3.9,0,1,5,2,16,13,110,4,4,5,1,0,10.487179487179487,12.025641025641027,0.075,1.2284594168636722,0.061052077887505087,0.06898884801288074,0.55,1.1276595744680853,0.4877358490566037,0.5059182187611255,11.520682012260838,3.936765905880813,49.0,0.10204081632653061,1.1755797971694733,0.4,0.4702319188677893,39.0,0.3333333333333333,3.0565074726406305,30.96,1.13,13.652716981373453,87.75,0.0,y,Jack Harrison
3,Nicolas Pepe,ARS,M/F,7800,1.8555555555555556,1,0,6,3,4,0,27,2,0,0,1,0,7.997604790419161,13.386826347305389,0.2946107784431138,0.836863525695861,0.3520416046309842,0.6512769685673209,0.0,0.4452459016426229,0.0,0.0,11.982924419485634,4.969593000084984,26.0,0.23076923076923078,2.7652902506505312,0.5,1.3826451253252656,25.0,0.0,0.0,45.25,1.85,13.528249971828645,82.0,21.25,y,Nicolas Pepe
4,Kieran Tierney,ARS,D,6000,4.888888888888889,0,0,3,0,20,6,264,3,1,2,1,0,6.807272727272727,6.807272727272727,0.0,0.836863525695861,0.0,0.0,0.11999999999999998,0.4452459016426229,0.26951399116149105,0.26527622866034767,11.982924419485634,4.969593000084984,26.0,0.11538461538461539,1.3826451253252656,0.0,0.0,25.0,0.24,2.765290250650531,45.25,1.85,10.595592747937882,88.0,0.0,y,Kieran Tierney
5,Luke Ayling,LEE,D,6400,5.0,0,0,3,1,15,7,296,8,3,12,1,1,9.284,8.984,0.02,1.2284594168636722,0.01628055410333469,0.018397026136768198,0.16,1.1276595744680853,0.14188679245283017,0.1471762090941456,11.520682012260838,3.936765905880813,49.0,0.061224489795918366,0.705347878301684,0.3333333333333333,0.23511595943389466,39.0,0.1794871794871795,1.6458117160372625,30.96,1.13,10.437303069705397,90.0,0.0,y,Luke Ayling
6,Dani Ceballos,ARS,M,7200,3.388888888888889,0,0,1,0,2,7,202,4,2,6,5,0,7.359344262295083,7.359344262295083,0.0,0.836863525695861,0.0,0.0,0.08524590164262294,0.4452459016426229,0.19145802651552682,0.18844759413754963,11.982924419485634,4.969593000084984,26.0,0.038461538461538464,0.4608817084417552,0.0,0.0,25.0,0.28,3.2261719590922864,45.25,1.85,9.631291145112781,86.66666667,22.5,y,Dani Ceballos
7,Mateusz Klich,LEE,M,8000,4.844444444444444,0,2,3,2,13,11,268,4,13,9,4,2,8.042201834862386,9.9,0.02,1.2284594168636722,0.01628055410333469,0.018397026136768198,0.18000000000000002,1.1276595744680853,0.15962264150943395,0.1655732352309138,11.520682012260838,3.936765905880813,49.0,0.061224489795918366,0.705347878301684,0.6666666666666666,0.4702319188677893,39.0,0.28205128205128205,2.586275553772841,30.96,1.13,8.931265023695481,87.2,0.0,y,Mateusz Klich
8,Ezgjan Alioski,LEE,D,5400,2.611111111111111,0,0,5,2,6,3,125,3,2,3,2,0,8.693617021276596,8.693617021276596,0.06382978723404256,1.2284594168636722,0.05195921522340859,0.05871391320245171,0.12765957446808512,1.1276595744680853,0.11320754716981132,0.11742782640490343,11.520682012260838,3.936765905880813,49.0,0.10204081632653061,1.1755797971694733,0.4,0.4702319188677893,39.0,0.07692307692307693,0.705347878301684,30.96,1.13,7.6960571741545865,75.0,5.0,y,Ezgjan Alioski
9,Stuart Dallas,LEE,D,7000,4.888888888888889,1,0,4,3,7,2,293,3,6,12,4,2,6.905454545454544,8.337272727272726,0.08,1.2284594168636722,0.06512221641333876,0.07358810454707279,0.04,1.1276595744680853,0.03547169811320754,0.0367940522735364,11.520682012260838,3.936765905880813,49.0,0.08163265306122448,0.9404638377355786,0.75,0.705347878301684,39.0,0.05128205128205128,0.4702319188677893,30.96,1.13,7.424688994016998,88.0,0.0,y,Stuart Dallas
