Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ezgjan Alioski,LEE,D,5600,157,0,0,4,2,5,3,64,4,2,2,0,0,0.3,0.4,67.5,7.333333333,
Helder Costa,LEE,M/F,8000,397,2,1,8,3,5,6,102,6,5,4,1,0,0.6,0.6,79.4,,y
Ian Carlo Poveda,LEE,F,6200,90,0,0,3,1,2,1,19,3,2,2,0,0,0.2,0.1,,18,
Illan Meslier,LEE,GK,5400,450,0,0,0,0,0,1,166,2,0,0,0,0,0,0.1,90,,
Jack Harrison,LEE,M/F,9200,351,0,1,5,1,18,13,126,4,4,4,3,0,0.4,2.2,87.75,0,y
Jamie Shackleton,LEE,M/F,4600,70,0,0,0,0,1,1,19,1,1,1,1,0,0,0.1,65,14,y
Kalvin Phillips,LEE,M/F,9000,360,0,0,1,1,10,7,185,7,4,12,1,2,0,0.5,90,0,
Leif Davis,LEE,D,3600,14,0,0,0,0,0,0,5,0,1,0,0,0,0,0,,2.8,
Liam Cooper,LEE,D,3800,270,0,0,1,0,0,0,158,7,1,4,1,0,0.1,0,90,0,y
Luke Ayling,LEE,D,6400,450,0,0,4,2,12,6,259,10,2,8,1,1,0.2,0.9,90,,y
Mateusz Klich,LEE,M/F,7800,436,1,2,4,2,8,10,209,3,9,10,6,2,1,0.6,87.2,,y
Pablo Hernandez,LEE,M/F,9600,28,0,0,4,0,2,1,41,0,0,0,0,0,0.7,0,65,5.6,y
Pascal Struijk,LEE,D,3400,94,0,0,0,0,0,0,59,0,1,0,2,1,0,0,74,0,
Patrick Bamford,LEE,F,9800,429,5,1,21,10,2,3,40,2,8,1,2,1,3.6,0.5,85.8,,y
Raphael Dias Belloli,LEE,M/F,9400,17,0,0,1,0,3,0,12,1,0,0,0,0,0.1,0,,3.4,
Robin Koch,LEE,D,4000,450,0,0,3,1,0,0,259,2,7,7,2,0,0.4,0,90,,y
Rodrigo,LEE,M/F,7600,292,1,0,14,5,8,6,106,3,5,3,0,0,2,0.5,71,39.5,
Stuart Dallas,LEE,D,7000,450,0,0,6,4,9,3,250,9,4,14,4,1,0.8,0.2,90,,y
Tyler Roberts,LEE,M/F,4800,145,0,0,1,1,0,2,35,5,3,1,0,0,0.1,0.4,50,15,
Ayoze Perez,LEI,M/F,5200,214,0,0,4,1,3,2,50,1,3,4,7,1,0.2,0.1,71.33333333,0,
Caglar Soyuncu,LEI,D,3200,270,0,0,0,0,0,1,159,1,4,3,4,1,0,0.1,90,0,
Cengiz Under,LEI,M/F,10400,52,0,1,0,0,1,1,18,1,0,0,0,0,0,0.7,,10.4,
Christian Fuchs,LEI,D,3800,101,0,0,0,0,0,0,62,0,1,3,1,1,0,0,90,2.75,y
Daniel Amartey,LEI,D,3200,144,0,0,0,0,0,0,62,0,1,1,0,1,0,0,72,0,
Dennis Praet,LEI,M/F,4600,276,1,0,3,1,6,3,76,1,5,4,2,0,0.3,0.1,69,0,y
Hamza Choudhury,LEI,M/F,4000,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,,3,
Harvey Barnes,LEI,M/F,8200,433,1,1,10,5,4,2,97,7,5,2,2,0,0.8,0.1,86.6,,y
Islam Slimani,LEI,F,8400,20,0,0,1,0,1,1,8,0,0,0,0,0,0,0,,4,
James Justin,LEI,D,7200,450,1,0,2,1,13,1,178,8,3,4,4,0,0.4,0,90,,y
James Maddison,LEI,M/F,10000,158,1,0,6,2,2,1,56,6,3,1,1,1,0.3,0,84,18.5,
Jamie Vardy,LEI,F,10800,295,4,0,4,3,1,1,31,5,5,1,0,0,2.9,0.1,88,15.5,y
Jonny Evans,LEI,D,3600,349,0,0,0,0,0,0,183,4,5,2,1,3,0,0,87.25,0,
Kasper Schmeichel,LEI,GK,5200,450,0,0,0,0,0,0,136,0,0,0,0,0,0,0,90,,
Kelechi Iheanacho,LEI,F,5800,103,0,0,2,1,0,3,26,2,5,0,0,0,0,0.5,70,8.25,
Marc Albrighton,LEI,M/F,8800,14,0,0,0,0,0,1,9,0,0,0,0,0,0,0.3,65,2.8,y
Nampalys Mendy,LEI,M/F,4200,435,0,1,1,0,0,2,270,9,5,5,3,2,0,0.1,87,,y
Timothy Castagne,LEI,D,6800,450,0,2,1,1,12,5,218,1,3,5,3,1,0.2,0.4,90,,
Wes Morgan,LEI,D,3600,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.2,
Wesley Fofana,LEI,D,4400,180,0,0,0,0,0,0,70,5,1,2,1,1,0,0,90,0,y
Wilfred Ndidi,LEI,D,3800,90,0,0,0,0,0,0,49,1,0,3,0,0,0,0,90,0,
Youri Tielemans,LEI,M/F,8600,450,1,0,3,3,7,1,278,11,8,6,4,3,0.9,0,90,,y
