,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Jamie Vardy,LEI,F,10800,3.2777777777777777,4,0,4,3,1,1,31,5,5,1,0,0,3.911186440677966,16.11457627118644,0.8650847457627119,1.3600847457627119,0.6360520904729267,0.8233660162941243,0.029830508474576273,0.38371939736346516,0.0777404235478884,0.028391931596349115,12.874577780862976,3.3931459979728693,23.0,0.17391304347826086,2.2390570053674743,0.75,1.6792927540256057,11.0,0.09090909090909091,0.5597642513418686,34.78,1.2944946312210424,14.319956271728863,88.0,15.5,y,Jamie Vardy
1,Patrick Bamford,LEE,F,9800,4.766666666666667,5,1,21,10,2,3,40,2,8,1,2,1,7.594405594405593,19.02797202797203,0.72,2.127407407407407,0.3384401114206128,0.6601663777367688,0.09999999999999999,1.202857142857143,0.08313539192399047,0.09168977468566233,11.538775036870266,5.318533427845839,56.0,0.375,4.32704063882635,0.47619047619047616,2.060495542298262,43.0,0.06976744186046512,0.6181486626894787,38.1,1.9506150584979423,14.297487269295754,85.8,0.0,y,Patrick Bamford
2,Harvey Barnes,LEI,M/F,8200,4.811111111111111,1,1,10,5,4,2,97,7,5,2,2,0,6.077598152424943,9.403233256351038,0.16,1.3600847457627119,0.1176397283319833,0.15228399674405432,0.02,0.38371939736346516,0.05212142033324336,0.01903549959300679,12.874577780862976,3.3931459979728693,23.0,0.43478260869565216,5.597642513418685,0.5,2.7988212567093425,11.0,0.18181818181818182,1.1195285026837372,34.78,1.2944946312210424,13.601045237810348,86.6,0.0,y,Harvey Barnes
3,Jack Harrison,LEE,M/F,9200,3.9,0,1,5,1,18,13,126,4,4,4,3,0,10.671794871794873,12.210256410256411,0.1,2.127407407407407,0.047005571030640673,0.09168977468566233,0.55,1.202857142857143,0.4572446555819477,0.504293760771143,11.538775036870266,5.318533427845839,56.0,0.08928571428571429,1.030247771149131,0.2,0.20604955422982618,43.0,0.3023255813953488,2.678644204987741,38.1,1.9506150584979423,13.512601841850179,87.75,0.0,y,Jack Harrison
4,Stuart Dallas,LEE,D,7000,5.0,0,0,6,4,9,3,250,9,4,14,4,1,9.459999999999999,9.16,0.16,2.127407407407407,0.07520891364902507,0.14670363949705972,0.04,1.202857142857143,0.03325415676959619,0.03667590987426494,11.538775036870266,5.318533427845839,56.0,0.10714285714285714,1.236297325378957,0.6666666666666666,0.8241982169193047,43.0,0.06976744186046512,0.6181486626894787,38.1,1.9506150584979423,10.925736059203928,90.0,0.0,y,Stuart Dallas
5,Youri Tielemans,LEI,M/F,8600,5.0,1,0,3,3,7,1,278,11,8,6,4,3,6.492,7.5920000000000005,0.18,1.3600847457627119,0.1323446943734812,0.17131949633706112,0.0,0.38371939736346516,0.0,0.0,12.874577780862976,3.3931459979728693,23.0,0.13043478260869565,1.6792927540256055,1.0,1.6792927540256055,11.0,0.09090909090909091,0.5597642513418686,34.78,1.2944946312210424,9.82354472276369,90.0,0.0,y,Youri Tielemans
6,Luke Ayling,LEE,D,6400,5.0,0,0,4,2,12,6,259,10,2,8,1,1,8.616,8.315999999999999,0.04,2.127407407407407,0.018802228412256268,0.03667590987426493,0.18,1.202857142857143,0.14964370546318287,0.16504159443419222,11.538775036870266,5.318533427845839,56.0,0.07142857142857142,0.8241982169193047,0.5,0.41209910845965236,43.0,0.13953488372093023,1.2362973253789573,38.1,1.9506150584979423,9.745603316105717,90.0,0.0,y,Luke Ayling
7,Mateusz Klich,LEE,M/F,7800,4.844444444444444,1,2,4,2,8,10,209,3,9,10,6,2,7.6954128440366985,11.617431192660552,0.2,2.127407407407407,0.09401114206128135,0.18337954937132467,0.12000000000000001,1.202857142857143,0.09976247030878858,0.11002772962279482,11.538775036870266,5.318533427845839,56.0,0.07142857142857142,0.8241982169193047,0.5,0.41209910845965236,43.0,0.23255813953488372,2.0604955422982623,38.1,1.9506150584979423,9.446754739127236,87.2,0.0,y,Mateusz Klich
8,Pablo Hernandez,LEE,M/F,9600,0.75,0,0,4,0,2,1,41,0,0,0,0,0,9.626666666666667,9.626666666666667,0.674074074074074,2.127407407407407,0.31685236768802233,0.6180569997329832,0.0,1.202857142857143,0.0,0.0,11.538775036870266,5.318533427845839,56.0,0.07142857142857142,0.8241982169193047,0.0,0.0,43.0,0.023255813953488372,0.2060495542298262,38.1,1.9506150584979423,9.34859554625674,65.0,5.6,y,Pablo Hernandez
9,James Justin,LEI,D,7200,5.0,1,0,2,1,13,1,178,8,3,4,4,0,5.832,7.831999999999999,0.08,1.3600847457627119,0.05881986416599165,0.07614199837202716,0.0,0.38371939736346516,0.0,0.0,12.874577780862976,3.3931459979728693,23.0,0.08695652173913043,1.1195285026837372,0.5,0.5597642513418686,11.0,0.09090909090909091,0.5597642513418686,34.78,1.2944946312210424,8.032476989087746,90.0,0.0,y,James Justin
10,Helder Costa,LEE,M/F,8000,4.411111111111111,2,1,8,3,5,6,102,6,5,4,1,0,6.923425692695213,12.817632241813602,0.11999999999999998,2.127407407407407,0.0564066852367688,0.11002772962279478,0.11999999999999998,1.202857142857143,0.09976247030878857,0.1100277296227948,11.538775036870266,5.318533427845839,56.0,0.14285714285714285,1.6483964338386095,0.375,0.6181486626894785,43.0,0.13953488372093023,1.2362973253789573,38.1,1.9506150584979423,7.971286095871761,79.4,0.0,y,Helder Costa
11,Dennis Praet,LEI,M/F,4600,3.066666666666667,1,0,3,1,6,3,76,1,5,4,2,0,5.289130434782608,8.549999999999999,0.075,1.3600847457627119,0.05514362265561717,0.07138312347377546,0.025,0.38371939736346516,0.0651517754165542,0.02379437449125849,12.874577780862976,3.3931459979728693,23.0,0.13043478260869565,1.6792927540256055,0.3333333333333333,0.5597642513418685,11.0,0.2727272727272727,1.6792927540256055,34.78,1.2944946312210424,7.079947241078385,69.0,0.0,y,Dennis Praet
12,Liam Cooper,LEE,D,3800,3.0,0,0,1,0,0,0,158,7,1,4,1,0,5.053333333333334,5.053333333333334,0.03333333333333333,2.127407407407407,0.015668523676880226,0.030563258228554116,0.0,1.202857142857143,0.0,0.0,11.538775036870266,5.318533427845839,56.0,0.017857142857142856,0.20604955422982618,0.0,0.0,43.0,0.0,0.0,38.1,1.9506150584979423,5.231682136515367,90.0,0.0,y,Liam Cooper
13,Nampalys Mendy,LEI,M/F,4200,4.833333333333333,0,1,1,0,0,2,270,9,5,5,3,2,4.427586206896552,5.048275862068966,0.0,1.3600847457627119,0.0,0.0,0.020000000000000004,0.38371939736346516,0.052121420333243365,0.019035499593006794,12.874577780862976,3.3931459979728693,23.0,0.043478260869565216,0.5597642513418686,0.0,0.0,11.0,0.18181818181818182,1.1195285026837372,34.78,1.2944946312210424,4.873505751583647,87.0,0.0,y,Nampalys Mendy
14,Robin Koch,LEE,D,4000,5.0,0,0,3,1,0,0,259,2,7,7,2,0,3.136,3.136,0.08,2.127407407407407,0.037604456824512536,0.07335181974852986,0.0,1.202857142857143,0.0,0.0,11.538775036870266,5.318533427845839,56.0,0.05357142857142857,0.6181486626894785,0.3333333333333333,0.20604955422982618,43.0,0.0,0.0,38.1,1.9506150584979423,3.8937164144046035,90.0,0.0,y,Robin Koch
15,Jamie Shackleton,LEE,M/F,4600,0.7777777777777778,0,0,0,0,1,1,19,1,1,1,1,0,5.2457142857142856,5.2457142857142856,0.0,2.127407407407407,0.0,0.0,0.09285714285714286,1.202857142857143,0.07719714964370546,0.0851405050652579,11.538775036870266,5.318533427845839,56.0,0.0,0.0,0.0,0.0,43.0,0.023255813953488372,0.2060495542298262,38.1,1.9506150584979423,3.5768925846213735,65.0,14.0,y,Jamie Shackleton
16,Wesley Fofana,LEI,D,4400,2.0,0,0,0,0,0,0,70,5,1,2,1,1,4.2,3.45,0.0,1.3600847457627119,0.0,0.0,0.0,0.38371939736346516,0.0,0.0,12.874577780862976,3.3931459979728693,23.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,34.78,1.2944946312210424,3.45,90.0,0.0,y,Wesley Fofana
17,Christian Fuchs,LEI,D,3800,1.1222222222222222,0,0,0,0,0,0,62,0,1,3,1,1,3.7782178217821785,2.4415841584158415,0.0,1.3600847457627119,0.0,0.0,0.0,0.38371939736346516,0.0,0.0,12.874577780862976,3.3931459979728693,23.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,34.78,1.2944946312210424,2.4415841584158415,90.0,2.75,y,Christian Fuchs
18,Marc Albrighton,LEI,M/F,8800,0.75,0,0,0,0,0,1,9,0,0,0,0,0,1.5733333333333333,1.5733333333333333,0.0,1.3600847457627119,0.0,0.0,0.28888888888888886,0.38371939736346516,0.7528649603690706,0.27495721634343134,12.874577780862976,3.3931459979728693,23.0,0.0,0.0,0.0,0.0,11.0,0.09090909090909091,0.5597642513418686,34.78,1.2944946312210424,2.38284088273579,65.0,2.8,y,Marc Albrighton
