player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ezgjan Alioski,LEE,DELETE,DELETE,157.0,0.0,0.0,4.0,2.0,5.0,3.0,64.0,4.0,2.0,2.0,0.0,0.0,0.30000000000000004,0.4,DELETE,DELETE,DELETE
Helder Costa,LEE,DELETE,DELETE,397.0,2.0,1.0,8.0,3.0,5.0,6.0,102.0,6.0,5.0,4.0,1.0,0.0,0.6,0.6,DELETE,DELETE,DELETE
Illan Meslier,LEE,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,1.0,166.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Jack Harrison,LEE,DELETE,DELETE,351.0,0.0,1.0,5.0,1.0,18.0,13.0,126.0,4.0,4.0,4.0,3.0,0.0,0.4,2.2,DELETE,DELETE,DELETE
Kalvin Phillips,LEE,DELETE,DELETE,360.0,0.0,0.0,1.0,1.0,10.0,7.0,185.0,7.0,4.0,12.0,1.0,2.0,0.0,0.5,DELETE,DELETE,DELETE
Liam Cooper,LEE,DELETE,DELETE,270.0,0.0,0.0,1.0,0.0,0.0,0.0,158.0,7.0,1.0,4.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Luke Ayling,LEE,DELETE,DELETE,450.0,0.0,0.0,4.0,2.0,12.0,6.0,259.0,10.0,2.0,8.0,1.0,1.0,0.2,0.9,DELETE,DELETE,DELETE
Mateusz Klich,LEE,DELETE,DELETE,436.0,1.0,2.0,4.0,2.0,8.0,10.0,209.0,3.0,9.0,10.0,6.0,2.0,1.0,0.6000000000000001,DELETE,DELETE,DELETE
Patrick Bamford,LEE,DELETE,DELETE,429.0,5.0,1.0,21.0,10.0,2.0,3.0,40.0,2.0,8.0,1.0,2.0,1.0,3.5999999999999996,0.5,DELETE,DELETE,DELETE
Robin Koch,LEE,DELETE,DELETE,450.0,0.0,0.0,3.0,1.0,0.0,0.0,259.0,2.0,7.0,7.0,2.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Rodrigo,LEE,DELETE,DELETE,292.0,1.0,0.0,14.0,5.0,8.0,6.0,106.0,3.0,5.0,3.0,0.0,0.0,2.0,0.5,DELETE,DELETE,DELETE
Stuart Dallas,LEE,DELETE,DELETE,450.0,0.0,0.0,6.0,4.0,9.0,3.0,250.0,9.0,4.0,14.0,4.0,1.0,0.7999999999999999,0.2,DELETE,DELETE,DELETE
Tyler Roberts,LEE,DELETE,DELETE,145.0,0.0,0.0,1.0,1.0,0.0,2.0,35.0,5.0,3.0,1.0,0.0,0.0,0.1,0.4,DELETE,DELETE,DELETE
Ian Carlo Poveda,LEE,DELETE,DELETE,90.0,0.0,0.0,3.0,1.0,2.0,1.0,19.0,3.0,2.0,2.0,0.0,0.0,0.2,0.1,DELETE,DELETE,DELETE
Leif Davis,LEE,DELETE,DELETE,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Pablo Hernandez,LEE,DELETE,DELETE,28.0,0.0,0.0,4.0,0.0,2.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,DELETE,DELETE,DELETE
Pascal Struijk,LEE,DELETE,DELETE,94.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Raphael Dias Belloli,LEE,DELETE,DELETE,17.0,0.0,0.0,1.0,0.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Jamie Shackleton,LEE,DELETE,DELETE,70.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Ayoze Perez,LEI,DELETE,DELETE,214.0,0.0,0.0,4.0,1.0,3.0,2.0,50.0,1.0,3.0,4.0,7.0,1.0,0.2,0.1,DELETE,DELETE,DELETE
Caglar Soyuncu,LEI,DELETE,DELETE,270.0,0.0,0.0,0.0,0.0,0.0,1.0,159.0,1.0,4.0,3.0,4.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Dennis Praet,LEI,DELETE,DELETE,276.0,1.0,0.0,3.0,1.0,6.0,3.0,76.0,1.0,5.0,4.0,2.0,0.0,0.3,0.1,DELETE,DELETE,DELETE
Harvey Barnes,LEI,DELETE,DELETE,433.0,1.0,1.0,10.0,5.0,4.0,2.0,97.0,7.0,5.0,2.0,2.0,0.0,0.7999999999999999,0.1,DELETE,DELETE,DELETE
James Justin,LEI,DELETE,DELETE,450.0,1.0,0.0,2.0,1.0,13.0,1.0,178.0,8.0,3.0,4.0,4.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
James Maddison,LEI,DELETE,DELETE,158.0,1.0,0.0,6.0,2.0,2.0,1.0,56.0,6.0,3.0,1.0,1.0,1.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Jamie Vardy,LEI,DELETE,DELETE,295.0,4.0,0.0,4.0,3.0,1.0,1.0,31.0,5.0,5.0,1.0,0.0,0.0,2.9000000000000004,0.1,DELETE,DELETE,DELETE
Kasper Schmeichel,LEI,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Marc Albrighton,LEI,DELETE,DELETE,14.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,DELETE,DELETE,DELETE
Nampalys Mendy,LEI,DELETE,DELETE,435.0,0.0,1.0,1.0,0.0,0.0,2.0,270.0,9.0,5.0,5.0,3.0,2.0,0.0,0.1,DELETE,DELETE,DELETE
Timothy Castagne,LEI,DELETE,DELETE,450.0,0.0,2.0,1.0,1.0,12.0,5.0,218.0,1.0,3.0,5.0,3.0,1.0,0.2,0.4,DELETE,DELETE,DELETE
Wes Morgan,LEI,DELETE,DELETE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Wilfred Ndidi,LEI,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Youri Tielemans,LEI,DELETE,DELETE,450.0,1.0,0.0,3.0,3.0,7.0,1.0,278.0,11.0,8.0,6.0,4.0,3.0,0.9,0.0,DELETE,DELETE,DELETE
Christian Fuchs,LEI,DELETE,DELETE,101.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Daniel Amartey,LEI,DELETE,DELETE,144.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Jonny Evans,LEI,DELETE,DELETE,349.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,4.0,5.0,2.0,1.0,3.0,0.0,0.0,DELETE,DELETE,DELETE
Kelechi Iheanacho,LEI,DELETE,DELETE,103.0,0.0,0.0,2.0,1.0,0.0,3.0,26.0,2.0,5.0,0.0,0.0,0.0,0.0,0.5,DELETE,DELETE,DELETE
Cengiz Under,LEI,DELETE,DELETE,52.0,0.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,DELETE,DELETE,DELETE
Hamza Choudhury,LEI,DELETE,DELETE,15.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Islam Slimani,LEI,DELETE,DELETE,20.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Wesley Fofana,LEI,DELETE,DELETE,180.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
