Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aboubakar Kamara,FUL,F,4600,22,0,0,0,0,1,0,6,0,1,1,0,0,0,0,,4.4,
Ademola Lookman,FUL,F,8400,449,1,1,14,5,12,9,145,6,4,7,1,1,1.6,0.5,89.8,,y
Aleksandar Mitrovic,FUL,F,8800,393,0,2,14,3,4,6,79,3,8,4,0,1,2.2,0.6,90,33,y
Alphonse Areola,FUL,GK,5000,450,0,0,0,0,0,0,90,0,0,0,0,0,0,0,90,,
Andre-Frank Zambo Anguissa,FUL,M,4400,356,0,0,8,1,5,1,241,4,10,9,4,1,0.3,0.1,83.5,22,
Antonee Robinson,FUL,D,5400,450,0,0,0,0,25,8,254,2,3,5,6,1,0,0.7,90,,y
Bobby Reid,FUL,M/F,6200,240,2,0,8,4,4,2,77,1,3,1,1,2,1.8,0,74.33333333,8.5,y
Harrison Reed,FUL,M,4200,237,0,1,1,0,1,4,195,1,4,2,2,1,0,0.3,90,19,y
Ivan Cavaleiro,FUL,M/F,6600,187,0,0,4,2,2,4,65,0,4,0,1,1,0.2,0.2,90,2.333333333,
Joachim Andersen,FUL,D,3400,270,0,0,1,0,0,0,119,4,4,0,1,0,0,0,90,0,y
Joe Bryan,FUL,D,6800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Mario Lemina,FUL,M,4000,201,0,0,1,0,1,1,123,1,4,6,2,0,0,0.1,63.66666667,5,y
Ola Aina,FUL,D,5600,450,1,0,2,1,14,4,257,5,5,6,8,0,0.1,0.2,90,,y
Ruben Loftus-Cheek,FUL,M,5000,194,1,0,4,2,1,2,105,5,3,4,2,1,0.2,0,76.5,13.66666667,
Tim Ream,FUL,D,3400,180,0,0,0,0,0,0,104,0,1,0,2,0,0,0,90,0,
Tom Cairney,FUL,M,8200,417,1,1,8,3,13,15,284,10,0,3,1,0,0.5,1.4,83.4,,y
Tosin Adarabioyo,FUL,D,3200,450,0,0,3,0,0,1,223,1,2,3,3,0,0.1,0,90,,y
Ayoze Perez,LEI,M/F,4800,90,0,0,3,1,1,2,18,1,1,4,4,1,0.1,0.1,90,0,
Cengiz Under,LEI,M,10400,65,0,2,1,0,2,2,21,1,0,2,2,0,0,1.6,,13,
Christian Fuchs,LEI,D,3800,331,0,0,2,0,0,0,170,1,3,6,2,1,0,0,82.75,0,y
Dennis Praet,LEI,M,5400,296,0,0,0,0,8,1,95,1,5,2,3,0,0,0,66.75,29,
Hamza Choudhury,LEI,M,4600,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,2.6,
Harvey Barnes,LEI,M,8600,314,1,0,9,5,0,1,56,5,3,3,3,0,1.4,0,73.75,19,y
Islam Slimani,LEI,F,9800,20,0,0,1,0,1,1,8,0,0,0,0,0,0,0,,4,
James Justin,LEI,D,5800,450,0,0,1,0,11,2,146,3,6,1,6,1,0,0.1,90,,y
James Maddison,LEI,M,10000,296,0,0,7,1,3,8,114,13,4,4,4,1,0.3,0.4,81.66666667,25.5,y
Jamie Vardy,LEI,F,11600,295,3,1,9,6,3,4,30,4,3,0,1,0,4.4,1.1,88,15.5,y
Jonny Evans,LEI,D,3600,360,0,0,1,0,0,0,169,2,5,0,1,3,0.1,0,90,0,y
Kasper Schmeichel,LEI,GK,7600,450,0,0,0,0,0,0,119,1,0,0,0,0,0,0,90,,
Kelechi Iheanacho,LEI,F,6000,70,0,0,1,1,0,2,12,2,5,0,0,0,0,0.2,70,0,
Luke Thomas,LEI,D,5200,135,0,0,1,1,0,0,21,1,2,2,4,1,0.1,0,67.5,0,y
Marc Albrighton,LEI,M,7800,231,0,0,1,0,9,4,79,4,1,6,2,0,0.1,0.8,90,17,
Nampalys Mendy,LEI,M,4600,437,0,0,0,0,0,1,209,7,1,4,1,1,0,0.2,87.4,,y
Timothy Castagne,LEI,D,7000,180,0,0,1,1,2,1,71,1,3,0,1,1,0.2,0,90,0,
Wes Morgan,LEI,D,3800,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,3.4,
Wesley Fofana,LEI,D,5200,450,0,0,1,0,0,1,176,7,3,8,8,2,0.1,0,90,,y
Youri Tielemans,LEI,M,9000,450,2,0,6,4,2,1,229,8,5,6,2,2,1.5,0,90,,y
