,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Jamie Vardy,LEI,F,11600,3.2777777777777777,3,1,9,6,3,4,30,4,3,0,1,0,7.535593220338984,18.51864406779661,1.3125423728813561,2.11913429920596,0.6193766829092267,0.9096103175729644,0.32813559322033903,0.49849595358520393,0.6582512673580878,0.2274025793932411,14.827936081700495,5.312407047494219,37.0,0.24324324324324326,3.6067952631163367,0.6666666666666666,2.404530175410891,18.0,0.2222222222222222,1.603020116940594,63.29,1.4685898624735172,19.775203190607762,88.0,15.5,y,Jamie Vardy
1,James Maddison,LEI,M,10000,3.2888888888888888,0,0,7,1,3,8,114,13,4,4,4,1,11.365540540540541,10.90945945945946,0.08277027027364864,2.11913429920596,0.03905852984620308,0.05736096097525315,0.11036036036486487,0.49849595358520393,0.2213866723915179,0.07648128130033754,14.827936081700495,5.312407047494219,37.0,0.1891891891891892,2.8052852046460397,0.14285714285714285,0.4007550292351485,18.0,0.4444444444444444,3.206040233881188,63.29,1.4685898624735172,12.929487675450716,81.66666667,25.5,y,James Maddison
2,Tom Cairney,FUL,M,8200,4.633333333333334,1,1,8,3,13,15,284,10,0,3,1,0,11.715107913669064,15.168345323741006,0.1,1.52131679386813,0.06573252882178342,0.07062891069808855,0.27999999999999997,0.8430035893278718,0.3321456795020819,0.19776094995464796,9.011118324503673,2.9773155512825236,52.0,0.15384615384615385,1.3863258960774882,0.375,0.5198722110290581,50.0,0.3,2.5993610551452906,14.29,1.0744894797761455,12.05441396896061,83.4,0.0,y,Tom Cairney
3,Ademola Lookman,FUL,F,8400,4.988888888888889,1,1,14,5,12,9,145,6,4,7,1,1,10.1826280623608,13.089086859688196,0.32,1.52131679386813,0.21034409222970693,0.22601251423388338,0.09999999999999999,0.8430035893278718,0.11862345696502925,0.07062891069808856,9.011118324503673,2.9773155512825236,52.0,0.2692307692307692,2.4260703181356043,0.35714285714285715,0.8664536850484301,50.0,0.18,1.5596166330871744,14.29,1.0744894797761455,11.796039242798575,89.8,0.0,y,Ademola Lookman
4,Harvey Barnes,LEI,M,8600,3.488888888888889,1,0,9,5,0,1,56,5,3,3,3,0,6.913375796178344,9.779617834394905,0.32882165605095537,2.11913429920596,0.1551679174718492,0.22787803058028505,0.0,0.49849595358520393,0.0,0.0,14.827936081700495,5.312407047494219,37.0,0.24324324324324326,3.6067952631163367,0.5555555555555556,2.0037751461757427,18.0,0.05555555555555555,0.4007550292351485,63.29,1.4685898624735172,10.432143960890587,73.75,19.0,y,Harvey Barnes
5,Youri Tielemans,LEI,M,9000,5.0,2,0,6,4,2,1,229,8,5,6,2,2,5.896,9.296,0.3,2.11913429920596,0.14156724286535782,0.20790421773039086,0.0,0.49849595358520393,0.0,0.0,14.827936081700495,5.312407047494219,37.0,0.16216216216216217,2.404530175410891,0.6666666666666666,1.603020116940594,18.0,0.05555555555555555,0.4007550292351485,63.29,1.4685898624735172,9.583347498890543,90.0,0.0,y,Youri Tielemans
6,Aleksandar Mitrovic,FUL,F,8800,4.366666666666666,0,2,14,3,4,6,79,3,8,4,0,1,6.957251908396948,9.361832061068702,0.5038167938931298,1.52131679386813,0.3311715192547867,0.3558403134407515,0.13740458015267176,0.8430035893278718,0.16299406300538372,0.09704735821111406,9.011118324503673,2.9773155512825236,52.0,0.2692307692307692,2.4260703181356043,0.21428571428571427,0.519872211029058,50.0,0.12,1.0397444220581162,14.29,1.0744894797761455,9.472939120393162,90.0,33.0,y,Aleksandar Mitrovic
7,Antonee Robinson,FUL,D,5400,5.0,0,0,0,0,25,8,254,2,3,5,6,1,7.816,7.516,0.0,1.52131679386813,0.0,0.0,0.13999999999999999,0.8430035893278718,0.16607283975104095,0.09888047497732398,9.011118324503673,2.9773155512825236,52.0,0.0,0.0,0.0,0.0,50.0,0.16,1.3863258960774882,14.29,1.0744894797761455,7.8956087459414315,90.0,0.0,y,Antonee Robinson
8,Bobby Reid,FUL,M/F,6200,2.6666666666666665,2,0,8,4,4,2,77,1,3,1,1,2,7.2525,13.6275,0.5574999999750001,1.52131679386813,0.3664588481650095,0.39375617712418653,0.0,0.8430035893278718,0.0,0.0,9.011118324503673,2.9773155512825236,52.0,0.15384615384615385,1.3863258960774882,0.5,0.6931629480387441,50.0,0.04,0.34658147401937206,14.29,1.0744894797761455,7.08838208934497,74.33333333,8.5,y,Bobby Reid
9,Ola Aina,FUL,D,5600,5.0,1,0,2,1,14,4,257,5,5,6,8,0,6.888,8.888,0.02,1.52131679386813,0.013146505764356683,0.014125782139617711,0.04,0.8430035893278718,0.047449382786011705,0.028251564279235426,9.011118324503673,2.9773155512825236,52.0,0.038461538461538464,0.34658147401937206,0.5,0.17329073700968603,50.0,0.08,0.6931629480387441,14.29,1.0744894797761455,7.011802366139391,90.0,0.0,y,Ola Aina
