Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ayoze Perez,LEI,M/F,5600,153,0,0,3,1,2,2,33,1,2,4,5,1,0.1,0.1,76.5,0,
Caglar Soyuncu,LEI,D,3000,180,0,0,0,0,0,0,101,0,4,1,3,1,0,0,90,0,
Cengiz Under,LEI,M/F,9600,72,0,2,0,0,1,2,21,1,0,1,0,0,0,1.6,,14.4,
Christian Fuchs,LEI,D,3200,191,0,0,0,0,0,0,98,0,2,6,2,1,0,0,90,3.666666667,y
Daniel Amartey,LEI,D,3000,144,0,0,0,0,0,0,62,0,1,1,0,1,0,0,72,0,
Dennis Praet,LEI,M,5000,256,0,0,0,0,5,1,50,1,5,2,2,0,0,0,64,0,y
Hamza Choudhury,LEI,M,4400,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,,3,
Harvey Barnes,LEI,M,8400,414,1,0,8,5,1,0,77,7,3,3,4,0,1.1,0,82.8,,
Islam Slimani,LEI,F,8800,20,0,0,1,0,1,1,8,0,0,0,0,0,0,0,,4,
James Justin,LEI,D,5400,450,0,0,0,0,10,1,139,4,1,4,7,0,0,0,90,,y
James Maddison,LEI,M,9400,157,1,0,6,2,1,2,52,7,2,1,1,1,0.3,0,84,18.25,y
Jamie Vardy,LEI,F,10800,289,5,1,8,5,1,2,28,6,4,1,0,0,4.2,0.8,81.75,31,y
Jonny Evans,LEI,D,3000,349,0,0,0,0,0,0,183,4,5,2,1,3,0,0,87.25,0,y
Kasper Schmeichel,LEI,GK,7000,450,0,0,0,0,0,0,128,0,0,0,0,0,0,0,90,,
Kelechi Iheanacho,LEI,F,6200,103,0,0,2,1,0,3,26,2,5,0,0,0,0,0.5,70,8.25,
Luke Thomas,LEI,D,4800,90,0,0,1,1,0,0,11,1,1,2,4,1,0.1,0,90,0,y
Marc Albrighton,LEI,M,8000,96,0,0,0,0,4,2,23,2,1,3,1,0,0,0.5,90,1.5,
Nampalys Mendy,LEI,M,4000,435,0,1,1,0,0,3,219,7,4,5,3,1,0,0.3,87,,y
Timothy Castagne,LEI,D,7200,360,0,1,1,1,6,3,162,1,3,3,2,1,0.2,0.1,90,0,
Wes Morgan,LEI,D,3200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.2,
Wesley Fofana,LEI,D,4200,270,0,0,0,0,0,0,92,5,1,3,3,1,0,0,90,0,y
Youri Tielemans,LEI,M,9000,450,3,0,3,3,4,0,233,11,7,7,3,3,2.3,0,90,,y
Adama Traore,WOL,M/F,10400,134,0,0,1,1,10,2,28,1,1,0,0,0,0.1,0.1,61,18.25,
Conor Coady,WOL,D,3400,450,0,0,0,0,0,0,241,2,5,4,2,1,0,0,90,,y
Daniel Podence,WOL,M/F,9200,276,1,0,8,5,6,3,90,3,2,3,1,0,0.9,0.1,69,0,y
Fabio Silva,WOL,F,8200,30,0,0,2,0,0,1,18,1,0,0,1,0,0.1,0,,6,
Fernando Marcal,WOL,M,8600,25,0,0,1,0,1,1,15,0,3,0,0,0,0,0.1,,5,
Joao Moutinho,WOL,M,7600,196,0,0,2,0,1,2,121,3,3,5,3,1,0,0.1,76.5,14.33333333,
Ki-Jana Hoever,WOL,D,5000,31,0,0,0,0,2,1,19,1,0,1,1,0,0,0,,6.2,
Leander Dendoncker,WOL,M,3800,360,0,0,5,1,1,6,144,1,8,6,1,0,0.4,0.2,90,0,y
Max Kilman,WOL,D,3600,360,0,1,0,0,0,2,192,0,4,3,4,0,0,0.4,90,0,y
Nelson Semedo,WOL,D,5200,419,0,0,4,1,11,3,237,4,5,4,6,0,0.4,0.1,83.8,,y
Pedro Neto,WOL,M/F,9800,424,1,1,10,2,14,9,171,9,7,7,4,0,0.5,1.1,84.8,,y
Raul Jimenez,WOL,F,10200,449,2,0,14,6,1,5,109,6,6,3,2,0,0.9,0.4,89.8,,y
Rayan Ait Nouri,WOL,D,4600,90,1,0,2,1,1,0,50,1,2,1,1,0,0.1,0,90,0,y
Romain Saiss,WOL,D,4400,337,0,0,1,0,8,1,186,3,4,2,3,0,0,0.1,84.25,0,
Ruben Neves,WOL,M,6000,361,0,0,11,2,0,6,289,2,6,11,1,1,0.5,0.3,88,9,y
Rui Patricio,WOL,GK,5800,450,0,0,0,0,0,0,61,0,0,0,0,0,0,0,90,,
Vitinha,WOL,M,6400,18,0,0,0,0,0,1,22,0,1,0,0,0,0,0,,3.6,
Willy Boly,WOL,D,4400,450,0,0,2,0,0,0,207,2,3,5,1,0,0.2,0,90,,y
