Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ayoze Perez,LEI,M/F,4000,153,0,0,3,1,2,2,33,1,1,4,5,1,0.1,0.1,76.5,0,
Caglar Soyuncu,LEI,D,3200,90,0,0,0,0,0,0,80,0,3,0,3,0,0,0,90,0,
Cengiz Under,LEI,M,9400,72,0,2,0,0,1,2,21,1,0,1,0,0,0,1.6,,14.4,
Christian Fuchs,LEI,D,3600,270,0,0,2,0,0,0,146,1,3,6,1,1,0,0,90,0,y
Daniel Amartey,LEI,D,3000,54,0,0,0,0,0,0,43,0,0,1,0,0,0,0,54,0,
Dennis Praet,LEI,M,4800,267,0,0,0,0,6,0,81,1,5,2,2,0,0,0,66.75,0,
Hamza Choudhury,LEI,M,3600,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,,3,
Harvey Barnes,LEI,M,9200,343,1,0,7,3,1,0,70,7,4,3,3,0,1.1,0,81,19,y
Islam Slimani,LEI,F,9000,20,0,0,1,0,1,1,8,0,0,0,0,0,0,0,,4,
James Justin,LEI,D,5600,450,0,0,0,0,13,2,162,3,3,2,5,0,0,0.1,90,,y
James Maddison,LEI,M,8800,206,0,0,6,1,3,4,89,8,4,2,1,1,0.3,0.1,77.5,17,y
Jamie Vardy,LEI,F,10400,295,3,1,8,5,1,2,33,4,4,0,0,0,4.1,0.8,88,15.5,y
Jonny Evans,LEI,D,3200,360,0,0,1,0,0,0,190,3,5,0,0,4,0.1,0,90,0,y
Kasper Schmeichel,LEI,GK,5400,450,0,0,0,0,0,0,118,0,0,0,0,0,0,0,90,,
Kelechi Iheanacho,LEI,F,5000,97,0,0,2,1,0,3,24,2,5,0,0,0,0,0.5,70,6.75,
Luke Thomas,LEI,D,4400,135,0,0,1,1,0,0,21,1,2,2,4,1,0.1,0,67.5,0,
Marc Albrighton,LEI,M,8400,141,0,0,0,0,6,3,40,3,1,4,1,0,0,0.5,90,12.75,y
Nampalys Mendy,LEI,M,4000,435,0,0,1,0,0,1,258,6,3,5,2,1,0,0.2,87,,y
Timothy Castagne,LEI,D,5800,270,0,0,1,1,4,2,139,1,3,2,2,1,0.2,0,90,0,
Wes Morgan,LEI,D,3000,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,3.4,
Wesley Fofana,LEI,D,4200,360,0,0,0,0,0,1,137,5,2,6,4,2,0,0,90,0,y
Youri Tielemans,LEI,M,8200,450,2,0,5,3,5,1,273,8,6,7,3,2,1.5,0,90,,y
Adrian,LIV,GK,6600,180,0,0,0,0,0,0,43,0,0,0,0,0,0,0,90,0,
Alisson,LIV,GK,6800,270,0,0,0,0,0,0,77,1,0,0,0,0,0,0,90,0,
Andrew Robertson,LIV,D,7800,450,0,1,3,1,21,8,315,2,2,4,2,0,0.1,0.8,90,,y
Curtis Jones,LIV,M,6400,99,0,0,1,0,1,0,93,2,2,2,0,0,0,0,69,7.5,y
Diogo Jota,LIV,M/F,7600,296,2,0,10,6,2,2,105,6,7,3,1,0,1.4,0.2,87.33333333,17,y
Fabinho,LIV,M,3800,269,0,0,2,0,0,1,172,4,1,7,2,1,0,0.1,89.66666667,0,y
Georginio Wijnaldum,LIV,M,4600,361,0,0,2,0,0,1,236,8,1,5,1,0,0.1,0.3,90,1,y
James Milner,LIV,M,7400,60,0,0,0,0,1,1,26,1,2,1,0,0,0,0,65,12,y
Joe Gomez,LIV,D,3400,410,0,0,0,0,0,0,327,4,5,3,1,0,0,0,82,,
Joel Matip,LIV,D,3800,180,0,0,1,1,0,0,90,4,1,2,1,1,0.1,0,90,0,y
Jordan Henderson,LIV,M,5000,360,0,0,6,0,4,2,308,1,2,4,2,0,0.6,0.3,90,0,
Mohamed Salah,LIV,M/F,11000,449,5,0,15,7,5,10,133,8,2,2,0,0,3.4,1,89.8,,
Naby Keita,LIV,M,4200,45,0,0,2,0,0,0,29,0,1,0,0,0,0.2,0,45,0,y
Nathaniel Phillips,LIV,D,3000,90,0,0,0,0,0,1,70,0,3,0,0,0,0,0,90,0,
Roberto Firmino,LIV,M/F,6000,353,1,1,9,3,4,4,117,3,5,3,1,0,1.4,0.7,70.6,,y
Sadio Mane,LIV,M/F,9800,360,1,1,8,4,6,7,93,17,10,6,1,1,1.6,0.7,90,0,y
Takumi Minamino,LIV,M/F,7000,53,0,0,1,0,0,0,18,1,0,0,0,0,0,0,,10.6,
Thiago Alcantara,LIV,M/F,8600,90,0,0,2,0,0,3,66,2,1,4,2,0,0,0.2,90,0,
Trent Alexander-Arnold,LIV,D,8000,422,0,0,8,3,15,6,334,1,1,6,0,0,0.6,0.7,84.4,,
Xherdan Shaqiri,LIV,M/F,6200,53,0,1,0,0,0,1,24,2,1,2,0,0,0,0.6,,10.6,
