,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Sadio Mane,LIV,M/F,9800,4.0,1,1,8,4,6,7,93,17,10,6,1,1,10.89,14.515,0.4,1.3213271443030683,0.30272593863269137,0.6296699523559981,0.175,0.6421345861086423,0.27252853807564864,0.27548060415574915,12.81938805091781,4.881742077056874,38.0,0.21052631578947367,2.6988185370353284,0.5,1.3494092685176642,24.0,0.2916666666666667,2.361466219905912,50.76,2.08,20.12427717395338,90.0,0.0,y,Sadio Mane
1,Diogo Jota,LIV,M/F,7600,3.2888888888888888,2,0,10,6,2,2,105,6,7,3,1,0,8.361486486486486,14.442567567567568,0.4130630630472973,1.3213271443030683,0.3126122586887191,0.6502334980725358,0.05900900900675676,0.6421345861086423,0.0918950797594526,0.092890499724648,12.81938805091781,4.881742077056874,38.0,0.2631578947368421,3.3735231712941602,0.6,2.024113902776496,24.0,0.08333333333333333,0.674704634258832,50.76,2.08,15.93494761522368,87.33333333,17.0,y,Diogo Jota
2,Jamie Vardy,LEI,F,10400,3.2777777777777777,3,1,8,5,1,2,33,4,4,0,0,0,5.60135593220339,16.584406779661016,1.223050847457627,1.9206816889759264,0.6367795634630827,0.6654346438189214,0.23864406779661018,0.6554143631901239,0.3641117454842591,0.1298409061110091,9.889312860946884,3.7907176325500056,30.0,0.26666666666666666,2.6371500962525025,0.625,1.6482188101578141,14.0,0.14285714285714285,0.6592875240631255,17.24,1.045,13.380353390074474,88.0,15.5,y,Jamie Vardy
3,Roberto Firmino,LIV,M/F,6000,3.922222222222222,1,1,9,3,4,4,117,3,5,3,1,0,6.409631728045326,10.488951841359773,0.27999999999999997,1.3213271443030683,0.21190815704288393,0.44076896664919857,0.13999999999999999,0.6421345861086423,0.2180228304605189,0.22038448332459934,12.81938805091781,4.881742077056874,38.0,0.23684210526315788,3.0361708541647445,0.3333333333333333,1.012056951388248,24.0,0.16666666666666666,1.349409268517664,50.76,2.08,12.955633640510237,70.6,0.0,y,Roberto Firmino
4,Andrew Robertson,LIV,D,7800,5.0,0,1,3,1,21,8,315,2,2,4,2,0,7.8,9.0,0.02,1.3213271443030683,0.015136296931634569,0.0314834976177999,0.16,0.6421345861086423,0.2491689490977359,0.25186798094239926,12.81938805091781,4.881742077056874,38.0,0.07894736842105263,1.012056951388248,0.3333333333333333,0.337352317129416,24.0,0.3333333333333333,2.698818537035328,50.76,2.08,11.274270667385387,90.0,0.0,y,Andrew Robertson
5,Marc Albrighton,LEI,M,8400,1.5666666666666667,0,0,0,0,6,3,40,3,1,4,1,0,9.574468085106384,9.574468085106384,0.0,1.9206816889759264,0.0,0.0,0.3191489361702128,0.6554143631901239,0.4869422369946345,0.17364180655863615,9.889312860946884,3.7907176325500056,30.0,0.0,0.0,0.0,0.0,14.0,0.21428571428571427,0.9889312860946883,17.24,1.045,9.690356593531611,90.0,12.75,y,Marc Albrighton
6,Youri Tielemans,LEI,M,8200,5.0,2,0,5,3,5,1,273,8,6,7,3,2,6.292,9.692,0.3,1.9206816889759264,0.15619454369867747,0.16322329816511794,0.0,0.6554143631901239,0.0,0.0,9.889312860946884,3.7907176325500056,30.0,0.16666666666666666,1.648218810157814,0.6,0.9889312860946883,14.0,0.07142857142857142,0.32964376203156276,17.24,1.045,8.491026839935245,90.0,0.0,y,Youri Tielemans
7,James Maddison,LEI,M,8800,2.2888888888888888,0,0,6,1,3,4,89,8,4,2,1,1,10.214563106796117,9.559223300970874,0.11286407766990292,1.9206816889759264,0.05876251037207527,0.06140682333881865,0.03762135922330098,0.6554143631901239,0.0574008769661151,0.020468941112939558,9.889312860946884,3.7907176325500056,30.0,0.2,1.9778625721893768,0.16666666666666666,0.32964376203156276,14.0,0.2857142857142857,1.318575048126251,17.24,1.045,8.45616714590816,77.5,17.0,y,James Maddison
8,Harvey Barnes,LEI,M,9200,3.811111111111111,1,0,7,3,1,0,70,7,4,3,3,0,5.667638483965015,8.291545189504372,0.25976676384839653,1.9206816889759264,0.1352471704912747,0.14133329316338203,0.0,0.6554143631901239,0.0,0.0,9.889312860946884,3.7907176325500056,30.0,0.23333333333333334,2.3075063342209394,0.42857142857142855,0.9889312860946883,14.0,0.0,0.0,17.24,1.045,7.449129152532539,81.0,19.0,y,Harvey Barnes
9,Georginio Wijnaldum,LIV,M,4600,4.011111111111111,0,0,2,0,0,1,236,8,1,5,1,0,5.165650969529086,5.165650969529086,0.024930747922437674,1.3213271443030683,0.018867960164087413,0.03924535714130182,0.07479224376731301,0.6421345861086423,0.1164744048760192,0.11773607142390546,12.81938805091781,4.881742077056874,38.0,0.05263157894736842,0.6747046342588321,0.0,0.0,24.0,0.041666666666666664,0.337352317129416,50.76,2.08,6.528655483200654,90.0,1.0,y,Georginio Wijnaldum
