Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ashley Barnes,BUR,F,5800,305,0,0,7,3,0,4,57,7,9,0,1,0,0.7,0.2,76.25,0,
Ashley Westwood,BUR,M,6000,450,0,0,3,2,4,4,206,5,2,3,2,1,0.1,0.5,90,,y
Ben Mee,BUR,D,3200,180,0,0,1,0,0,0,65,2,0,0,1,0,0.1,0,90,0,y
Charlie Taylor,BUR,D,5200,450,0,0,0,0,9,2,171,3,2,4,1,1,0,0,90,,y
Chris Wood,BUR,F,6400,442,1,0,9,5,0,4,64,6,7,2,0,0,1.9,0.2,88.4,,y
Dale Stephens,BUR,M,3800,45,0,0,0,0,0,0,7,1,1,1,0,0,0,0,45,0,
Dwight McNeil,BUR,M/F,8800,450,0,0,4,0,15,5,128,9,1,6,3,0,0.3,0.3,90,,y
Erik Pieters,BUR,M,5400,97,0,0,0,0,1,0,29,2,6,1,0,0,0,0,90,1.75,
James Tarkowski,BUR,D,3400,450,0,0,5,1,0,1,131,3,5,8,3,0,0.4,0,90,,y
Jay Rodriguez,BUR,M/F,6800,177,0,0,3,0,1,2,35,4,3,0,1,1,0.1,0.4,90,21.75,y
Johann Berg Gudmundsson,BUR,M/F,4400,217,0,0,4,2,4,2,59,1,2,1,0,0,0.4,0,72.33333333,0,y
Josh Brownhill,BUR,M,3000,450,0,0,2,0,0,3,193,4,6,10,5,1,0.1,0.1,90,,y
Kevin Long,BUR,D,3400,270,0,0,0,0,0,0,74,2,5,3,1,2,0,0,90,0,
Matej Vydra,BUR,F,4000,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,
Matthew Lowton,BUR,D,3800,360,0,0,1,0,5,1,134,2,3,2,3,1,0,0.2,90,0,y
Nick Pope,BUR,GK,4000,450,0,0,0,0,0,0,92,0,0,0,0,0,0,0,90,,
Robbie Brady,BUR,M,3600,147,0,0,1,0,3,0,41,3,2,2,0,0,0.1,0,90,14.25,
Aymeric Laporte,MCI,D,4200,270,0,0,1,0,0,2,222,2,3,1,1,1,0.1,0.2,90,0,y
Bernardo Silva,MCI,M/F,8000,348,0,0,1,1,2,0,217,3,4,4,2,0,0.1,0,79.5,30,
Ederson,MCI,GK,7200,450,0,0,0,0,0,0,126,1,0,0,0,0,0,0,90,,
Eric Garcia,MCI,D,3000,90,0,0,1,0,0,0,99,0,0,1,0,0,0,0,90,0,
Fernandinho,MCI,M,4600,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0.4,
Ferran Torres,MCI,M,6600,230,0,0,9,4,4,1,54,2,3,1,0,1,1.1,0,76.66666667,0,y
Gabriel Jesus,MCI,F,10400,180,1,0,5,1,1,2,35,5,4,2,1,0,1,0.1,90,0,y
Ilkay Gundogan,MCI,M,5000,212,0,0,2,0,3,4,179,2,2,1,1,0,0.1,0.2,90,10.66666667,
Joao Cancelo,MCI,D,7600,450,0,1,3,0,12,15,323,5,10,7,9,1,0.1,1.4,90,,y
Kevin De Bruyne,MCI,M,12400,293,0,2,13,2,14,10,141,8,3,0,1,0,1.3,1.2,90,11.5,y
Kyle Walker,MCI,D,5600,437,1,0,2,2,4,2,333,3,10,8,3,1,0,0.1,87.4,,y
Nathan Ake,MCI,D,3400,90,0,0,0,0,0,0,70,1,0,1,0,1,0,0,90,0,
Oleksandr Zinchenko,MCI,D,6200,13,0,0,0,0,1,0,8,0,0,0,0,0,0,0,,2.6,
Phil Foden,MCI,M,9000,162,1,0,6,4,2,0,72,4,2,0,2,0,0.8,0,88,18.5,y
Raheem Sterling,MCI,M/F,8400,379,1,0,7,3,6,3,139,7,5,2,2,1,1.1,0.5,90,19,y
Riyad Mahrez,MCI,M/F,9400,335,0,0,11,6,8,6,154,4,5,6,0,0,0.5,0.5,83.75,0,
Rodri,MCI,M,4800,450,0,0,6,2,0,5,368,3,7,8,1,1,0.2,0.2,90,,y
Ruben Dias,MCI,D,3600,450,0,0,2,2,0,1,426,7,7,2,3,2,0.2,0,90,,y
Sergio Aguero,MCI,F,7800,109,0,0,1,0,1,3,28,2,0,0,0,0,0.2,0.6,54.5,0,
