,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Kevin De Bruyne,MCI,M,12400,3.2555555555555555,0,2,13,2,14,10,141,8,3,0,1,0,13.70580204778157,17.391808873720137,0.3993174061433447,2.0950990277104777,0.19059595792935782,0.3480942161858007,0.36860068259385664,0.9440008584953519,0.39046646968242305,0.32131773801766217,16.498789744667697,6.073118440391886,54.0,0.24074074074074073,3.971930864457038,0.15384615384615385,0.6110662868395443,41.0,0.24390243902439024,3.0553314341977216,84.75,1.8263462665604786,19.073798335867842,90.0,11.5,y,Kevin De Bruyne
1,Joao Cancelo,MCI,D,7600,5.0,0,1,3,0,12,15,323,5,10,7,9,1,8.872,9.772,0.02,2.0950990277104777,0.009546088149282367,0.01743446245169908,0.27999999999999997,0.9440008584953519,0.296609899747648,0.24408247432378707,16.498789744667697,6.073118440391886,54.0,0.05555555555555555,0.9165994302593164,0.0,0.0,41.0,0.36585365853658536,4.582997151296582,84.75,1.8263462665604786,12.110436052015611,90.0,0.0,y,Joao Cancelo
2,Phil Foden,MCI,M,9000,1.8,1,0,6,4,2,0,72,4,2,0,2,0,9.355555555555556,14.911111111111111,0.4345679012345679,2.0950990277104777,0.20742117460169093,0.3788228878393874,0.0,0.9440008584953519,0.0,0.0,16.498789744667697,6.073118440391886,54.0,0.1111111111111111,1.833198860518633,0.6666666666666666,1.2221325736790885,41.0,0.0,0.0,84.75,1.8263462665604786,10.55911586814715,88.0,18.5,y,Phil Foden
3,Gabriel Jesus,MCI,F,10400,2.0,1,0,5,1,1,2,35,5,4,2,1,0,7.449999999999999,12.45,0.5,2.0950990277104777,0.23865220373205917,0.435861561292477,0.05,0.9440008584953519,0.05296605352636572,0.0435861561292477,16.498789744667697,6.073118440391886,54.0,0.09259259259259259,1.5276657170988608,0.2,0.30553314341977217,41.0,0.04878048780487805,0.6110662868395443,84.75,1.8263462665604786,10.514397697058435,90.0,0.0,y,Gabriel Jesus
4,Raheem Sterling,MCI,M/F,8400,4.211111111111111,1,0,7,3,6,3,139,7,5,2,2,1,6.525593667546174,8.544063324538259,0.2612137203166227,2.0950990277104777,0.12467845999722353,0.22770603993643918,0.11873350923482849,0.9440008584953519,0.12577690811010328,0.10350274542565416,16.498789744667697,6.073118440391886,54.0,0.12962962962962962,2.1387320039384052,0.42857142857142855,0.9165994302593164,41.0,0.07317073170731707,0.9165994302593164,84.75,1.8263462665604786,9.952329636111504,90.0,19.0,y,Raheem Sterling
5,Chris Wood,BUR,F,6400,4.911111111111111,1,0,9,5,0,4,64,6,7,2,0,0,4.842081447963801,6.878280542986425,0.38,0.7941807909543076,0.4784804723662259,0.5212373324186668,0.04000000000000001,0.4733898305084746,0.08449695667740782,0.05486708762301758,5.405930341178203,2.3226536970734126,32.0,0.28125,1.5204179084563696,0.5555555555555556,0.8446766158090943,24.0,0.16666666666666666,0.6757412926472753,4.76,1.0893596761451847,9.738411666837514,88.4,0.0,y,Chris Wood
6,Ferran Torres,MCI,M,6600,2.5555555555555554,0,0,9,4,4,1,54,2,3,1,0,1,7.583478260869567,6.996521739130436,0.3666666666826088,2.0950990277104777,0.17501161607778595,0.3196318116283802,0.0,0.9440008584953519,0.0,0.0,16.498789744667697,6.073118440391886,54.0,0.16666666666666666,2.7497982907779495,0.4444444444444444,1.2221325736790887,41.0,0.024390243902439025,0.30553314341977217,84.75,1.8263462665604786,8.767115457550178,76.66666667,0.0,y,Ferran Torres
7,Dwight McNeil,BUR,M/F,8800,5.0,0,0,4,0,15,5,128,9,1,6,3,0,7.612,7.612,0.06,0.7941807909543076,0.07554954826835146,0.08230063143452634,0.06,0.4733898305084746,0.12674543501611168,0.08230063143452633,5.405930341178203,2.3226536970734126,32.0,0.125,0.6757412926472753,0.0,0.0,24.0,0.20833333333333334,0.8446766158090943,4.76,1.0893596761451847,8.649228011408791,90.0,0.0,y,Dwight McNeil
8,Rodri,MCI,M,4800,5.0,0,0,6,2,0,5,368,3,7,8,1,1,5.672,5.372,0.04,2.0950990277104777,0.019092176298564734,0.03486892490339816,0.04,0.9440008584953519,0.04237284282109258,0.03486892490339816,16.498789744667697,6.073118440391886,54.0,0.1111111111111111,1.833198860518633,0.3333333333333333,0.6110662868395442,41.0,0.12195121951219512,1.5276657170988608,84.75,1.8263462665604786,7.301833662911408,90.0,0.0,y,Rodri
9,Ashley Westwood,BUR,M,6000,5.0,0,0,3,2,4,4,206,5,2,3,2,1,4.784000000000001,4.484,0.02,0.7941807909543076,0.025183182756117153,0.02743354381150878,0.1,0.4733898305084746,0.21124239169351952,0.1371677190575439,5.405930341178203,2.3226536970734126,32.0,0.09375,0.5068059694854565,0.6666666666666666,0.33787064632363767,24.0,0.16666666666666666,0.6757412926472753,4.76,1.0893596761451847,5.301759660916721,90.0,0.0,y,Ashley Westwood
