Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Bernardo Silva,MCI,,,348,0,0,1,1,2,0,217,3,4,4,2,0,0.1,0,,,
Ederson,MCI,,,450,0,0,0,0,0,0,126,1,0,0,0,0,0,0,,,
Fernandinho,MCI,,,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,
Ilkay Gundogan,MCI,,,212,0,0,2,0,3,4,179,2,2,1,1,0,0.1,0.2,,,
Joao Cancelo,MCI,,,450,0,1,3,0,12,15,323,5,10,7,9,1,0.1,1.4,,,
Kyle Walker,MCI,,,437,1,0,2,2,4,2,333,3,10,8,3,1,0,0.1,,,
Nathan Ake,MCI,,,90,0,0,0,0,0,0,70,1,0,1,0,1,0,0,,,
Phil Foden,MCI,,,162,1,0,6,4,2,0,72,4,2,0,2,0,0.8,0,,,
Raheem Sterling,MCI,,,379,1,0,7,3,6,3,139,7,5,2,2,1,1.1,0.5,,,
Riyad Mahrez,MCI,,,335,0,0,11,6,8,6,154,4,5,6,0,0,0.5,0.5,,,
Rodri,MCI,,,450,0,0,6,2,0,5,368,3,7,8,1,1,0.2,0.2,,,
Ruben Dias,MCI,,,450,0,0,2,2,0,1,426,7,7,2,3,2,0.2,0,,,
Sergio Aguero,MCI,,,109,0,0,1,0,1,3,28,2,0,0,0,0,0.2,0.6,,,
Eric Garcia,MCI,,,90,0,0,1,0,0,0,99,0,0,1,0,0,0,0,,,
Kevin De Bruyne,MCI,,,293,0,2,13,2,14,10,141,8,3,0,1,0,1.3,1.2,,,
Oleksandr Zinchenko,MCI,,,13,0,0,0,0,1,0,8,0,0,0,0,0,0,0,,,
Aymeric Laporte,MCI,,,270,0,0,1,0,0,2,222,2,3,1,1,1,0.1,0.2,,,
Ferran Torres,MCI,,,230,0,0,9,4,4,1,54,2,3,1,0,1,1.1,0,,,
Gabriel Jesus,MCI,,,180,1,0,5,1,1,2,35,5,4,2,1,0,1,0.1,,,
Ashley Barnes,BUR,,,305,0,0,7,3,0,4,57,7,9,0,1,0,0.7,0.2,,,
Ashley Westwood,BUR,,,450,0,0,3,2,4,4,206,5,2,3,2,1,0.1,0.5,,,
Charlie Taylor,BUR,,,450,0,0,0,0,9,2,171,3,2,4,1,1,0,0,,,
Chris Wood,BUR,,,442,1,0,9,5,0,4,64,6,7,2,0,0,1.9,0.2,,,
Dwight McNeil,BUR,,,450,0,0,4,0,15,5,128,9,1,6,3,0,0.3,0.3,,,
Erik Pieters,BUR,,,97,0,0,0,0,1,0,29,2,6,1,0,0,0,0,,,
James Tarkowski,BUR,,,450,0,0,5,1,0,1,131,3,5,8,3,0,0.4,0,,,
Jay Rodriguez,BUR,,,177,0,0,3,0,1,2,35,4,3,0,1,1,0.1,0.4,,,
Johann Berg Gudmundsson,BUR,,,217,0,0,4,2,4,2,59,1,2,1,0,0,0.4,0,,,
Josh Brownhill,BUR,,,450,0,0,2,0,0,3,193,4,6,10,5,1,0.1,0.1,,,
Kevin Long,BUR,,,270,0,0,0,0,0,0,74,2,5,3,1,2,0,0,,,
Nick Pope,BUR,,,450,0,0,0,0,0,0,92,0,0,0,0,0,0,0,,,
Robbie Brady,BUR,,,147,0,0,1,0,3,0,41,3,2,2,0,0,0.1,0,,,
Matej Vydra,BUR,,,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
Matthew Lowton,BUR,,,360,0,0,1,0,5,1,134,2,3,2,3,1,0,0.2,,,
Dale Stephens,BUR,,,45,0,0,0,0,0,0,7,1,1,1,0,0,0,0,,,
Ben Mee,BUR,,,180,0,0,1,0,0,0,65,2,0,0,1,0,0.1,0,,,
