Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adrian,LIV,GK,4400,180,0,0,0,0,0,0,43,0,0,0,0,0,0,0,90,,
Alisson,LIV,GK,4600,270,0,0,0,0,0,0,76,1,0,0,0,0,0,0,90,,
Andrew Robertson,LIV,D,6200,450,1,1,4,2,21,9,359,1,4,2,2,0,0.6,1,90,,y
Curtis Jones,LIV,M/F,5000,99,0,0,1,0,1,0,93,2,2,2,0,0,0,0,69,7.5,
Diogo Jota,LIV,M/F,5200,217,3,0,10,6,3,2,87,4,4,3,1,0,1.3,0.2,86,15,y
Fabinho,LIV,M,4400,359,0,0,2,0,1,2,240,5,1,12,3,1,0,0.1,89.75,0,
Georginio Wijnaldum,LIV,M,4400,361,0,0,3,1,0,2,245,6,2,4,1,0,0.2,0.4,90,1,y
James Milner,LIV,M,5400,44,0,0,0,0,1,1,24,1,2,0,0,0,0,0,,8.8,
Joe Gomez,LIV,D,3600,410,0,0,0,0,0,1,381,4,3,3,2,0,0,0,82.5,,y
Joel Matip,LIV,D,3600,90,0,0,1,1,0,0,42,1,0,0,0,0,0.1,0,90,,y
Jordan Henderson,LIV,M,4800,270,0,0,5,0,4,2,272,1,1,3,2,0,0.7,0.3,90,0,y
Mohamed Salah,LIV,M/F,9800,449,4,0,18,9,4,9,147,6,3,3,1,0,2.8,1.1,89.8,,y
Naby Keita,LIV,M,4400,123,0,0,4,0,1,1,69,0,3,0,0,0,0.3,0.1,61.5,0,
Nathaniel Phillips,LIV,D,3400,90,0,0,0,0,0,1,70,0,3,0,0,0,0,0,90,,
Roberto Firmino,LIV,M/F,6400,384,1,1,8,3,3,6,136,3,4,4,1,0,1.3,0.9,76.8,,y
Sadio Mane,LIV,M/F,9200,349,2,1,13,7,5,8,113,14,11,7,2,2,3.3,0.8,87.25,0,y
Takumi Minamino,LIV,M/F,6800,54,0,0,1,0,0,0,18,1,0,0,0,0,0,0,,10.8,
Thiago Alcantara,LIV,M/F,8000,90,0,0,2,0,0,3,66,2,1,4,2,0,0,0.2,90,11.25,
Trent Alexander-Arnold,LIV,D,6600,450,0,1,8,2,20,8,375,1,2,5,2,1,0.4,1.1,90,,y
Virgil van Dijk,LIV,D,4000,190,0,0,2,1,0,0,189,2,4,1,0,1,0.1,0,90,0,
Xherdan Shaqiri,LIV,M/F,7400,21,0,1,0,0,0,1,12,1,0,1,0,0,0,0.6,,4.2,
Aymeric Laporte,MCI,D,4000,180,0,0,2,0,0,1,108,3,0,1,1,0,0.2,0.2,90,0,y
Benjamin Mendy,MCI,D,4400,160,0,0,0,0,4,1,74,0,4,2,1,1,0,0,80,0,
Bernardo Silva,MCI,M/F,7800,273,0,0,3,1,1,2,183,4,2,4,0,0,0.3,0.1,82.33333333,13,
Ederson,MCI,GK,6000,450,0,0,0,0,0,0,120,1,0,0,0,0,0,0,90,,
Eric Garcia,MCI,D,3000,180,0,0,1,0,0,1,188,1,1,2,3,0,0,0,90,0,
Fernandinho,MCI,M,4200,66,0,0,3,1,0,0,75,1,1,2,0,0,0.2,0,50,4,
Ferran Torres,MCI,M,8200,171,0,1,8,3,5,2,41,3,3,0,0,0,1.1,0.2,72,9,y
Ilkay Gundogan,MCI,M,4800,122,0,0,2,0,3,3,119,1,1,0,1,0,0.1,0.2,90,8,y
Joao Cancelo,MCI,D,7000,270,0,1,2,0,11,9,186,5,4,5,4,1,0.1,0.7,90,0,y
Kevin De Bruyne,MCI,M,10400,293,0,1,11,2,12,13,161,4,4,5,1,0,0.4,1.2,90,11.5,y
Kyle Walker,MCI,D,5600,437,1,0,5,3,3,3,341,1,5,5,5,0,0,0.2,87.4,,y
Liam Delap,MCI,F,7600,40,0,0,1,0,0,0,5,0,1,0,0,0,0,0,,8,
Nathan Ake,MCI,M,4400,200,1,0,1,1,0,1,177,1,1,1,1,2,0.1,0,90,6.666666667,
Oleksandr Zinchenko,MCI,D,4800,13,0,0,0,0,1,0,8,0,0,0,0,0,0,0,,2.6,
Phil Foden,MCI,M,8600,296,1,0,9,4,5,2,108,3,2,0,2,0,1,0.1,80.33333333,27.5,
Raheem Sterling,MCI,M/F,9000,450,2,0,13,4,6,6,149,6,10,4,0,0,1.6,0.7,90,,y
Riyad Mahrez,MCI,M/F,8800,430,1,1,15,6,8,7,194,7,5,5,0,0,0.7,0.8,86,,
Rodri,MCI,M,4200,450,0,0,4,1,0,3,362,6,6,9,3,1,0,0.1,90,,y
Ruben Dias,MCI,D,3800,360,0,0,1,0,0,1,306,6,2,0,2,1,0.2,0,90,0,y
Sergio Aguero,MCI,F,8400,109,0,0,1,0,1,3,28,2,0,0,0,0,0.2,0.6,54.5,0,
