,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Kevin De Bruyne,MCI,M,10400,3.2555555555555555,0,1,11,2,12,13,161,4,4,5,1,0,13.85938566552901,15.702389078498292,0.12286689419795223,1.1631286140714066,0.1056348306726544,0.17127756378825212,0.36860068259385664,1.1336855258495369,0.32513485811476917,0.5138326913647563,11.116852980028424,5.490942933009055,48.0,0.22916666666666666,2.547612141256514,0.18181818181818182,0.4632022075011844,41.0,0.3170731707317073,3.0108143487576986,48.0,1.6214118269286968,16.69043802624857,90.0,11.5,y,Kevin De Bruyne
1,Sadio Mane,LIV,M/F,9200,3.8777777777777778,2,1,13,7,5,8,113,14,11,7,2,2,12.961031518624642,18.892263610315183,0.825,2.743402202450098,0.3007214907326395,0.5460990895825658,0.2,1.2989856645008104,0.15396628728528608,0.13238765808062203,10.781872926262507,4.5026626255817295,70.0,0.18571428571428572,2.002347829163037,0.5384615384615384,1.0781872926262508,47.0,0.1702127659574468,1.232214048715715,28.21,1.8159629637779449,15.383066014814391,87.25,0.0,y,Sadio Mane
2,Raheem Sterling,MCI,M/F,9000,5.0,2,0,13,4,6,6,149,6,10,4,0,0,7.036,11.036,0.32,1.1631286140714066,0.2751200478852244,0.4460828994662922,0.13999999999999999,1.1336855258495369,0.12349103592470213,0.19516126851650278,11.116852980028424,5.490942933009055,48.0,0.2708333333333333,3.010814348757698,0.3076923076923077,0.9264044150023687,41.0,0.14634146341463414,1.389606622503553,48.0,1.6214118269286968,13.394621992025558,90.0,0.0,y,Raheem Sterling
3,Mohamed Salah,LIV,M/F,9800,4.988888888888889,4,0,18,9,4,9,147,6,3,3,1,0,9.970155902004453,17.987973273942092,0.5599999999999999,2.743402202450098,0.2041261028003371,0.3706854426257416,0.22000000000000003,1.2989856645008104,0.1693629160138147,0.14562642388868427,10.781872926262507,4.5026626255817295,70.0,0.2571428571428571,2.7724816096103586,0.5,1.3862408048051793,47.0,0.19148936170212766,1.3862408048051793,28.21,1.8159629637779449,12.873576188810238,89.8,0.0,y,Mohamed Salah
4,Ferran Torres,MCI,M,8200,1.9,0,1,8,3,5,2,41,3,3,0,0,0,9.905263157894737,13.063157894736843,0.46315789473684216,1.1631286140714066,0.3982000693075616,0.6456463018591071,0.08421052631578949,1.1336855258495369,0.0742803223607231,0.11739023670165583,11.116852980028424,5.490942933009055,48.0,0.16666666666666666,1.8528088300047374,0.375,0.6948033112517765,41.0,0.04878048780487805,0.4632022075011844,48.0,1.6214118269286968,12.62214510334818,72.0,9.0,y,Ferran Torres
5,Joao Cancelo,MCI,D,7000,3.0,0,1,2,0,11,9,186,5,4,5,4,1,10.806666666666667,12.306666666666667,0.03333333333333333,1.1631286140714066,0.028658338321377534,0.046466968694405426,0.2333333333333333,1.1336855258495369,0.2058183932078369,0.325268780860838,11.116852980028424,5.490942933009055,48.0,0.041666666666666664,0.46320220750118435,0.0,0.0,41.0,0.21951219512195122,2.0844099337553295,48.0,1.6214118269286968,11.603894513365596,90.0,0.0,y,Joao Cancelo
6,Diogo Jota,LIV,M/F,5200,2.411111111111111,3,0,10,6,3,2,87,4,4,3,1,0,11.339170506912444,23.7815668202765,0.5152073732718894,2.743402202450098,0.1877987022142667,0.3410354878666714,0.07926267281105992,1.2989856645008104,0.06101889726513642,0.05246699813333408,10.781872926262507,4.5026626255817295,70.0,0.14285714285714285,1.5402675608946437,0.6,0.9241605365367862,47.0,0.0425531914893617,0.30805351217892873,28.21,1.8159629637779449,10.199205297353576,86.0,15.0,y,Diogo Jota
7,Trent Alexander-Arnold,LIV,D,6600,5.0,0,1,8,2,20,8,375,1,2,5,2,1,9.1,10.0,0.08,2.743402202450098,0.029160871828619588,0.05295506323224881,0.22000000000000003,1.2989856645008104,0.1693629160138147,0.14562642388868427,10.781872926262507,4.5026626255817295,70.0,0.11428571428571428,1.232214048715715,0.25,0.30805351217892873,47.0,0.1702127659574468,1.232214048715715,28.21,1.8159629637779449,9.375790785264954,90.0,0.0,y,Trent Alexander-Arnold
8,Andrew Robertson,LIV,D,6200,5.0,1,1,4,2,21,9,359,1,4,2,2,0,7.775999999999999,10.976,0.12,2.743402202450098,0.04374130774292938,0.0794325948483732,0.2,1.2989856645008104,0.15396628728528608,0.13238765808062203,10.781872926262507,4.5026626255817295,70.0,0.05714285714285714,0.6161070243578575,0.5,0.30805351217892873,47.0,0.19148936170212766,1.3862408048051793,28.21,1.8159629637779449,8.67505323830943,90.0,0.0,y,Andrew Robertson
9,Ilkay Gundogan,MCI,M,4800,1.3555555555555556,0,0,2,0,3,3,119,1,1,0,1,0,7.731147540983606,7.731147540983606,0.07377049180327869,1.1631286140714066,0.06342419136698307,0.1028367339958153,0.14754098360655737,1.1336855258495369,0.13014277790659476,0.20567346799163058,11.116852980028424,5.490942933009055,48.0,0.041666666666666664,0.46320220750118435,0.0,0.0,41.0,0.07317073170731707,0.6948033112517765,48.0,1.6214118269286968,7.463036617480569,90.0,8.0,y,Ilkay Gundogan
