player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ainsley Maitland-Niles,MCI,DELETE,DELETE,99.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Alexandre Lacazette,MCI,DELETE,DELETE,259.0,1.0,0.0,5.0,4.0,0.0,4.0,45.0,6.0,9.0,4.0,1.0,1.0,1.5,0.2,DELETE,DELETE,DELETE
Bernd Leno,MCI,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Dani Ceballos,MCI,DELETE,DELETE,291.0,0.0,0.0,0.0,0.0,2.0,8.0,187.0,6.0,1.0,6.0,5.0,1.0,0.0,0.7,DELETE,DELETE,DELETE
David Luiz,MCI,DELETE,DELETE,318.0,0.0,0.0,2.0,0.0,1.0,0.0,216.0,3.0,3.0,4.0,3.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Eddie Nketiah,MCI,DELETE,DELETE,108.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Granit Xhaka,MCI,DELETE,DELETE,241.0,0.0,0.0,1.0,0.0,0.0,0.0,150.0,4.0,5.0,3.0,2.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Hector Bellerin,MCI,DELETE,DELETE,450.0,0.0,2.0,1.0,1.0,8.0,3.0,213.0,2.0,5.0,8.0,0.0,2.0,0.1,0.30000000000000004,DELETE,DELETE,DELETE
Kieran Tierney,MCI,DELETE,DELETE,440.0,0.0,0.0,2.0,0.0,15.0,4.0,234.0,4.0,1.0,2.0,3.0,0.0,0.0,0.4,DELETE,DELETE,DELETE
Mohamed Elneny,MCI,DELETE,DELETE,270.0,0.0,0.0,1.0,0.0,2.0,1.0,172.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Nicolas Pepe,MCI,DELETE,DELETE,164.0,1.0,0.0,4.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,1.0,0.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Pierre-Emerick Aubameyang,MCI,DELETE,DELETE,446.0,1.0,0.0,5.0,2.0,7.0,4.0,100.0,2.0,4.0,2.0,0.0,1.0,1.3,0.7,DELETE,DELETE,DELETE
Rob Holding,MCI,DELETE,DELETE,180.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Willian,MCI,DELETE,DELETE,310.0,0.0,0.0,1.0,0.0,6.0,3.0,114.0,3.0,3.0,0.0,2.0,0.0,0.1,0.4,DELETE,DELETE,DELETE
Bukayo Saka,MCI,DELETE,DELETE,330.0,1.0,0.0,10.0,5.0,6.0,2.0,112.0,12.0,0.0,5.0,2.0,0.0,0.9,0.1,DELETE,DELETE,DELETE
Gabriel Dos Santos,MCI,DELETE,DELETE,360.0,0.0,0.0,4.0,0.0,0.0,0.0,275.0,5.0,4.0,7.0,2.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Thomas Partey,MCI,DELETE,DELETE,188.0,0.0,0.0,1.0,1.0,0.0,1.0,109.0,2.0,3.0,5.0,2.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Shkodran Mustafi,MCI,DELETE,DELETE,46.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
