Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,FPPG,FPP90,Floor,Floor90,FPPG-Floor,FPP90-Floor90,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Starting
K. De Bruyne,MCI,M,12800,4,2,2,12,3,47,33,223,6,4,9,2,0,0,26.27,32.84,19.87,24.84,6.4,8,0.79,29.13,2.28,22.73,1.78,35.7,2.79,27.7,2.16,y
R. Sterling,MCI,M/F,12000,4.09,4,0,18,8,7,4,131,3,5,1,3,0,0,16.1,19.69,8.1,9.91,8,9.78,0.79,18.96,1.58,10.96,0.91,22.55,1.88,12.77,1.06,y
G. Jesus,MCI,F,11000,4.84,3,1,15,7,0,6,126,4,7,3,2,0,0,14.2,14.66,7,7.23,7.2,7.43,0.79,17.06,1.55,9.86,0.9,17.52,1.59,10.09,0.92,y
J. Cancelo,MCI,D,6800,3,0,0,5,1,13,3,220,1,4,8,4,1,0,6,10,6,10,0,0,0.79,8.86,1.3,8.86,1.3,12.86,1.89,12.86,1.89,y
K. Walker,MCI,D,5000,4.2,0,2,2,1,6,3,314,1,1,4,5,0,0,7.1,8.45,4.7,5.59,2.4,2.86,0.79,9.95,1.99,7.55,1.51,11.3,2.26,8.45,1.69,y
Rodri,MCI,M,4800,3.01,0,0,4,1,1,5,295,3,3,1,1,0,0,3.92,6.51,3.92,6.51,0,0,0.79,6.78,1.41,6.78,1.41,9.37,1.95,9.37,1.95,y
A. Laporte,MCI,D,4200,3.81,1,0,4,1,2,0,327,1,6,1,3,0,0,4.69,6.15,2.69,3.53,2,2.62,0.79,7.55,1.8,5.55,1.32,9.01,2.14,6.38,1.52,y
I. Gundogan,MCI,M,5800,2.97,0,0,2,0,1,4,226,0,1,3,2,0,0,2.94,4.96,2.94,4.96,0,0,0.79,5.8,1,5.8,1,7.82,1.35,7.82,1.35,y
Fernandinho,MCI,D,3800,2.54,0,0,3,0,2,0,180,2,3,2,3,0,0,2.4,4.72,2.4,4.72,0,0,0.79,5.26,1.38,5.26,1.38,7.57,1.99,7.57,1.99,y
M. Depay,OL,M/F,9000,1.61,1,0,2,0,8,2,36,2,5,0,0,1,0,9.16,11.37,4.16,5.16,5,6.21,0.08,4.93,0.55,-0.07,-0.01,7.14,0.79,0.93,0.1,y
E. Garcia,MCI,D,3600,3,0,0,2,0,1,2,221,0,5,2,9,1,0,2.32,3.87,2.32,3.87,0,0,0.79,5.18,1.44,5.18,1.44,6.73,1.87,6.73,1.87,y
K. Toko Ekambi,OL,F,4400,1.19,0,0,2,2,2,2,15,2,0,0,1,0,0,5.1,8.58,5.1,8.58,0,0,0.08,0.87,0.2,0.87,0.2,4.35,0.99,4.35,0.99,y
M. Cornet,OL,M/F,6400,2.33,0,0,4,2,8,4,70,3,1,1,2,1,0,10,8.57,10,8.57,0,0,0.08,5.77,0.9,5.77,0.9,4.34,0.68,4.34,0.68,y
Ederson,MCI,GK,7200,5,0,0,0,0,0,0,138,0,0,0,0,0,0,0.55,0.55,0.55,0.55,0,0,0.79,3.41,0.47,3.41,0.47,3.41,0.47,3.41,0.47,y
H. Aouar,OL,M,5400,2.32,0,0,4,0,1,3,69,7,3,0,1,1,0,6.79,5.85,6.79,5.85,0,0,0.08,2.56,0.47,2.56,0.47,1.62,0.3,1.62,0.3,y
B. Guimaraes,OL,M,3400,1.71,0,0,2,0,0,0,67,3,5,4,2,1,0,3.67,4.29,3.67,4.29,0,0,0.08,-0.56,-0.16,-0.56,-0.16,0.06,0.02,0.06,0.02,y
L. Dubois,OL,M,3600,1.93,0,0,0,0,2,1,66,0,2,0,1,1,0,0.86,0.89,0.86,0.89,0,0,0.08,-3.37,-0.94,-3.37,-0.94,-3.34,-0.93,-3.34,-0.93,y
A. Lopes,OL,GK,4000,2.33,0,0,0,0,0,0,50,1,0,0,0,1,0,0.25,0.21,0.25,0.21,0,0,0.08,-3.98,-1,-3.98,-1,-4.02,-1,-4.02,-1,y
M. Caqueret,OL,M,3000,2.33,0,0,1,0,0,0,48,1,10,1,5,2,0,-0.77,-0.66,-0.77,-0.66,0,0,0.08,-5,-1.67,-5,-1.67,-4.89,-1.63,-4.89,-1.63,y
R. Mahrez,MCI,M/F,9800,1.68,1,0,7,2,10,1,63,3,1,2,0,0,0,6.55,19.53,4.55,13.57,2,5.96,0.79,9.41,0.96,7.41,0.76,22.38,2.28,16.42,1.68,
