Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adam Lundqvist,HOU,D,6400,421,0,0,1,0,17,4,200,3,5,8,4,1,0,0.1,84.2,,y
Alejandro Fuenmayor,HOU,D,3000,90,0,0,0,0,0,0,12,0,2,0,0,1,0,0,90,0,b
Aljaz Struna,HOU,D,3000,360,0,0,0,0,0,0,197,2,9,1,1,3,0,0,90,0,y
Ariel Lassiter,HOU,F,6800,361,0,1,9,5,9,4,79,4,2,2,1,1,0.8,0.4,79,45,y
Boniek Garcia,HOU,M,3000,193,0,0,0,0,1,4,87,3,2,3,1,0,0,0.4,73.5,15.33333333,b
Christian Ramirez,HOU,F,8800,134,0,0,2,0,1,1,20,2,0,1,0,0,0.1,0,90,11,y
Darwin Ceren,HOU,M,3800,407,1,0,3,2,2,2,177,7,6,4,1,1,0.9,0,81.4,,y
Darwin Quintero,HOU,M/F,11800,401,2,2,15,8,6,13,165,4,5,3,2,1,2.1,1.2,80.2,,y
Jose Bizama,HOU,D,3400,179,0,0,0,0,4,1,63,1,3,1,0,0,0,0.1,89.5,0,b
Marcelo Palomino,HOU,M,3200,14,0,0,0,0,0,0,16,1,0,0,0,0,0,0,,2.8,b
Marko Maric,HOU,GK,4800,450,0,0,0,0,0,0,120,1,0,0,0,1,0,0,90,,
Matias Vera,HOU,M,3200,315,0,0,1,1,0,6,193,6,11,8,1,2,0,0.4,78.75,0,y
Mauro Manotas,HOU,F,5600,305,0,0,12,4,1,5,63,3,3,0,0,0,1,0.2,69.5,27,
Maynor Figueroa,HOU,D,3600,360,2,0,7,2,4,3,294,5,7,3,6,1,0.7,0.4,90,0,y
Memo Rodriguez,HOU,M,8400,214,0,0,7,2,2,1,77,2,4,2,1,1,0.3,0.1,71.33333333,0,y
Niccolo Lemoine,HOU,M,3200,93,0,0,0,0,1,0,18,6,2,1,0,1,0,0,,18.6,b
Niko Hansen,HOU,F,5200,113,0,0,2,1,4,1,23,4,1,2,0,0,0.3,0.1,45,17,b
Sam Junqua,HOU,D,3200,118,1,0,3,3,2,0,25,1,2,2,0,0,0.3,0,89,7.25,b
Tomas Martinez,HOU,M,3200,14,0,0,0,0,0,0,17,1,0,0,0,0,0,0,,2.8,
Victor Cabrera,HOU,D,3000,90,0,0,0,0,0,0,55,1,0,2,1,0,0,0,90,0,
Wilfried Zahibo,HOU,M,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,b
Zarek Valentin,HOU,D,4600,271,0,0,1,0,8,2,188,1,2,5,0,0,0,0.1,90,0.5,y
A.J. DeLaGarza,MIA,D,3200,156,0,0,0,0,1,1,57,1,3,1,0,0,0,0,78,0,y
Andres Reyes,MIA,D,3200,157,0,0,1,0,0,0,48,0,3,2,2,2,0,0,78.5,0,
Ben Sweat,MIA,D,5800,430,0,0,6,2,11,1,219,1,3,6,6,0,0.6,0.2,86,,b
Blaise Matuidi,MIA,M,5000,450,0,0,6,0,1,5,219,9,8,10,4,0,0.2,0.3,90,,y
Brek Shea,MIA,D,7000,199,1,0,5,2,4,2,54,3,2,0,0,0,1.1,0.4,89.5,6.666666667,y
Christian Makoun,MIA,D,3200,90,0,0,0,0,0,0,18,1,0,0,0,0,0,0,90,0,
Dylan Nealis,MIA,D,4000,224,0,0,1,1,4,1,79,5,4,5,5,0,0.1,0,77,23.33333333,y
Gonzalo Higuain,MIA,F,12400,263,1,1,9,2,2,4,70,8,2,2,0,0,1.8,0.3,87.66666667,,y
Jay Chapman,MIA,M,3000,26,0,0,0,0,0,1,18,1,1,0,0,0,0,0.2,,5.2,b
John McCarthy,MIA,GK,8200,90,0,0,0,0,0,0,14,0,0,0,0,0,0,0,90,0,
Jorge Figal,MIA,D,5400,427,0,0,1,0,3,3,245,6,4,7,5,0,0.1,0.6,85.4,,y
Juan Agudelo,MIA,F,7800,225,2,0,5,2,2,2,57,2,3,2,1,0,1.3,0.3,75,0,
Julian Carranza,MIA,F,7400,13,0,0,1,1,0,0,2,1,1,1,0,1,0.1,0,,2.6,b
Leandro Gonzalez Pirez,MIA,D,3400,360,0,0,3,1,1,0,178,5,6,2,3,2,0.4,0,90,0,y
Lewis Morgan,MIA,M,12800,432,2,1,11,2,28,15,144,4,3,1,0,0,0.6,1.8,86.4,,y
Luis Robles,MIA,GK,8000,360,0,0,0,0,0,0,64,1,0,0,0,1,0,0,90,0,
Matias Pellegrini,MIA,M/F,9000,170,1,1,3,2,2,1,44,9,3,4,1,1,0.5,0.1,85,9.666666667,y
Robbie Robinson,MIA,F,4200,80,0,0,0,0,0,1,17,0,2,0,1,0,0,0.1,,16,b
Rodolfo Pizarro,MIA,M,10600,291,0,1,6,3,5,4,122,9,2,0,0,1,0.5,0.5,86,33,
Roman Torres,MIA,D,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Victor Ulloa,MIA,M,4400,328,0,1,3,0,2,4,152,2,3,3,3,0,0.2,0.4,77.75,17,b
Wil Trapp,MIA,M,3600,178,0,0,2,2,0,0,113,0,1,3,2,1,0,0,78,7.333333333,y
