,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Lewis Morgan,MIA,M,12800,4.8,2,1,11,2,28,15,144,4,3,1,0,0,11.245833333333334,16.662499999999998,0.6,5.7,0.10526315789473684,0.21736842105263157,1.8,4.4,0.40909090909090906,0.6521052631578947,16.432623896458047,4.506721216047559,51.0,0.21568627450980393,3.5442914286478144,0.18181818181818182,0.6444166233905118,39.0,0.38461538461538464,4.833124675428837,68.42,2.065,20.30414851694085,86.4,0.0,y,Lewis Morgan
1,Gonzalo Higuain,MIA,F,12400,2.922222222222222,1,1,9,2,2,4,70,8,2,2,0,0,9.171102661596958,14.64638783269962,1.8,5.7,0.3157894736842105,0.6521052631578946,0.3,4.4,0.06818181818181818,0.10868421052631579,16.432623896458047,4.506721216047559,51.0,0.17647058823529413,2.8998748052573027,0.2222222222222222,0.6444166233905116,39.0,0.10256410256410256,1.288833246781023,68.42,2.065,15.93961590364857,87.66666667,0.0,y,Gonzalo Higuain
2,Darwin Quintero,HOU,M/F,11800,4.455555555555556,2,2,15,8,6,13,165,4,5,3,2,1,10.997506234413965,17.8428927680798,2.1,5.5,0.38181818181818183,0.378,1.2,3.3000000000000003,0.3636363636363636,0.216,8.851881277689257,3.4886611144029827,51.0,0.29411764705882354,2.6034944934380166,0.5333333333333333,1.3885303965002755,42.0,0.30952380952380953,2.2563618943129478,20.0,0.99,13.624386784251241,80.2,0.0,y,Darwin Quintero
3,Brek Shea,MIA,D,7000,2.2111111111111112,1,0,5,2,4,2,54,3,2,0,0,0,6.72964824120603,11.252261306532663,1.1,5.7,0.1929824561403509,0.3985087719298246,0.4,4.4,0.09090909090909091,0.1449122807017544,16.432623896458047,4.506721216047559,51.0,0.09803921568627451,1.6110415584762792,0.4,0.6444166233905118,39.0,0.05128205128205128,0.6444166233905115,68.42,2.065,10.398958821831402,89.5,6.666666667,y,Brek Shea
4,Matias Pellegrini,MIA,M/F,9000,1.8888888888888888,1,1,3,2,2,1,44,9,3,4,1,1,10.736470588235296,18.41294117647059,0.5,5.7,0.08771929824561403,0.18114035087719296,0.1,4.4,0.022727272727272728,0.0362280701754386,16.432623896458047,4.506721216047559,51.0,0.058823529411764705,0.9666249350857674,0.6666666666666666,0.6444166233905115,39.0,0.02564102564102564,0.32220831169525577,68.42,2.065,10.352021799996095,85.0,9.666666667000001,y,Matias Pellegrini
5,Blaise Matuidi,MIA,M,5000,5.0,0,0,6,0,1,5,219,9,8,10,4,0,6.616,6.616,0.2,5.7,0.03508771929824561,0.07245614035087719,0.3,4.4,0.06818181818181818,0.10868421052631579,16.432623896458047,4.506721216047559,51.0,0.11764705882352941,1.9332498701715348,0.0,0.0,39.0,0.1282051282051282,1.6110415584762787,68.42,2.065,9.336958095314479,90.0,0.0,y,Blaise Matuidi
6,Ariel Lassiter,HOU,F,6800,4.011111111111111,0,1,9,5,9,4,79,4,2,2,1,1,7.823268698060943,8.945152354570638,0.8,5.5,0.14545454545454548,0.14400000000000002,0.4,3.3000000000000003,0.12121212121212122,0.07200000000000001,8.851881277689257,3.4886611144029827,51.0,0.17647058823529413,1.5620966960628102,0.5555555555555556,0.8678314978126723,42.0,0.09523809523809523,0.6942651982501378,20.0,0.99,7.5959717854774205,79.0,45.0,y,Ariel Lassiter
7,Maynor Figueroa,HOU,D,3600,4.0,2,0,7,2,4,3,294,5,7,3,6,1,7.045,11.67,0.7,5.5,0.12727272727272726,0.12599999999999997,0.4,3.3000000000000003,0.12121212121212122,0.07200000000000001,8.851881277689257,3.4886611144029827,51.0,0.13725490196078433,1.2149640969377413,0.2857142857142857,0.34713259912506894,42.0,0.07142857142857142,0.5206988986876033,20.0,0.99,7.444795594750413,90.0,0.0,y,Maynor Figueroa
8,Jorge Figal,MIA,D,5400,4.7444444444444445,0,0,1,0,3,3,245,6,4,7,5,0,5.163934426229508,5.163934426229508,0.1,5.7,0.017543859649122806,0.036228070175438595,0.6,4.4,0.13636363636363635,0.21736842105263157,16.432623896458047,4.506721216047559,51.0,0.0196078431372549,0.3222083116952558,0.0,0.0,39.0,0.07692307692307693,0.9666249350857674,68.42,2.065,7.055324474851199,85.4,0.0,y,Jorge Figal
9,Dylan Nealis,MIA,D,4000,2.488888888888889,0,0,1,1,4,1,79,5,4,5,5,0,7.183928571428571,7.183928571428571,0.1,5.7,0.017543859649122806,0.036228070175438595,0.0,4.4,0.0,0.0,16.432623896458047,4.506721216047559,51.0,0.0196078431372549,0.3222083116952558,1.0,0.3222083116952558,39.0,0.02564102564102564,0.32220831169525577,68.42,2.065,6.443905636840153,77.0,23.33333333,y,Dylan Nealis
