Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andre Shinyashiki,COL,F,9000,396,2,0,9,5,8,5,109,5,9,6,1,0,1.2,0.4,79.2,,y
Auston Trusty,COL,D,3200,196,0,0,1,0,0,1,104,0,4,2,2,0,0,0.1,90,5.333333333,
Brian Galvan,COL,M,4400,65,0,0,2,0,2,1,19,3,2,0,0,0,0.1,0,64,0.25,
Cole Bassett,COL,M,8800,416,1,1,6,3,9,5,158,3,3,3,0,0,0.7,0.3,83.2,,y
Collen Warner,COL,M,3200,27,0,0,0,0,0,0,6,0,3,0,1,1,0,0,27,0,
Danny Wilson,COL,D,3200,270,0,0,1,1,0,0,126,1,6,7,5,1,0,0,90,0,y
Diego Rubio,COL,F,8200,386,1,2,6,2,2,6,94,9,5,3,2,0,0.7,1,89.75,27,y
Drew Moor,COL,D,3000,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,3.4,
Jack Price,COL,M,8600,405,0,1,1,0,6,6,241,0,2,9,5,1,0,0.4,90,45,y
Jeremy Kelly,COL,D,3600,99,0,0,0,0,0,2,79,1,1,1,0,0,0,0.1,80,4.75,
Jonathan Lewis,COL,F,7800,170,0,0,5,1,8,2,25,3,2,0,0,0,0.3,0.1,60,16.66666667,y
Keegan Rosenberry,COL,D,5200,354,1,0,3,2,3,1,205,0,5,6,5,0,0,0,86,10,y
Kellyn Acosta,COL,M,3800,78,1,0,1,1,0,0,22,2,0,4,0,0,0.3,0,45,8.25,y
Lalas Abubakar,COL,D,3000,434,0,0,1,0,0,0,196,3,9,8,2,2,0,0,86.8,,y
Nicolas Benezet,COL,M,7600,220,0,0,6,2,7,4,82,4,6,4,3,0,0.3,0.4,68,28,
Nicolas Mezquida,COL,M/F,7200,156,0,0,6,5,3,1,61,3,0,5,2,1,0.8,0.1,45,16,
Sam Vines,COL,D,4600,450,0,1,0,0,6,2,213,3,3,2,4,0,0,0.3,90,,
William Yarbrough,COL,GK,6000,450,0,0,0,0,0,0,106,1,0,0,0,0,0,0,90,,
Younes Namli,COL,M,6200,361,1,0,5,4,2,3,157,4,7,6,3,0,0.4,0.2,79,45,y
Aaron Schoenfeld,MIN,F,4600,148,1,0,8,4,0,0,25,3,2,0,0,0,0.6,0,81,16.75,
Bakaye Dibassy,MIN,D,5000,450,0,0,2,1,9,4,176,1,5,4,3,1,0.2,0.3,90,,y
Brent Kallman,MIN,D,4000,271,0,0,0,0,0,0,89,2,1,1,2,0,0,0,90,0.5,
Chase Gasper,MIN,D,5600,186,0,0,0,0,3,1,101,2,2,3,0,1,0,0,90,2,y
Dayne St. Clair,MIN,GK,6800,450,0,0,0,0,0,0,88,1,0,0,0,0,0,0,90,,
Emanuel Reynoso,MIN,M,10800,191,1,4,8,3,4,10,107,7,3,3,1,0,0.4,1.8,72.5,15.33333333,y
Ethan Finlay,MIN,M,4800,305,2,0,9,4,6,1,61,2,5,4,1,0,2.4,0,69,29,y
Foster Langsdorf,MIN,F,4200,11,0,0,0,0,0,1,6,0,0,0,0,0,0,0,,2.2,
Hassani Dotson,MIN,D,4800,30,0,0,0,0,0,0,23,0,0,0,0,0,0,0,65,4,y
Jacori Hayes,MIN,M,5400,144,0,1,3,0,2,3,77,5,2,1,2,1,0.1,0.5,90,0,
James Musa,MIN,M,3400,12,0,0,0,0,1,1,9,0,1,1,0,1,0,0,,2.4,
Jan Gregus,MIN,M,8400,360,0,0,13,2,4,9,229,3,6,7,5,0,0.6,0.7,90,0,y
Jose Aja,MIN,D,4200,180,1,0,3,2,1,2,55,1,3,2,1,1,0.5,0.1,90,0,
Kei Kamara,MIN,F,7000,203,0,0,4,2,1,2,44,1,2,0,0,0,0.2,0.6,67.66666667,0,
Kevin Molino,MIN,M,10600,438,2,0,12,6,5,6,183,15,5,6,1,0,1.5,0.3,87.6,,y
Marlon Hairston,MIN,M,3400,199,0,0,1,0,0,2,86,2,3,6,2,1,0,0.2,84,10.33333333,y
Michael Boxall,MIN,D,3200,270,0,0,3,0,0,0,99,1,3,4,2,0,0.2,0,90,0,y
Noah Billingsley,MIN,F,3800,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,1.2,
Osvaldo Alonso,MIN,M,3000,193,0,0,1,0,0,0,128,1,2,3,1,1,0,0,90,0,
Raheem Edwards,MIN,M/F,4000,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,1.8,
Robin Lod,MIN,M,9400,450,2,2,12,3,6,10,141,2,4,5,0,0,1.2,1.6,90,,y
Romain Metanire,MIN,D,6400,444,0,1,2,0,17,7,223,4,8,8,4,1,0,0.5,88.8,,
