,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Emanuel Reynoso,MIN,M,10800,2.1222222222222222,1,4,8,3,4,10,107,7,3,3,1,0,16.463874345549737,32.4848167539267,0.15183246073298431,1.4914499470717821,0.1018019149962642,0.15843573958809845,0.6832460732984293,1.3826681838511934,0.49415042689082533,0.712960828146443,15.231253879853922,5.709185421338164,60.0,0.13333333333333333,2.0308338506471895,0.375,0.761562693992696,43.0,0.23255813953488372,2.5385423133089873,46.51,1.556313941578727,16.48442247925302,72.5,15.33333333,y,Emanuel Reynoso
1,Kevin Molino,MIN,M,10600,4.866666666666666,2,0,12,6,5,6,183,15,5,6,1,0,10.306849315068494,14.416438356164385,0.3,1.4914499470717821,0.20114654238917026,0.31304716822062206,0.06,1.3826681838511934,0.04339435932696443,0.06260943364412441,15.231253879853922,5.709185421338164,60.0,0.2,3.0462507759707846,0.5,1.5231253879853923,43.0,0.13953488372093023,1.5231253879853923,46.51,1.556313941578727,14.830629836012534,87.6,0.0,y,Kevin Molino
2,Andre Shinyashiki,COL,F,9000,4.4,2,0,9,5,8,5,109,5,9,6,1,0,7.677272727272727,12.222727272727273,0.24,0.9092529694143935,0.2639529460701927,0.34897423078595535,0.08,0.5404632729232139,0.14802115889818468,0.11632474359531847,13.360749037359513,4.97963930802607,38.0,0.23684210526315788,3.164387929900937,0.5555555555555556,1.7579932943894097,28.0,0.17857142857142858,1.7579932943894097,30.77,1.3221077316301408,13.82406528811122,79.2,0.0,y,Andre Shinyashiki
3,Robin Lod,MIN,M,9400,5.0,2,2,12,3,6,10,141,2,4,5,0,0,7.403999999999999,13.803999999999998,0.24,1.4914499470717821,0.16091723391133622,0.25043773457649765,0.32,1.3826681838511934,0.23143658307714363,0.3339169794353303,15.231253879853922,5.709185421338164,60.0,0.2,3.0462507759707846,0.25,0.7615626939926962,43.0,0.23255813953488372,2.5385423133089873,46.51,1.556313941578727,13.258235005649427,90.0,0.0,y,Robin Lod
4,Jan Gregus,MIN,M,8400,4.0,0,0,13,2,4,9,229,3,6,7,5,0,10.22,10.22,0.15,1.4914499470717821,0.10057327119458513,0.15652358411031103,0.175,1.3826681838511934,0.1265668813703129,0.1826108481286962,15.231253879853922,5.709185421338164,60.0,0.21666666666666667,3.300105007301683,0.15384615384615385,0.5077084626617975,43.0,0.20930232558139536,2.284688081978089,46.51,1.556313941578727,12.973402481816859,90.0,0.0,y,Jan Gregus
5,Diego Rubio,COL,F,8200,4.288888888888889,1,2,6,2,2,6,94,9,5,3,2,0,6.47720207253886,11.606735751295338,0.16275906735751294,0.9092529694143935,0.17900306386938533,0.23666133472719827,0.23251295336787564,0.5404632729232139,0.4302104602044065,0.33808762103885465,13.360749037359513,4.97963930802607,38.0,0.15789473684210525,2.1095919532672913,0.3333333333333333,0.7031973177557638,28.0,0.21428571428571427,2.1095919532672913,30.77,1.3221077316301408,12.521548795204785,89.75,27.0,y,Diego Rubio
6,Ethan Finlay,MIN,M,4800,3.388888888888889,2,0,9,4,6,1,61,2,5,4,1,0,6.910819672131147,12.812459016393444,0.5429508196721311,1.4914499470717821,0.3640422668813836,0.566564055271421,0.0,1.3826681838511934,0.0,0.0,15.231253879853922,5.709185421338164,60.0,0.15,2.2846880819780884,0.4444444444444444,1.0154169253235947,43.0,0.023255813953488372,0.25385423133089874,46.51,1.556313941578727,11.350681758559906,69.0,29.0,y,Ethan Finlay
7,Cole Bassett,COL,M,8800,4.622222222222222,1,1,6,3,9,5,158,3,3,3,0,0,6.049038461538462,9.510576923076922,0.14,0.9092529694143935,0.1539725518742791,0.20356830129180734,0.06000000000000001,0.5404632729232139,0.11101586917363852,0.08724355769648887,13.360749037359513,4.97963930802607,38.0,0.15789473684210525,2.1095919532672913,0.5,1.0547959766336457,28.0,0.17857142857142858,1.7579932943894097,30.77,1.3221077316301408,10.273525583387354,83.2,0.0,y,Cole Bassett
8,Younes Namli,COL,M,6200,4.011111111111111,1,0,5,4,2,3,157,4,7,6,3,0,6.118005540166205,8.611080332409973,0.08753462603878116,0.9092529694143935,0.09627092677537039,0.12728053662091632,0.04376731301939058,0.5404632729232139,0.0809811049373725,0.06364026831045816,13.360749037359513,4.97963930802607,38.0,0.13157894736842105,1.7579932943894094,0.8,1.4063946355115275,28.0,0.10714285714285714,1.0547959766336457,30.77,1.3221077316301408,8.618041408922284,79.0,45.0,y,Younes Namli
9,Jonathan Lewis,COL,F,7800,1.8888888888888888,0,0,5,1,8,2,25,3,2,0,0,0,8.523529411764708,8.523529411764708,0.10588235294117646,0.9092529694143935,0.11644982914861442,0.15395921946439206,0.03529411764705882,0.5404632729232139,0.06530345245508147,0.051319739821464025,13.360749037359513,4.97963930802607,38.0,0.13157894736842105,1.7579932943894094,0.2,0.3515986588778819,28.0,0.07142857142857142,0.7031973177557638,30.77,1.3221077316301408,7.519123434007525,60.0,16.66666667,y,Jonathan Lewis
10,Jack Price,COL,M,8600,4.5,0,1,1,0,6,6,241,0,2,9,5,1,5.8933333333333335,6.893333333333333,0.0,0.9092529694143935,0.0,0.0,0.08888888888888889,0.5404632729232139,0.1644679543313163,0.1292497151059094,13.360749037359513,4.97963930802607,38.0,0.02631578947368421,0.3515986588778819,0.0,0.0,28.0,0.21428571428571427,2.1095919532672913,30.77,1.3221077316301408,7.241133347225074,90.0,45.0,y,Jack Price
11,Kellyn Acosta,COL,M,3800,0.8666666666666667,1,0,1,1,0,0,22,2,0,4,0,0,9.738461538461538,21.276923076923072,0.17307692307692307,0.9092529694143935,0.1903506822621582,0.25166410873987166,0.0,0.5404632729232139,0.0,0.0,13.360749037359513,4.97963930802607,38.0,0.02631578947368421,0.3515986588778819,1.0,0.3515986588778819,28.0,0.0,0.0,30.77,1.3221077316301408,6.935223020539096,45.0,8.25,y,Kellyn Acosta
12,Keegan Rosenberry,COL,D,5200,3.933333333333333,1,0,3,2,3,1,205,0,5,6,5,0,4.627118644067797,7.16949152542373,0.0,0.9092529694143935,0.0,0.0,0.0,0.5404632729232139,0.0,0.0,13.360749037359513,4.97963930802607,38.0,0.07894736842105263,1.0547959766336457,0.6666666666666666,0.7031973177557638,28.0,0.03571428571428571,0.3515986588778819,30.77,1.3221077316301408,5.073433761176896,86.0,10.0,y,Keegan Rosenberry
