Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,Floor/$1000,FPPG-Floor,Team_Odds,FPPG_w_Odds,FPPG_w_Odds_FullSeason,Diff,Floor_w_Odds,Starting
Anthony Martial,MU,M/F,4.07,3,2,10,5,2,7,81,9,3,2,0,0,0,11000,18.82,1.71,8.49,0.77,10.33,0.78,24.37,17.97,6.40,14.04,y
Bruno Fernandes,MU,M,3.87,1,1,8,1,21,9,175,2,2,3,1,1,0,11400,14.28,1.25,10.14,0.89,4.14,0.78,19.83,22.96,-3.13,15.69,y
Marcus Rashford,MU,F,3.92,2,1,9,6,2,2,125,7,3,1,1,1,0,10600,13.36,1.26,6.73,0.63,6.63,0.78,18.92,20.36,-1.44,12.29,y
Sergio Romero,MU,GK,,,,,,,,,,,,,,,7000,9.24,,4.24,,5.00,0.78,14.84,9.24,5.60,9.84,y
Mason Greenwood,MU,M/F,3.44,1,0,5,2,1,4,91,1,3,2,3,0,0,9200,7.70,0.84,4.80,0.52,2.90,0.78,13.25,17.13,-3.88,10.35,y
Aaron Wan-Bissaka,MU,D,3.50,0,0,1,0,9,1,176,3,4,9,8,2,0,5800,6.52,1.12,6.52,1.12,0.00,0.78,12.08,7.06,5.01,12.08,y
Brandon Williams,MU,D,2.97,0,0,0,0,5,1,179,3,2,3,5,1,0,5600,4.75,0.85,4.75,0.85,0.00,0.78,10.30,5.61,4.69,10.30,y
Paul Pogba,MU,M,4.00,0,0,3,1,3,2,248,7,9,5,2,2,0,7600,4.64,0.61,4.64,0.61,0.00,0.78,10.20,10.87,-0.68,10.20,y
Eric Bailly,MU,D,1.00,0,0,0,0,0,0,55,0,0,2,3,0,0,3400,4.60,1.35,4.60,1.35,0.00,0.78,10.16,5.71,4.44,10.16,y
Harry Maguire,MU,D,5.00,0,0,5,0,0,2,277,3,3,3,11,1,0,4000,4.21,1.05,4.21,1.05,0.00,0.78,9.76,6.36,3.40,9.76,y
Fred,MU,M,1.01,0,0,0,0,0,0,56,1,2,2,0,0,0,8000,3.09,0.39,3.09,0.39,0.00,0.78,8.64,10.90,-2.26,8.64,y
Pep Biel,COP,M,4.82,1,0,5,1,25,9,117,2,6,5,5,0,0,7400,10.65,1.44,8.57,1.16,2.07,0.08,2.19,,,0.11,y
R. Falk Jensen,COP,M,8.51,1,2,6,3,2,4,330,17,11,11,17,1,0,5200,8.52,1.64,5.93,1.14,2.58,0.08,0.06,,,-2.53,y
Zeca,COP,M,9,0,0,4,0,3,3,419,16,14,28,20,3,0,4200,6.66,1.59,6.66,1.59,0.00,0.08,-1.80,,,-1.80,y
Juan Mata,MU,M,1.00,0,2,2,0,5,5,43,3,1,0,0,0,0,8600,25.86,3.01,13.86,1.61,12.00,0.78,31.42,12.92,18.50,19.42,
Jesse Lingard,MU,M,1.17,2,0,3,2,1,2,39,1,3,1,0,0,0,5400,24.84,4.60,7.70,1.43,17.14,0.78,30.40,10.87,19.52,13.25,
Jonas Wind,COP,F,1.00,2,1,4,2,0,2,33,1,0,0,1,0,0,9000,36.16,4.02,10.16,1.13,26.00,0.08,27.70,,,1.70,
Scott McTominay,MU,M,1.82,0,0,1,0,0,1,93,5,5,4,2,1,0,6000,5.41,0.90,5.41,0.90,0.00,0.78,10.97,8.75,2.22,10.97,
Odion Ighalo,MU,F,1.08,0,0,2,1,0,0,10,1,0,1,0,0,0,9400,4.82,0.51,4.82,0.51,0.00,0.78,10.38,21.29,-10.91,10.38,
Timothy Fosu-Mensah,MU,D,2.43,0,0,2,0,3,2,115,2,6,3,5,1,0,4000,4.68,1.17,4.68,1.17,0.00,0.78,10.24,8.32,1.92,10.24,
Nemanja Matic,MU,M,3.31,0,0,0,0,0,1,221,6,8,4,7,1,0,4200,4.05,0.97,4.05,0.97,0.00,0.78,9.61,7.31,2.29,9.61,
Daniel James,MU,M,1.00,0,0,0,0,4,0,17,0,1,1,0,0,0,6600,3.64,0.55,3.64,0.55,0.00,0.78,9.20,12.40,-3.20,9.20,
Victor Lindelof,MU,D,4.00,0,0,0,0,0,0,215,1,3,2,7,1,0,3200,1.95,0.61,1.95,0.61,0.00,0.78,7.51,4.32,3.18,7.51,
