Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Wan-Bissaka,MU,D,6800,450,1,0,3,2,5,3,229,2,4,10,4,0,0.3,0.1,90,,y
Anthony Martial,MU,F,9400,108,0,0,1,0,0,0,24,3,2,0,0,0,0.2,0,54,0,y
Axel Tuanzebe,MU,D,3000,24,0,0,0,0,0,0,8,0,1,0,0,0,0,0,,4.8,
Bruno Fernandes,MU,M,12400,389,4,2,14,6,11,12,215,8,7,11,2,1,2.2,1.1,77.8,,y
Daniel James,MU,M,4400,132,0,0,5,1,1,3,47,1,1,2,0,1,0.2,0.1,66,0,
David de Gea,MU,GK,7600,450,0,0,0,0,0,0,80,0,0,0,0,0,0,0,90,,
Donny van de Beek,MU,M,5000,54,0,0,0,0,2,1,31,0,1,1,0,0,0,0,,10.8,
Edinson Cavani,MU,F,10600,58,1,0,3,1,1,0,3,0,1,0,1,0,0.5,0,,11.6,
Eric Bailly,MU,D,3000,90,0,0,0,0,0,0,29,0,2,0,1,1,0,0,90,0,
Fred,MU,M,4600,354,0,0,4,0,1,3,244,6,8,8,6,3,0.1,0.7,77.25,45,y
Harry Maguire,MU,D,5200,450,1,0,9,1,0,2,261,2,4,1,7,1,0.4,0,90,,y
Juan Mata,MU,M,7200,227,0,1,3,2,3,6,105,1,1,2,0,0,0.3,0.4,75.66666667,0,
Luke Shaw,MU,D,7000,426,0,1,1,1,15,6,260,4,7,8,3,2,0,0.4,85.2,,
Marcus Rashford,MU,M/F,11600,450,1,3,14,6,3,9,121,7,3,1,2,1,1.3,0.9,90,,y
Mason Greenwood,MU,M/F,8600,149,0,0,4,2,2,2,39,2,2,2,0,1,0.2,0.1,70.5,2.666666667,
Nemanja Matic,MU,M,3800,75,0,0,1,1,0,1,63,1,0,1,0,0,0,0,45,7.5,y
Paul Pogba,MU,M,5200,244,0,0,2,0,4,2,130,4,10,5,1,0,0.1,0,90,28.66666667,
Scott McTominay,MU,M,5800,397,0,0,3,0,2,4,196,8,9,4,8,0,0.2,0.1,88,45,
Victor Lindelof,MU,D,3600,360,0,0,0,0,0,1,228,0,3,1,4,0,0,0,90,0,y
Branislav Ivanovic,WBA,D,3400,270,0,0,3,1,0,1,131,1,3,1,1,0,0.4,0.1,90,0,y
Callum Robinson,WBA,M/F,6000,206,0,0,5,1,5,3,38,1,0,1,0,0,0.2,0.2,62.5,27,
Conor Gallagher,WBA,M,4200,360,0,0,4,0,5,1,115,9,11,13,0,1,0.2,0,90,0,y
Conor Townsend,WBA,D,5400,450,0,0,2,1,13,4,256,5,2,8,1,0,0,0.2,90,,y
Dara O'Shea,WBA,D,4400,180,0,0,2,0,0,2,55,4,3,2,2,0,0.1,0,90,0,
Darnell Furlong,WBA,D,6200,360,0,0,5,2,9,4,130,6,1,3,1,0,0.2,0.4,90,0,y
Filip Krovinovic,WBA,M,6600,354,0,0,5,2,3,3,203,9,4,6,2,0,0.1,0.2,81.75,27,
Grady Diangana,WBA,M,6000,356,0,0,4,2,9,2,78,14,5,2,3,0,0.1,0,83,24,y
Hal Robson-Kanu,WBA,M/F,4600,31,0,0,1,1,1,0,0,1,1,0,0,0,0,0,,6.2,
Jake Livermore,WBA,M,4000,385,0,0,2,0,1,1,114,2,13,4,5,2,0,0.1,77,,
Karlan Grant,WBA,F,6400,328,1,0,6,2,2,0,41,5,1,0,0,0,1,0,82,0,y
Kyle Bartley,WBA,D,3200,180,0,0,0,0,0,0,33,0,4,0,0,1,0,0,90,0,y
Kyle Edwards,WBA,M/F,4600,75,0,0,1,1,1,0,21,1,1,0,1,0,0,0,45,7.5,
Matheus Pereira,WBA,M,8800,322,0,0,8,2,7,5,106,10,3,1,2,0,0.3,0.3,80.5,0,y
Matt Phillips,WBA,M,3800,38,0,0,0,0,3,2,11,0,1,1,0,1,0,0.1,,7.6,
Romaine Sawyers,WBA,M,4200,110,0,0,1,0,0,1,56,0,2,0,2,1,0,0,63,11.75,y
Sam Field,WBA,M,3400,45,0,0,0,0,0,0,14,1,2,4,0,0,0,0,,9,
Sam Johnstone,WBA,GK,4800,450,0,0,0,0,0,0,117,1,0,0,0,0,0,0,90,,
Semi Ajayi,WBA,D,3000,360,0,0,0,0,0,0,165,0,3,6,1,0,0,0,90,0,y
