,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Bruno Fernandes,MU,M,12400,4.322222222222222,4,2,14,6,11,12,215,8,7,11,2,1,13.997429305912597,25.681233933161955,0.44000000000000006,0.9618220338983051,0.45746508656769025,0.9703083499235141,0.22000000000000003,0.5727542372881356,0.38410889990382485,0.48515417496175706,15.393938142226498,5.530136458170498,46.0,0.30434782608695654,4.685111608503717,0.42857142857142855,2.0079049750730213,31.0,0.3870967741935484,4.015809950146043,72.99,2.121054433254415,28.722835082728466,77.8,0.0,y,Bruno Fernandes
1,Marcus Rashford,MU,M/F,11600,5.0,1,3,14,6,3,9,121,7,3,1,2,1,8.204,13.504000000000001,0.26,0.9618220338983051,0.2703202784263624,0.5733640249548038,0.18,0.5727542372881356,0.3142709181031294,0.3969443249687103,15.393938142226498,5.530136458170498,46.0,0.30434782608695654,4.685111608503717,0.42857142857142855,2.0079049750730213,31.0,0.2903225806451613,3.0118574626095325,72.99,2.121054433254415,19.92418024554657,90.0,0.0,y,Marcus Rashford
2,Matheus Pereira,WBA,M,8800,3.577777777777778,0,0,8,2,7,5,106,10,3,1,2,0,9.089440993788818,9.089440993788818,0.075,0.5816479400749064,0.12894397939471988,0.16669628612963835,0.075,0.24833333333333335,0.3020134228187919,0.16669628612963835,7.894800465167023,2.879541248491699,33.0,0.24242424242424243,1.9138910218586724,0.25,0.4784727554646681,18.0,0.2777777777777778,1.1961818886616702,10.0,1.292780685939218,10.635686244059222,80.5,0.0,y,Matheus Pereira
3,Darnell Furlong,WBA,D,6200,4.0,0,0,5,2,9,4,130,6,1,3,1,0,7.2250000000000005,7.2250000000000005,0.05,0.5816479400749064,0.08596265292981327,0.11113085741975892,0.1,0.24833333333333335,0.40268456375838924,0.22226171483951784,7.894800465167023,2.879541248491699,33.0,0.15151515151515152,1.1961818886616702,0.4,0.4784727554646681,18.0,0.2222222222222222,0.956945510929336,10.0,1.292780685939218,9.55147901829037,90.0,0.0,y,Darnell Furlong
4,Karlan Grant,WBA,F,6400,3.6444444444444444,1,0,6,2,2,0,41,5,1,0,0,0,4.0390243902439025,6.782926829268293,0.25,0.5816479400749064,0.42981326464906633,0.5556542870987946,0.0,0.24833333333333335,0.0,0.0,7.894800465167023,2.879541248491699,33.0,0.18181818181818182,1.4354182663940043,0.3333333333333333,0.47847275546466805,18.0,0.0,0.0,10.0,1.292780685939218,9.150433892846618,82.0,0.0,y,Karlan Grant
5,Aaron Wan-Bissaka,MU,D,6800,5.0,1,0,3,2,5,3,229,2,4,10,4,0,5.616,7.616,0.06,0.9618220338983051,0.062381602713775935,0.1323147749895701,0.02,0.5727542372881356,0.03491899090034771,0.04410492499652337,15.393938142226498,5.530136458170498,46.0,0.06521739130434782,1.0039524875365107,0.6666666666666666,0.6693016583576737,31.0,0.0967741935483871,1.0039524875365107,72.99,2.121054433254415,8.280983933305537,90.0,0.0,y,Aaron Wan-Bissaka
6,Fred,MU,M,4600,3.933333333333333,0,0,4,0,1,3,244,6,8,8,6,3,6.503389830508475,5.359322033898305,0.021822033898305084,0.9618220338983051,0.022688224150843646,0.0481229584178168,0.15275423728813559,0.5727542372881356,0.2667011910926981,0.33686070892471764,15.393938142226498,5.530136458170498,46.0,0.08695652173913043,1.3386033167153475,0.0,0.0,31.0,0.0967741935483871,1.0039524875365107,72.99,2.121054433254415,7.917492014859688,77.25,45.0,y,Fred
7,Grady Diangana,WBA,M,6000,3.9555555555555557,0,0,4,2,9,2,78,14,5,2,3,0,7.801685393258427,7.801685393258427,0.023314606741573034,0.5816479400749064,0.040083708950418545,0.051819444751910054,0.0,0.24833333333333335,0.0,0.0,7.894800465167023,2.879541248491699,33.0,0.12121212121212122,0.9569455109293362,0.5,0.4784727554646681,18.0,0.1111111111111111,0.478472755464668,10.0,1.292780685939218,7.761804570501368,83.0,24.0,y,Grady Diangana
8,Conor Townsend,WBA,D,5400,5.0,0,0,2,1,13,4,256,5,2,8,1,0,6.744,6.744,0.0,0.5816479400749064,0.0,0.0,0.04,0.24833333333333335,0.1610738255033557,0.08890468593580714,7.894800465167023,2.879541248491699,33.0,0.06060606060606061,0.4784727554646681,0.5,0.23923637773233405,18.0,0.2222222222222222,0.956945510929336,10.0,1.292780685939218,7.552082759741181,90.0,0.0,y,Conor Townsend
9,Conor Gallagher,WBA,M,4200,4.0,0,0,4,0,5,1,115,9,11,13,0,1,6.825,6.45,0.05,0.5816479400749064,0.08596265292981327,0.11113085741975892,0.0,0.24833333333333335,0.0,0.0,7.894800465167023,2.879541248491699,33.0,0.12121212121212122,0.9569455109293362,0.0,0.0,18.0,0.05555555555555555,0.239236377732334,10.0,1.292780685939218,7.507490462859259,90.0,0.0,y,Conor Gallagher
