Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Abdoulaye Doucoure,EVE,M,5200,378,0,1,3,1,0,4,213,3,4,9,1,1,0.1,0.9,75.6,,y
Alex Iwobi,EVE,M,4200,149,0,1,1,0,3,1,45,2,3,2,2,0,0,0.4,45,20.75,
Allan,EVE,M,4800,360,0,0,2,1,1,1,171,4,8,9,1,1,0,0,90,0,y
Andre Gomes,EVE,M,3800,236,0,0,0,0,2,2,122,3,7,5,0,1,0,0,78.66666667,,y
Anthony Gordon,EVE,M,4000,33,0,0,0,0,0,0,10,2,0,1,0,0,0,0,,6.6,
Ben Godfrey,EVE,D,3400,150,0,0,0,0,1,0,55,1,1,2,1,0,0,0,90,45,
Bernard,EVE,M,4000,45,0,0,0,0,1,2,25,0,2,1,1,1,0,0.2,,9,
Dominic Calvert-Lewin,EVE,F,10400,430,6,0,17,10,5,0,59,6,5,1,0,1,4.2,0,86,,y
Fabian Delph,EVE,M,4200,66,0,0,0,0,0,0,49,2,0,1,1,0,0,0,,13.2,y
Gylfi Sigurdsson,EVE,M,7400,207,0,1,2,0,2,3,97,2,2,2,1,0,0.1,0.3,73.5,20,y
James Rodriguez,EVE,M/F,11600,419,3,3,11,6,8,12,210,14,5,2,1,1,1.7,1.7,83.8,,
Jordan Pickford,EVE,GK,5600,450,0,0,0,0,0,1,106,0,0,0,0,0,0,0,90,,
Lucas Digne,EVE,D,8000,431,0,1,2,0,29,8,270,2,10,2,1,0,0.1,0.9,86.2,,
Michael Keane,EVE,D,5600,450,2,0,3,2,0,2,344,2,2,2,3,0,0.7,0.2,90,,y
Richarlison,EVE,M/F,9800,292,1,2,8,1,2,3,69,8,5,4,1,1,1.8,1,73,0,
Seamus Coleman,EVE,D,5800,267,0,1,1,1,5,1,150,2,2,7,0,0,0,0.4,79,0,
Tom Davies,EVE,M,3600,91,0,0,0,0,1,0,44,0,1,4,2,0,0,0,90,0.25,
Yerry Mina,EVE,D,5000,450,1,0,2,2,0,0,317,3,6,1,1,0,0.1,0,90,,y
Allan Saint-Maximin,NEW,M,8800,272,1,1,3,3,5,6,56,11,3,3,2,0,0.1,1,71.25,0,y
Andy Carroll,NEW,F,6200,62,0,0,1,0,1,0,12,2,3,0,0,0,0,0,45,4.25,
Callum Wilson,NEW,F,8600,450,3,1,6,2,1,3,42,10,9,1,1,0,3.2,0.3,90,,y
Emil Krafth,NEW,D,4000,180,0,0,0,0,3,2,66,1,0,4,2,1,0,0,90,0,
Fabian Schar,NEW,D,4000,186,0,0,1,0,0,0,94,0,3,2,3,0,0,0,72,14,y
Federico Fernandez,NEW,D,3800,450,0,0,0,0,0,0,176,4,4,2,1,0,0,0,90,,y
Isaac Hayden,NEW,M,3600,318,0,0,2,1,0,2,109,4,9,5,3,1,0,0,79.5,0,
Jacob Murphy,NEW,M/F,8400,107,1,0,1,1,2,1,34,2,2,4,0,0,0,0.1,90,4.25,y
Jamaal Lascelles,NEW,D,3600,357,0,0,1,0,0,0,136,0,3,3,2,1,0,0,89.25,0,y
Jamal Lewis,NEW,D,4400,382,0,0,0,0,7,1,122,9,5,5,3,3,0,0.1,90,22,y
Javier Manquillo,NEW,D,4600,216,0,0,1,0,2,0,90,2,1,3,1,0,0,0,90,12,
Jeff Hendrick,NEW,M,5400,430,0,0,5,0,1,0,130,7,4,1,3,0,0.2,0,86,,y
Joelinton,NEW,M/F,4400,282,0,0,1,1,2,2,83,4,1,4,1,2,0,0,83.33333333,16,
Jonjo Shelvey,NEW,M,6800,341,0,0,5,2,10,3,142,3,6,6,1,2,0.4,0.1,85.25,0,
Karl Darlow,NEW,GK,4600,450,0,0,0,0,0,0,84,1,0,0,0,0,0,0,90,,
Matt Ritchie,NEW,M,9000,68,0,0,1,0,2,1,25,1,0,0,0,0,0,0.1,68,0,
Miguel Almiron,NEW,M/F,7800,214,0,0,2,0,6,4,77,4,3,6,2,1,0.1,0.6,83,16,y
Ryan Fraser,NEW,M,6600,172,0,0,1,0,9,0,43,3,0,0,1,0,0,0,77,20.5,b
Sean Longstaff,NEW,M,6400,13,0,0,1,0,0,0,6,0,1,0,0,0,0,0,,2.6,y
