,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Dominic Calvert-Lewin,EVE,F,10400,4.777777777777778,6,0,17,10,5,0,59,6,5,1,0,1,7.572558139534884,19.816744186046513,4.2,5.199999999999999,0.8076923076923078,2.3225068844595183,0.0,1.4,0.0,0.0,9.758766363534459,5.652364311853918,29.0,0.5862068965517241,5.720656144140889,0.5882352941176471,3.365091849494641,12.0,0.0,0.0,72.22,2.8754847140927366,33.846816838230716,86.0,0.0,y,Dominic Calvert-Lewin
1,Callum Wilson,NEW,F,8600,5.0,3,1,6,2,1,3,42,10,9,1,1,0,3.908,11.108,3.2,3.6000000000000005,0.8888888888888888,1.322591484115886,0.3,2.1,0.14285714285714285,0.12399295163586428,9.716209407525199,3.4923881813858637,21.0,0.2857142857142857,2.776059830721485,0.3333333333333333,0.9253532769071616,15.0,0.2,1.3880299153607427,26.67,1.4879154196303717,20.767315573963437,90.0,0.0,y,Callum Wilson
2,Allan Saint-Maximin,NEW,M,8800,3.022222222222222,1,1,3,3,5,6,56,11,3,3,2,0,9.966176470588236,15.260294117647058,0.1,3.6000000000000005,0.027777777777777776,0.041330983878621434,1.0,2.1,0.47619047619047616,0.4133098387862143,9.716209407525199,3.4923881813858637,21.0,0.14285714285714285,1.3880299153607425,1.0,1.3880299153607425,15.0,0.4,2.7760598307214854,26.67,1.4879154196303717,13.191795885887647,71.25,0.0,y,Allan Saint-Maximin
3,Miguel Almiron,NEW,M/F,7800,2.3777777777777778,0,0,2,0,6,4,77,4,3,6,2,1,8.932710280373831,8.301869158878503,0.1,3.6000000000000005,0.027777777777777776,0.041330983878621434,0.6,2.1,0.2857142857142857,0.24798590327172856,9.716209407525199,3.4923881813858637,21.0,0.09523809523809523,0.9253532769071617,0.0,0.0,15.0,0.26666666666666666,1.8507065538143235,26.67,1.4879154196303717,10.006350509698818,83.0,16.0,y,Miguel Almiron
4,Michael Keane,EVE,D,5600,5.0,2,0,3,2,0,2,344,2,2,2,3,0,3.6759999999999997,7.676,0.7,5.199999999999999,0.13461538461538464,0.3870844807432531,0.2,1.4,0.14285714285714288,0.11059556592664375,9.758766363534459,5.652364311853918,29.0,0.10344827586206896,1.0095275548483924,0.6666666666666666,0.6730183698989283,12.0,0.16666666666666666,0.6730183698989283,72.22,2.8754847140927366,9.165982497638641,90.0,0.0,y,Michael Keane
5,Abdoulaye Doucoure,EVE,M,5200,4.2,0,1,3,1,0,4,213,3,4,9,1,1,5.4190476190476184,6.49047619047619,0.1,5.199999999999999,0.019230769230769235,0.05529778296332187,0.9,1.4,0.6428571428571429,0.49768004666989685,9.758766363534459,5.652364311853918,29.0,0.10344827586206896,1.0095275548483924,0.3333333333333333,0.33650918494946414,12.0,0.3333333333333333,1.3460367397978565,72.22,2.8754847140927366,8.883131589248313,75.6,0.0,y,Abdoulaye Doucoure
6,Jacob Murphy,NEW,M/F,8400,1.1888888888888889,1,0,1,1,2,1,34,2,2,4,0,0,8.478504672897197,16.889719626168223,0.0,3.6000000000000005,0.0,0.0,0.1,2.1,0.047619047619047616,0.04133098387862143,9.716209407525199,3.4923881813858637,21.0,0.047619047619047616,0.46267663845358087,1.0,0.46267663845358087,15.0,0.06666666666666667,0.46267663845358087,26.67,1.4879154196303717,7.59115600554836,90.0,4.25,y,Jacob Murphy
7,Gylfi Sigurdsson,EVE,M,7400,2.3,0,1,2,0,2,3,97,2,2,2,1,0,5.147826086956522,7.756521739130435,0.1,5.199999999999999,0.019230769230769235,0.05529778296332187,0.3,1.4,0.2142857142857143,0.16589334888996563,9.758766363534459,5.652364311853918,29.0,0.06896551724137931,0.6730183698989282,0.0,0.0,12.0,0.25,1.0095275548483924,72.22,2.8754847140927366,5.659579499894246,73.5,20.0,y,Gylfi Sigurdsson
8,Jeff Hendrick,NEW,M,5400,4.777777777777778,0,0,5,0,1,0,130,7,4,1,3,0,3.3069767441860467,3.3069767441860467,0.2,3.6000000000000005,0.05555555555555555,0.08266196775724287,0.0,2.1,0.0,0.0,9.716209407525199,3.4923881813858637,21.0,0.23809523809523808,2.3133831922679042,0.0,0.0,15.0,0.0,0.0,26.67,1.4879154196303717,5.300002869840333,86.0,0.0,y,Jeff Hendrick
9,Jamal Lewis,NEW,D,4400,4.2444444444444445,0,0,0,0,7,1,122,9,5,5,3,3,5.027748691099476,3.967539267015707,0.0,3.6000000000000005,0.0,0.0,0.1,2.1,0.047619047619047616,0.04133098387862143,9.716209407525199,3.4923881813858637,21.0,0.0,0.0,0.0,0.0,15.0,0.06666666666666667,0.46267663845358087,26.67,1.4879154196303717,4.4425997145001785,90.0,22.0,y,Jamal Lewis
