player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Allan Saint-Maximin,NEW,DELETE,DELETE,272.0,1.0,1.0,3.0,3.0,5.0,6.0,56.0,11.0,3.0,3.0,2.0,0.0,0.1,1.0,DELETE,DELETE,DELETE
Andy Carroll,NEW,DELETE,DELETE,62.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Callum Wilson,NEW,DELETE,DELETE,450.0,3.0,1.0,6.0,2.0,1.0,3.0,42.0,10.0,9.0,1.0,1.0,0.0,3.2000000000000006,0.30000000000000004,DELETE,DELETE,DELETE
Federico Fernandez,NEW,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Isaac Hayden,NEW,DELETE,DELETE,318.0,0.0,0.0,2.0,1.0,0.0,2.0,109.0,4.0,9.0,5.0,3.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Jamaal Lascelles,NEW,DELETE,DELETE,357.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Jamal Lewis,NEW,DELETE,DELETE,382.0,0.0,0.0,0.0,0.0,7.0,1.0,122.0,9.0,5.0,5.0,3.0,3.0,0.0,0.1,DELETE,DELETE,DELETE
Javier Manquillo,NEW,DELETE,DELETE,216.0,0.0,0.0,1.0,0.0,2.0,0.0,90.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jeff Hendrick,NEW,DELETE,DELETE,430.0,0.0,0.0,5.0,0.0,1.0,0.0,130.0,7.0,4.0,1.0,3.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Joelinton,NEW,DELETE,DELETE,282.0,0.0,0.0,1.0,1.0,2.0,2.0,83.0,4.0,1.0,4.0,1.0,2.0,0.0,0.0,DELETE,DELETE,DELETE
Jonjo Shelvey,NEW,DELETE,DELETE,341.0,0.0,0.0,5.0,2.0,10.0,3.0,142.0,3.0,6.0,6.0,1.0,2.0,0.4,0.1,DELETE,DELETE,DELETE
Karl Darlow,NEW,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Miguel Almiron,NEW,DELETE,DELETE,214.0,0.0,0.0,2.0,0.0,6.0,4.0,77.0,4.0,3.0,6.0,2.0,1.0,0.1,0.6,DELETE,DELETE,DELETE
Ryan Fraser,NEW,DELETE,DELETE,172.0,0.0,0.0,1.0,0.0,9.0,0.0,43.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
