Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adam Buksa,NE,F,7400,253,2,1,11,6,2,2,43,2,11,2,0,2,2.3,0.8,90,24.33333333,y
Alexander Buttner,NE,D,8200,81,0,1,1,0,5,5,54,3,1,1,0,0,0,0.2,70,2.75,y
Andrew Farrell,NE,D,3200,361,0,0,0,0,0,0,182,5,3,6,2,0,0,0,90,1,y
Antonio Delamea Mlinar,NE,D,3400,95,0,0,0,0,0,0,23,1,0,1,2,0,0,0,90,1.25,
Brandon Bye,NE,D,4800,348,0,0,5,1,15,7,191,3,4,3,2,1,0.4,1.1,82,20,b
Cristian Penilla,NE,M/F,9000,111,0,2,2,1,4,6,46,2,1,0,0,0,0.1,0.6,45,25,
DeJuan Jones,NE,M,5200,439,0,0,3,3,13,6,238,6,6,8,4,1,0.2,0.3,87.8,,y
Diego Fagundez,NE,M/F,6800,242,0,0,5,2,1,6,102,4,2,5,1,0,0.8,0.7,77.5,26,b
Gustavo Bou,NE,F,11000,200,1,0,7,3,3,4,45,2,2,1,3,0,0.5,0.6,90,6.666666667,
Henry Kessler,NE,D,4000,360,0,0,3,0,0,0,176,3,6,4,3,1,0.2,0,90,0,y
Kekuta Manneh,NE,M/F,7000,45,1,0,4,3,1,2,13,2,1,0,0,0,1.2,0.5,45,0,
Kelyn Rowe,NE,M,4800,124,0,0,3,0,2,1,61,1,3,2,1,1,0.2,0.4,69,13.75,b
Lee Nguyen,NE,M,8000,280,1,1,3,2,5,11,121,3,6,2,0,1,1.1,1.1,70,0,y
Matt Polster,NE,D,4000,167,0,0,1,0,1,2,96,1,0,2,1,1,0,0.1,67.5,11,
Matt Turner,NE,GK,6600,450,0,0,0,0,0,0,100,1,0,0,0,0,0,0,90,,
Michael Mancienne,NE,D,3600,90,0,0,1,0,0,0,30,0,1,0,1,0,0.1,0,90,0,
Scott Caldwell,NE,M,3400,327,0,0,0,0,0,1,195,2,5,3,4,1,0,0,81.75,,y
Tajon Buchanan,NE,M,8400,381,0,0,11,3,11,3,98,13,7,5,1,0,1.2,0.3,84,45,y
Teal Bunbury,NE,F,10000,298,2,0,13,3,2,3,67,4,8,4,1,1,1.7,0.2,71.75,11,y
Thomas McNamara,NE,M,4000,298,0,0,4,0,5,2,151,5,2,2,1,2,0.3,0.2,79.33333333,29.5,y
Alejandro Bedoya,PHI,M,6200,354,1,0,6,2,2,0,143,1,6,4,2,3,0.4,0,88.5,0,
Andre Blake,PHI,GK,5800,450,0,0,0,0,0,0,78,1,0,0,0,0,0,0,90,,
Andrew Wooten,PHI,F,6000,54,0,0,0,0,0,0,10,2,0,0,0,0,0,0,,10.8,
Anthony Fontana,PHI,M,8600,217,2,0,5,4,2,3,58,2,7,3,0,1,0.9,0.3,57.66666667,22,
Brenden Aaronson,PHI,M,7200,424,1,1,9,4,1,6,103,5,6,8,2,0,0.9,0.3,84.8,,y
Ilsinho,PHI,M,8800,188,2,2,5,3,1,4,106,2,2,2,0,0,0.9,1.4,71,29.25,b
Jack Elliott,PHI,D,3800,225,1,0,3,1,0,0,111,3,4,7,1,0,0.3,0,90,15,y
Jakob Glesnes,PHI,D,3000,225,0,0,0,0,0,0,71,3,2,1,4,0,0,0,75,0,y
Jamiro Monteiro,PHI,M,9600,450,1,1,8,6,10,12,197,11,9,11,5,0,0.7,1,90,,y
Jose Andres Martinez,PHI,M,3800,180,0,0,0,0,0,0,89,2,5,7,0,1,0,0,90,0,
Kacper Przybylko,PHI,F,9200,450,0,2,9,4,7,6,99,4,4,3,0,0,0.7,1.3,90,,y
Kai Wagner,PHI,D,5000,349,0,0,0,0,9,1,136,5,6,4,2,0,0,0.1,87.25,0,y
Mark McKenzie,PHI,D,4600,450,1,0,2,1,0,1,186,1,2,8,4,1,0,0.1,90,,y
Matthew Real,PHI,D,4600,126,0,0,1,0,4,0,49,0,3,3,2,1,0,0,85,10.25,
Olivier Mbaissidara,PHI,D,5400,420,0,0,1,1,21,5,205,3,9,9,6,3,0,0.3,84,,
Sergio Santos Gomes,PHI,F,7800,325,2,1,4,3,6,4,34,5,7,3,1,2,1.2,0.5,70,45,y
Warren Creavalle,PHI,M,3200,63,0,0,1,0,0,0,15,1,1,2,1,0,0.1,0,45,4.5,
