,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Jamiro Monteiro,PHI,M,9600,5.0,1,1,8,6,10,12,197,11,9,11,5,0,11.388,14.588,0.7,4.7,0.14893617021276595,0.2129787234042553,1.0,4.699999999999999,0.21276595744680854,0.30425531914893617,10.8126970217049,4.396982050946287,40.0,0.2,2.16253940434098,0.75,1.621904553255735,34.0,0.35294117647058826,3.24380910651147,31.71,1.43,17.171572213044357,90.0,0.0,y,Jamiro Monteiro
1,Kacper Przybylko,PHI,F,9200,5.0,0,2,9,4,7,6,99,4,4,3,0,0,6.176,8.575999999999999,0.7,4.7,0.14893617021276595,0.2129787234042553,1.3,4.699999999999999,0.27659574468085113,0.39553191489361705,10.8126970217049,4.396982050946287,40.0,0.225,2.4328568298836024,0.4444444444444444,1.08126970217049,34.0,0.17647058823529413,1.621904553255735,31.71,1.43,12.015009808714083,90.0,0.0,y,Kacper Przybylko
2,Tajon Buchanan,NE,M,8400,4.233333333333333,0,0,11,3,11,3,98,13,7,5,1,0,9.840944881889763,9.840944881889763,1.2,8.400000000000002,0.14285714285714282,0.23499999999999993,0.3,5.3,0.05660377358490566,0.05874999999999998,13.078679190395134,4.369984763566747,62.0,0.1774193548387097,2.3204108241023627,0.2727272727272727,0.6328393156642806,47.0,0.06382978723404255,0.6328393156642805,46.73,1.645,11.72543984913171,84.0,45.0,y,Tajon Buchanan
3,Brenden Aaronson,PHI,M,7200,4.711111111111111,1,1,9,4,1,6,103,5,6,8,2,0,6.95377358490566,10.350000000000001,0.9,4.7,0.19148936170212766,0.27382978723404255,0.3,4.699999999999999,0.06382978723404256,0.09127659574468085,10.8126970217049,4.396982050946287,40.0,0.225,2.4328568298836024,0.4444444444444444,1.08126970217049,34.0,0.17647058823529413,1.621904553255735,31.71,1.43,11.173988532118337,84.8,0.0,y,Brenden Aaronson
4,Ilsinho,PHI,M,8800,2.088888888888889,2,2,5,3,1,4,106,2,2,2,0,0,8.530851063829786,23.849999999999998,0.9,4.7,0.19148936170212766,0.27382978723404255,1.4,4.699999999999999,0.29787234042553196,0.4259574468085106,10.8126970217049,4.396982050946287,40.0,0.125,1.3515871277131124,0.6,0.8109522766278674,34.0,0.11764705882352941,1.0812697021704898,31.71,1.43,9.443356978851895,71.0,29.25,b,Ilsinho
5,Sergio Santos Gomes,PHI,F,7800,3.611111111111111,2,1,4,3,6,4,34,5,7,3,1,2,5.782153846153846,12.151384615384616,1.2,4.7,0.2553191489361702,0.3651063829787234,0.5,4.699999999999999,0.10638297872340427,0.15212765957446808,10.8126970217049,4.396982050946287,40.0,0.1,1.08126970217049,0.75,0.8109522766278675,34.0,0.11764705882352941,1.0812697021704898,31.71,1.43,9.019167622049043,70.0,45.0,y,Sergio Santos Gomes
6,Teal Bunbury,NE,F,10000,3.311111111111111,2,0,13,3,2,3,67,4,8,4,1,1,7.924832214765101,13.512080536912753,1.7,8.400000000000002,0.20238095238095233,0.3329166666666666,0.2,5.3,0.03773584905660378,0.03916666666666666,13.078679190395134,4.369984763566747,62.0,0.20967741935483872,2.742303701211883,0.23076923076923078,0.6328393156642808,47.0,0.06382978723404255,0.6328393156642805,46.73,1.645,8.954179200549392,71.75,11.0,y,Teal Bunbury
7,Adam Buksa,NE,F,7400,2.811111111111111,2,1,11,6,2,2,43,2,11,2,0,2,7.029249011857708,15.21106719367589,2.3,8.400000000000002,0.2738095238095237,0.4504166666666665,0.8,5.3,0.15094339622641512,0.15666666666666665,13.078679190395134,4.369984763566747,62.0,0.1774193548387097,2.3204108241023627,0.5454545454545454,1.2656786313285613,47.0,0.0425531914893617,0.4218928771095204,46.73,1.645,8.655311054543079,90.0,24.33333333,y,Adam Buksa
8,Alexander Buttner,NE,D,8200,0.9,0,1,1,0,5,5,54,3,1,1,0,0,15.644444444444444,22.31111111111111,0.0,8.400000000000002,0.0,0.0,0.2,5.3,0.03773584905660378,0.03916666666666666,13.078679190395134,4.369984763566747,62.0,0.016129032258064516,0.21094643855476022,0.0,0.0,47.0,0.10638297872340426,1.0547321927738011,46.73,1.645,8.483394680711278,70.0,2.75,y,Alexander Buttner
9,Lee Nguyen,NE,M,8000,3.111111111111111,1,1,3,2,5,11,121,3,6,2,0,1,7.688571428571429,12.349285714285715,1.1,8.400000000000002,0.13095238095238093,0.21541666666666665,1.1,5.3,0.2075471698113208,0.21541666666666665,13.078679190395134,4.369984763566747,62.0,0.04838709677419355,0.6328393156642806,0.6666666666666666,0.4218928771095204,47.0,0.23404255319148937,2.320410824102362,46.73,1.645,8.42680968354283,70.0,0.0,y,Lee Nguyen
10,DeJuan Jones,NE,M,5200,4.877777777777778,0,0,3,3,13,6,238,6,6,8,4,1,7.966742596810933,7.659225512528473,0.2,8.400000000000002,0.023809523809523805,0.03916666666666666,0.3,5.3,0.05660377358490566,0.05874999999999998,13.078679190395134,4.369984763566747,62.0,0.04838709677419355,0.6328393156642806,1.0,0.6328393156642806,47.0,0.1276595744680851,1.265678631328561,46.73,1.645,8.347523929323788,87.8,0.0,y,DeJuan Jones
11,Diego Fagundez,NE,M/F,6800,2.688888888888889,0,0,5,2,1,6,102,4,2,5,1,0,9.01487603305785,9.01487603305785,0.8,8.400000000000002,0.09523809523809522,0.15666666666666665,0.7,5.3,0.1320754716981132,0.1370833333333333,13.078679190395134,4.369984763566747,62.0,0.08064516129032258,1.0547321927738011,0.4,0.4218928771095205,47.0,0.1276595744680851,1.265678631328561,46.73,1.645,6.339073673663673,77.5,26.0,b,Diego Fagundez
12,Jack Elliott,PHI,D,3800,2.5,1,0,3,1,0,0,111,3,4,7,1,0,5.888,9.888,0.3,4.7,0.06382978723404255,0.09127659574468085,0.0,4.699999999999999,0.0,0.0,10.8126970217049,4.396982050946287,40.0,0.075,0.8109522766278674,0.3333333333333333,0.27031742554262245,34.0,0.0,0.0,31.71,1.43,6.282035659617298,90.0,15.0,y,Jack Elliott
13,Brandon Bye,NE,D,4800,3.8666666666666667,0,0,5,1,15,7,191,3,4,3,2,1,8.358620689655172,7.970689655172414,0.4,8.400000000000002,0.04761904761904761,0.07833333333333332,1.1,5.3,0.2075471698113208,0.21541666666666665,13.078679190395134,4.369984763566747,62.0,0.08064516129032258,1.0547321927738011,0.2,0.21094643855476025,47.0,0.14893617021276595,1.4766250698833214,46.73,1.645,5.8422749655796995,82.0,20.0,b,Brandon Bye
14,Thomas McNamara,NE,M,4000,3.311111111111111,0,0,4,0,5,2,151,5,2,2,1,2,5.744295302013423,4.838255033557047,0.3,8.400000000000002,0.035714285714285705,0.05874999999999998,0.2,5.3,0.03773584905660378,0.03916666666666666,13.078679190395134,4.369984763566747,62.0,0.06451612903225806,0.8437857542190409,0.0,0.0,47.0,0.0425531914893617,0.4218928771095204,46.73,1.645,4.755695409739971,79.33333333,29.5,y,Thomas McNamara
15,Kai Wagner,PHI,D,5000,3.8777777777777778,0,0,0,0,9,1,136,5,6,4,2,0,4.389111747851003,4.389111747851003,0.0,4.7,0.0,0.0,0.1,4.699999999999999,0.021276595744680854,0.030425531914893614,10.8126970217049,4.396982050946287,40.0,0.0,0.0,0.0,0.0,34.0,0.029411764705882353,0.27031742554262245,31.71,1.43,4.457870617031984,87.25,0.0,y,Kai Wagner
16,Mark McKenzie,PHI,D,4600,5.0,1,0,2,1,0,1,186,1,2,8,4,1,3.5439999999999996,5.244,0.0,4.7,0.0,0.0,0.1,4.699999999999999,0.021276595744680854,0.030425531914893614,10.8126970217049,4.396982050946287,40.0,0.05,0.540634851085245,0.5,0.2703174255426225,34.0,0.029411764705882353,0.27031742554262245,31.71,1.43,3.7078228936598516,90.0,0.0,y,Mark McKenzie
17,Andrew Farrell,NE,D,3200,4.011111111111111,0,0,0,0,0,0,182,5,3,6,2,0,3.525207756232687,3.525207756232687,0.0,8.400000000000002,0.0,0.0,0.0,5.3,0.0,0.0,13.078679190395134,4.369984763566747,62.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,46.73,1.645,3.525207756232687,90.0,1.0,y,Andrew Farrell
18,Henry Kessler,NE,D,4000,4.0,0,0,3,0,0,0,176,3,6,4,3,1,3.005,2.63,0.2,8.400000000000002,0.023809523809523805,0.03916666666666666,0.0,5.3,0.0,0.0,13.078679190395134,4.369984763566747,62.0,0.04838709677419355,0.6328393156642806,0.0,0.0,47.0,0.0,0.0,46.73,1.645,2.904505982330947,90.0,0.0,y,Henry Kessler
19,Jakob Glesnes,PHI,D,3000,2.5,0,0,0,0,0,0,71,3,2,1,4,0,2.568,2.568,0.0,4.7,0.0,0.0,0.0,4.699999999999999,0.0,0.0,10.8126970217049,4.396982050946287,40.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,31.71,1.43,2.14,75.0,0.0,y,Jakob Glesnes
20,Kelyn Rowe,NE,M,4800,1.3777777777777778,0,0,3,0,2,1,61,1,3,2,1,1,6.256451612903226,5.167741935483872,0.2,8.400000000000002,0.023809523809523805,0.03916666666666666,0.4,5.3,0.07547169811320756,0.07833333333333332,13.078679190395134,4.369984763566747,62.0,0.04838709677419355,0.6328393156642806,0.0,0.0,47.0,0.02127659574468085,0.2109464385547602,46.73,1.645,2.0514201628211914,69.0,13.75,b,Kelyn Rowe
21,Scott Caldwell,NE,M,3400,3.6333333333333333,0,0,0,0,0,1,195,2,5,3,4,1,2.5871559633027523,2.1743119266055047,0.0,8.400000000000002,0.0,0.0,0.0,5.3,0.0,0.0,13.078679190395134,4.369984763566747,62.0,0.0,0.0,0.0,0.0,47.0,0.02127659574468085,0.2109464385547602,46.73,1.645,1.9359464385547602,81.75,0.0,y,Scott Caldwell
