player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adam Buksa,NE,DELETE,DELETE,253.0,2.0,1.0,11.0,6.0,2.0,2.0,43.0,2.0,11.0,2.0,0.0,2.0,2.3000000000000003,0.8,DELETE,DELETE,DELETE
Andrew Farrell,NE,DELETE,DELETE,361.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,5.0,3.0,6.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Brandon Bye,NE,DELETE,DELETE,348.0,0.0,0.0,5.0,1.0,15.0,7.0,191.0,3.0,4.0,3.0,2.0,1.0,0.4,1.0999999999999999,DELETE,DELETE,DELETE
Cristian Penilla,NE,DELETE,DELETE,111.0,0.0,2.0,2.0,1.0,4.0,6.0,46.0,2.0,1.0,0.0,0.0,0.0,0.1,0.6000000000000001,DELETE,DELETE,DELETE
DeJuan Jones,NE,DELETE,DELETE,439.0,0.0,0.0,3.0,3.0,13.0,6.0,238.0,6.0,6.0,8.0,4.0,1.0,0.2,0.30000000000000004,DELETE,DELETE,DELETE
Diego Fagundez,NE,DELETE,DELETE,242.0,0.0,0.0,5.0,2.0,1.0,6.0,102.0,4.0,2.0,5.0,1.0,0.0,0.8,0.7,DELETE,DELETE,DELETE
Gustavo Bou,NE,DELETE,DELETE,200.0,1.0,0.0,7.0,3.0,3.0,4.0,45.0,2.0,2.0,1.0,3.0,0.0,0.5,0.6,DELETE,DELETE,DELETE
Henry Kessler,NE,DELETE,DELETE,360.0,0.0,0.0,3.0,0.0,0.0,0.0,176.0,3.0,6.0,4.0,3.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Lee Nguyen,NE,DELETE,DELETE,280.0,1.0,1.0,3.0,2.0,5.0,11.0,121.0,3.0,6.0,2.0,0.0,1.0,1.1,1.1,DELETE,DELETE,DELETE
Matt Polster,NE,DELETE,DELETE,167.0,0.0,0.0,1.0,0.0,1.0,2.0,96.0,1.0,0.0,2.0,1.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
