player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adrian Cubas,NIM,DELETE,DELETE,450.0,1.0,0.0,6.0,3.0,2.0,2.0,170.0,3.0,7.0,15.0,7.0,1.0,0.2,0.4,DELETE,DELETE,DELETE
Baptiste Reynet,NIM,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,0.0,1.0,121.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Birger Meling,NIM,DELETE,DELETE,360.0,0.0,1.0,3.0,2.0,7.0,3.0,186.0,9.0,3.0,9.0,3.0,0.0,0.2,0.30000000000000004,DELETE,DELETE,DELETE
Haris Duljevic,NIM,DELETE,DELETE,56.0,0.0,0.0,2.0,0.0,0.0,2.0,13.0,1.0,2.0,0.0,2.0,0.0,0.2,0.2,DELETE,DELETE,DELETE
Kevin Denkey,NIM,DELETE,DELETE,232.0,0.0,0.0,9.0,5.0,0.0,1.0,37.0,3.0,9.0,1.0,1.0,2.0,1.0,0.0,DELETE,DELETE,DELETE
Loick Landre,NIM,DELETE,DELETE,450.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,3.0,11.0,8.0,5.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Lucas Deaux,NIM,DELETE,DELETE,259.0,0.0,0.0,4.0,1.0,6.0,2.0,76.0,3.0,3.0,3.0,3.0,0.0,0.2,0.1,DELETE,DELETE,DELETE
Moussa Kone,NIM,DELETE,DELETE,80.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Pablo Martinez,NIM,DELETE,DELETE,178.0,0.0,1.0,0.0,0.0,0.0,2.0,123.0,3.0,1.0,4.0,2.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Renaud Ripart,NIM,DELETE,DELETE,450.0,1.0,0.0,10.0,3.0,11.0,3.0,129.0,10.0,6.0,7.0,3.0,1.0,0.8,0.1,DELETE,DELETE,DELETE
