Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
Randall Leal,NSH,M,9200,4.311111111,0,1,6,4,4,6,97,10,11,6,3,1,7.594329897,8.63814433,0.3,2.8,0.107142857,0.169285714,0.8,3.3,0.242424242,0.451428571,11.17134042,4.530786228,30,0.2,2.234268084,0.666666667,1.489512056,26,0.230769231,2.234268084,38.1,1.58,13.72759535,85.75,45,y,Randall Leal
Andres Ricaurte,DAL,M,6800,4.488888889,0,0,5,1,6,14,249,18,8,6,1,1,11.06732673,10.73316832,0.1,5,0.02,0.0242,1.2,3.9,0.307692308,0.2904,11.70752459,3.691317069,58,0.086206897,1.009269361,0.2,0.201853872,50,0.28,2.825954212,36.67,1.21,11.65747745,80.8,0,y,Andres Ricaurte
Abu Danladi,NSH,F,9400,1.344444444,1,1,5,1,0,3,21,4,0,3,1,0,12.58512397,24.48595041,0.6,2.8,0.214285714,0.338571429,0.4,3.3,0.121212121,0.225714286,11.17134042,4.530786228,30,0.166666667,1.86189007,0.2,0.372378014,26,0.115384615,1.117134042,38.1,1.58,11.49503849,52,5.666666667,y,Abu Danladi
Ryan Hollingshead,DAL,D,6200,5,1,0,13,4,7,7,204,1,3,6,7,0,8.396,10.396,1,5,0.2,0.242,0.4,3.9,0.102564103,0.0968,11.70752459,3.691317069,58,0.224137931,2.624100339,0.307692308,0.807415489,50,0.14,1.412977106,36.67,1.21,11.44129293,90,0,y,Ryan Hollingshead
Derrick Jones,NSH,M,3400,3.577777778,0,1,4,1,1,2,80,8,6,3,0,1,4.835403727,6.093167702,0.7,2.8,0.25,0.395,0.7,3.3,0.212121212,0.395,11.17134042,4.530786228,30,0.133333333,1.489512056,0.25,0.372378014,26,0.076923077,0.744756028,38.1,1.58,11.04010365,77.33333333,45,y,Derrick Jones
Dax McCarty,NSH,M,4200,4,0,0,3,1,1,3,178,7,4,8,3,0,6.44,6.44,0.2,2.8,0.071428571,0.112857143,0.2,3.3,0.060606061,0.112857143,11.17134042,4.530786228,30,0.1,1.117134042,0.333333333,0.372378014,26,0.115384615,1.117134042,38.1,1.58,9.102360384,90,0,y,Dax McCarty
Franco Jara,DAL,F,8800,4.044444444,0,0,10,5,2,3,51,5,8,2,1,1,5.914285714,5.543406593,1.7,5,0.34,0.4114,0.2,3.9,0.051282051,0.0484,11.70752459,3.691317069,58,0.172413793,2.018538723,0.5,1.009269361,50,0.06,0.605561617,36.67,1.21,9.072948272,85.25,23,y,Franco Jara
Alex Muyl,NSH,M,4600,2.644444444,0,0,5,2,5,3,55,3,4,3,0,0,7.033613445,7.033613445,0.5,2.8,0.178571429,0.282142857,0,3.3,0,0,11.17134042,4.530786228,30,0.166666667,1.86189007,0.4,0.744756028,26,0.115384615,1.117134042,38.1,1.58,8.677141485,59,2,y,Alex Muyl
Daniel Lovitz,NSH,D,7400,4,0,0,1,0,8,5,132,3,3,8,1,1,6.06,5.685,0,2.8,0,0,0.5,3.3,0.151515152,0.282142857,11.17134042,4.530786228,30,0.033333333,0.372378014,0,0,26,0.192307692,1.86189007,38.1,1.58,8.112125227,90,0,y,Daniel Lovitz
Alistair Johnston,NSH,M,3600,2.944444444,0,0,1,0,6,4,139,3,5,8,1,2,7.125283019,6.106415094,0,2.8,0,0,0.7,3.3,0.212121212,0.395,11.17134042,4.530786228,30,0.033333333,0.372378014,0,0,26,0.153846154,1.489512056,38.1,1.58,8.036091328,77.66666667,16,y,Alistair Johnston
