player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Alan Winn,NSH,DELETE,DELETE,56.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,4.0,0.0,2.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Alex Muyl,NSH,DELETE,DELETE,238.0,0.0,0.0,5.0,2.0,5.0,3.0,55.0,3.0,4.0,3.0,0.0,0.0,0.5,0.0,DELETE,DELETE,DELETE
Alistair Johnston,NSH,DELETE,DELETE,265.0,0.0,0.0,1.0,0.0,6.0,4.0,139.0,3.0,5.0,8.0,1.0,2.0,0.0,0.7,DELETE,DELETE,DELETE
Anibal Godoy,NSH,DELETE,DELETE,53.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Brian Anunga,NSH,DELETE,DELETE,403.0,0.0,0.0,2.0,0.0,1.0,1.0,180.0,3.0,6.0,9.0,6.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Daniel Armando Rios,NSH,DELETE,DELETE,58.0,1.0,0.0,2.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,DELETE,DELETE,DELETE
Daniel Lovitz,NSH,DELETE,DELETE,360.0,0.0,0.0,1.0,0.0,8.0,5.0,132.0,3.0,3.0,8.0,1.0,1.0,0.0,0.5,DELETE,DELETE,DELETE
David Romney,NSH,DELETE,DELETE,450.0,0.0,0.0,2.0,0.0,1.0,0.0,167.0,0.0,0.0,6.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Dax McCarty,NSH,DELETE,DELETE,360.0,0.0,0.0,3.0,1.0,1.0,3.0,178.0,7.0,4.0,8.0,3.0,0.0,0.2,0.2,DELETE,DELETE,DELETE
Derrick Jones,NSH,DELETE,DELETE,322.0,0.0,1.0,4.0,1.0,1.0,2.0,80.0,8.0,6.0,3.0,0.0,1.0,0.7,0.7,DELETE,DELETE,DELETE
Hany Mukhtar,NSH,DELETE,DELETE,210.0,2.0,0.0,6.0,4.0,2.0,3.0,48.0,5.0,3.0,4.0,1.0,0.0,0.8,0.0,DELETE,DELETE,DELETE
Jalil Anibaba,NSH,DELETE,DELETE,199.0,0.0,0.0,2.0,0.0,2.0,0.0,45.0,0.0,1.0,0.0,0.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Joe Willis,NSH,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Randall Leal,NSH,DELETE,DELETE,388.0,0.0,1.0,6.0,4.0,4.0,6.0,97.0,10.0,11.0,6.0,3.0,1.0,0.30000000000000004,0.8,DELETE,DELETE,DELETE
Taylor Washington,NSH,DELETE,DELETE,163.0,0.0,1.0,0.0,0.0,7.0,6.0,51.0,2.0,0.0,1.0,3.0,0.0,0.0,0.7,DELETE,DELETE,DELETE
Walker Zimmerman,NSH,DELETE,DELETE,333.0,1.0,0.0,3.0,1.0,0.0,0.0,147.0,1.0,3.0,6.0,4.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Matt LaGrassa,NSH,DELETE,DELETE,237.0,0.0,0.0,3.0,1.0,0.0,2.0,80.0,2.0,3.0,8.0,5.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Abu Danladi,NSH,DELETE,DELETE,121.0,1.0,1.0,5.0,1.0,0.0,3.0,21.0,4.0,0.0,3.0,1.0,0.0,0.6,0.4,DELETE,DELETE,DELETE
Eric Miller,NSH,DELETE,DELETE,121.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jack Maher,NSH,DELETE,DELETE,99.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Brayan Beckeles,NSH,DELETE,DELETE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Jhonder Cadiz,NSH,DELETE,DELETE,21.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Andres Ricaurte,DAL,DELETE,DELETE,404.0,0.0,0.0,5.0,1.0,6.0,14.0,249.0,18.0,8.0,6.0,1.0,1.0,0.1,1.2,DELETE,DELETE,DELETE
Brandon Servania,DAL,DELETE,DELETE,80.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Bressan,DAL,DELETE,DELETE,238.0,0.0,0.0,0.0,0.0,1.0,0.0,167.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,DELETE,DELETE,DELETE
Bryan Reynolds,DAL,DELETE,DELETE,382.0,0.0,1.0,1.0,0.0,13.0,6.0,194.0,6.0,5.0,4.0,2.0,1.0,0.0,0.5,DELETE,DELETE,DELETE
Dante Sealy,DAL,DELETE,DELETE,33.0,0.0,0.0,2.0,0.0,3.0,1.0,20.0,3.0,4.0,1.0,0.0,0.0,0.2,0.1,DELETE,DELETE,DELETE
Fafa Picault,DAL,DELETE,DELETE,364.0,0.0,1.0,8.0,1.0,11.0,3.0,87.0,3.0,2.0,4.0,3.0,0.0,0.5,0.4,DELETE,DELETE,DELETE
Franco Jara,DAL,DELETE,DELETE,364.0,0.0,0.0,10.0,5.0,2.0,3.0,51.0,5.0,8.0,2.0,1.0,1.0,1.7000000000000002,0.2,DELETE,DELETE,DELETE
Harold Santiago Mosquera,DAL,DELETE,DELETE,42.0,0.0,0.0,2.0,2.0,1.0,0.0,12.0,1.0,0.0,1.0,1.0,0.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Jesus Ferreira,DAL,DELETE,DELETE,155.0,0.0,0.0,3.0,1.0,1.0,0.0,38.0,1.0,1.0,2.0,1.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Jimmy Maurer,DAL,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
John Nelson,DAL,DELETE,DELETE,71.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Matt Hedges,DAL,DELETE,DELETE,302.0,0.0,0.0,2.0,0.0,0.0,0.0,156.0,1.0,3.0,5.0,4.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Michael Barrios,DAL,DELETE,DELETE,437.0,1.0,0.0,8.0,2.0,22.0,9.0,114.0,6.0,6.0,9.0,3.0,2.0,1.3,1.2999999999999998,DELETE,DELETE,DELETE
Ricardo Pepi,DAL,DELETE,DELETE,37.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Ryan Hollingshead,DAL,DELETE,DELETE,450.0,1.0,0.0,13.0,4.0,7.0,7.0,204.0,1.0,3.0,6.0,7.0,0.0,1.0,0.4,DELETE,DELETE,DELETE
