Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andres Ricaurte,DAL,M,8800,422,0,1,7,2,7,12,293,16,6,4,4,0,0.9,1.4,84.4,,y
Brandon Servania,DAL,M,3200,43,0,0,0,0,0,0,18,0,1,1,0,0,0,0,,8.6,
Bressan,DAL,D,3600,450,0,0,1,0,1,0,311,1,2,3,1,1,0.1,0,90,,y
Bryan Acosta,DAL,M,6600,151,0,0,6,3,0,0,80,3,4,2,0,0,0.4,0,75.5,0,
Bryan Reynolds,DAL,D,6400,403,0,2,0,0,14,5,192,6,5,5,0,0,0,0.7,90,,y
Dante Sealy,DAL,F,6000,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,3.2,
Ema Twumasi,DAL,M,3200,18,0,0,0,0,0,1,8,0,1,1,0,0,0,0,,3.6,
Fafa Picault,DAL,M,7000,367,2,0,12,5,16,3,111,9,3,4,1,1,1.8,0.4,80.5,45,
Franco Jara,DAL,F,9400,381,2,0,11,5,5,6,62,7,8,4,0,1,3.5,0.5,76.2,,
Harold Santiago Mosquera,DAL,M,9600,16,0,0,1,1,0,0,6,1,1,0,0,0,0,0,,3.2,
Jesus Ferreira,DAL,F,3800,269,0,0,2,0,1,3,87,1,2,3,3,1,0.1,0.5,66.5,3,y
Jimmy Maurer,DAL,GK,5400,450,0,0,0,0,0,0,114,1,0,0,0,0,0,0,90,,
John Nelson,DAL,D,4400,54,0,0,0,0,0,0,37,0,0,1,0,0,0,0,,1.75,y
Matt Hedges,DAL,D,3000,201,0,0,0,0,1,0,131,0,0,3,1,0,0,0,90,7,y
Michael Barrios,DAL,M/F,10200,340,0,1,6,2,11,6,67,4,2,2,1,1,0.6,1.4,85,0,y
Reto Ziegler,DAL,D,6800,286,0,0,0,0,2,1,173,0,1,2,0,1,0,0.1,90,8,
Ricardo Pepi,DAL,F,5000,63,0,0,2,1,0,0,15,2,1,0,0,0,0.1,0,,12.6,y
Ryan Hollingshead,DAL,D,7800,450,2,0,11,5,7,7,221,9,5,12,8,1,1.4,0.9,90,,y
Tanner Tessmann,DAL,M,3000,281,0,0,2,0,0,3,131,2,0,1,3,0,0,0.3,81.66666667,18,
Thiago dos Santos,DAL,M,3200,289,0,0,0,0,0,1,155,4,8,8,5,1,0,0.2,90,9.5,y
Abu Danladi,NSH,F,10000,198,1,1,4,2,2,3,44,3,2,4,4,0,0.6,0.4,50.33333333,23.5,
Alex Muyl,NSH,M,4600,370,0,1,7,0,4,5,81,6,9,4,0,0,0.8,0.6,74,,
Alistair Johnston,NSH,M,3400,270,0,0,0,0,5,1,113,2,4,2,2,0,0,0,90,0,
Anibal Godoy,NSH,M,5600,300,0,0,3,1,3,4,159,9,9,7,1,1,0,0.5,69.75,21,y
Brayan Beckeles,NSH,D,7600,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,1.2,
Brian Anunga,NSH,M,3200,250,0,0,2,0,0,1,93,2,5,8,3,1,0,0,90,23.33333333,y
Daniel Armando Rios,NSH,F,9000,179,2,0,7,4,0,0,43,2,1,1,0,0,1.3,0,59,20.33333333,y
Daniel Lovitz,NSH,D,8200,360,0,1,1,0,17,8,165,2,6,0,4,0,0,0.5,90,,y
David Romney,NSH,D,3000,450,0,0,1,0,1,1,155,0,2,1,1,0,0.2,0.1,90,,y
Dax McCarty,NSH,M,4000,286,0,0,0,0,1,2,145,3,4,3,3,2,0,0,84.66666667,16,
Derrick Jones,NSH,M,3200,297,0,1,4,1,2,3,83,5,4,5,0,0,0.1,0.2,69,45,
Eric Miller,NSH,D,3000,135,0,0,0,0,1,0,33,2,1,0,0,0,0,0,67.5,0,
Hany Mukhtar,NSH,M,11200,45,2,0,4,3,0,1,14,3,2,0,0,0,0.4,0,45,0,
Jack Maher,NSH,D,3000,84,0,0,0,0,0,0,12,0,0,0,0,0,0,0,84,0,y
Jalil Anibaba,NSH,D,3400,182,0,0,3,1,0,0,41,0,1,2,1,0,0.1,0,90,0.666666667,
Jhonder Cadiz,NSH,F,11000,134,1,0,12,6,1,0,23,4,7,1,0,0,1.1,0,,26.8,
Joe Willis,NSH,GK,7400,450,0,0,0,0,0,1,87,1,0,0,0,0,0,0.1,90,,
Matt LaGrassa,NSH,M,3000,85,0,0,2,1,0,0,44,1,1,2,4,0,0.1,0,69,4,y
Randall Leal,NSH,M,11600,390,2,3,10,4,8,7,137,12,6,5,3,0,0.8,1.2,86.25,45,y
Taylor Washington,NSH,D,6200,119,0,1,0,0,6,6,43,3,0,1,1,0,0,0.8,90,7.25,
Walker Zimmerman,NSH,D,5800,360,1,0,3,1,1,3,115,0,6,6,4,1,0.2,0,90,0,y
