,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Randall Leal,NSH,M,11600,4.333333333333333,2,3,10,4,8,7,137,12,6,5,3,0,10.34769230769231,19.116923076923076,0.17692307692307693,0.7765911676230441,0.22782009929960348,0.2846833763906824,0.2653846153846154,0.5266346153846153,0.5039255066642323,0.4270250645860236,12.147218987922606,4.25767178354022,29.0,0.3448275862068966,4.188696202731934,0.4,1.6754784810927736,24.0,0.2916666666666667,2.9320873419123537,45.45,1.2495972798971469,19.47755386946772,86.25,45.0,y,Randall Leal
1,Ryan Hollingshead,DAL,D,7800,5.0,2,0,11,5,7,7,221,9,5,12,8,1,10.964,14.663999999999998,0.27999999999999997,0.0,0.0,0.0,0.18,0.0,0.0,0.0,10.543497509883643,3.5397648310296312,29.0,0.3793103448275862,3.999257676162761,0.45454545454545453,1.8178443982558004,34.0,0.20588235294117646,2.5449821575581204,29.41,0.964286759079378,14.42608423197668,90.0,0.0,y,Ryan Hollingshead
2,Andres Ricaurte,DAL,M,8800,4.688888888888889,0,1,7,2,7,12,293,16,6,4,4,0,10.82559241706161,12.10521327014218,0.18,0.0,0.0,0.0,0.27999999999999997,0.0,0.0,0.0,10.543497509883643,3.5397648310296312,29.0,0.2413793103448276,2.544982157558121,0.2857142857142857,0.7271377593023202,34.0,0.35294117647058826,4.362826555813921,29.41,0.964286759079378,13.586946472674361,84.4,0.0,y,Andres Ricaurte
3,Daniel Armando Rios,NSH,F,9000,1.988888888888889,2,0,7,4,0,0,43,2,1,1,0,0,7.220111731843575,17.275977653631283,0.42849162011173186,0.7765911676230441,0.5517595846772763,0.6894772761699038,0.0,0.5266346153846153,0.0,0.0,12.147218987922606,4.25767178354022,29.0,0.2413793103448276,2.932087341912353,0.5714285714285714,1.6754784810927732,24.0,0.0,0.0,45.45,1.2495972798971469,12.609824618223717,59.0,20.33333333,y,Daniel Armando Rios
4,Daniel Lovitz,NSH,D,8200,4.0,0,1,1,0,17,8,165,2,6,0,4,0,6.3,7.800000000000001,0.0,0.7765911676230441,0.0,0.0,0.125,0.5266346153846153,0.23735621690706593,0.20113499418906908,12.147218987922606,4.25767178354022,29.0,0.034482758620689655,0.4188696202731933,0.0,0.0,24.0,0.3333333333333333,3.3509569621855464,45.45,1.2495972798971469,9.026636547593153,90.0,0.0,y,Daniel Lovitz
5,Michael Barrios,DAL,M/F,10200,3.7777777777777777,0,1,6,2,11,6,67,4,2,2,1,1,7.554705882352941,8.745882352941177,0.15,0.0,0.0,0.0,0.35,0.0,0.0,0.0,10.543497509883643,3.5397648310296312,29.0,0.20689655172413793,2.1814132779069606,0.3333333333333333,0.7271377593023202,34.0,0.17647058823529413,2.1814132779069606,29.41,0.964286759079378,8.34996431511624,85.0,0.0,y,Michael Barrios
6,Anibal Godoy,NSH,M,5600,3.3333333333333335,0,0,3,1,3,4,159,9,9,7,1,1,7.584,7.134,0.0,0.7765911676230441,0.0,0.0,0.11624999999999999,0.5266346153846153,0.22074128172357133,0.18705554459583426,12.147218987922606,4.25767178354022,29.0,0.10344827586206896,1.25660886081958,0.3333333333333333,0.4188696202731933,24.0,0.16666666666666666,1.6754784810927732,45.45,1.2495972798971469,8.142140229760553,69.75,21.0,y,Anibal Godoy
7,Matt LaGrassa,NSH,M,3000,0.9444444444444444,0,0,2,1,0,0,44,1,1,2,4,0,8.872941176470587,8.872941176470587,0.08117647058823531,0.7765911676230441,0.10452922203158278,0.13061943152043076,0.0,0.5266346153846153,0.0,0.0,12.147218987922606,4.25767178354022,29.0,0.06896551724137931,0.8377392405463866,0.5,0.4188696202731933,24.0,0.0,0.0,45.45,1.2495972798971469,6.930097293670945,69.0,4.0,y,Matt LaGrassa
8,Bryan Reynolds,DAL,D,6400,4.477777777777778,0,2,0,0,14,5,192,6,5,5,0,0,6.0610421836228285,8.740942928039702,0.0,0.0,0.0,0.0,0.1563275434243176,0.0,0.0,0.0,10.543497509883643,3.5397648310296312,29.0,0.0,0.0,0.0,0.0,34.0,0.14705882352941177,1.8178443982558004,29.41,0.964286759079378,6.762261271704931,90.0,0.0,y,Bryan Reynolds
9,Walker Zimmerman,NSH,D,5800,4.0,1,0,3,1,1,3,115,0,6,6,4,1,3.75,5.875,0.05,0.7765911676230441,0.06438394110640969,0.08045399767562765,0.0,0.5266346153846153,0.0,0.0,12.147218987922606,4.25767178354022,29.0,0.10344827586206896,1.25660886081958,0.3333333333333333,0.4188696202731933,24.0,0.125,1.25660886081958,45.45,1.2495972798971469,5.36162731866863,90.0,0.0,y,Walker Zimmerman
