Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
A.J. DeLaGarza,MIA,D,3000,180,0,0,0,0,0,0,34,2,4,3,1,0,0,0,90,0,y
Alvas Powell,MIA,D,3200,97,0,0,1,1,0,0,31,0,1,1,1,0,0,0,90,1.75,y
Andres Reyes,MIA,D,3200,177,0,0,1,1,0,0,40,1,8,1,1,4,0,0,88.5,0,
Ben Sweat,MIA,D,4600,344,0,0,1,1,7,2,163,0,7,5,5,3,0.2,0.1,86,0,
Blaise Matuidi,MIA,M,4800,450,1,0,7,2,1,2,244,5,12,3,2,1,0.5,0,90,,y
Brek Shea,MIA,D,7600,100,1,0,1,1,4,0,33,0,0,2,0,0,0,0,90,2.5,
Christian Makoun,MIA,D,3000,85,0,0,0,0,0,0,21,0,1,0,4,0,0,0,84,0.25,
Dylan Nealis,MIA,D,4000,312,0,0,4,0,4,4,146,5,3,0,3,0,0.2,0.2,85,,y
Federico Higuain,MIA,M,5400,21,0,0,2,0,0,0,22,0,0,0,0,0,0.1,0,,3.4,
Gonzalo Higuain,MIA,F,9600,359,0,1,12,5,2,5,112,1,1,5,0,0,0.7,0.8,89.75,0,
John McCarthy,MIA,GK,6200,450,0,0,0,0,0,0,73,1,0,0,0,1,0,0,90,,
Jorge Figal,MIA,D,3400,207,0,0,4,0,0,1,117,1,0,0,2,0,0.4,0,90,0,y
Juan Agudelo,MIA,F,7200,83,0,0,2,0,0,0,19,3,3,1,0,1,0.1,0,62,5.25,y
Julian Carranza,MIA,F,4800,135,0,0,3,0,0,3,21,3,3,3,1,0,0.4,0.2,74,15.25,
Leandro Gonzalez Pirez,MIA,D,3800,360,2,1,4,2,2,1,120,6,7,5,3,3,0.5,0,90,0,
Lewis Morgan,MIA,M,12000,443,0,2,12,5,36,17,134,7,1,2,3,0,1,1.7,88.6,,y
Matias Pellegrini,MIA,M/F,8600,159,0,0,2,1,1,1,34,4,4,1,0,0,0.1,0.1,72,5,
Mikey Ambrose,MIA,D,4600,90,1,0,1,1,2,2,27,0,2,0,0,0,0,0.1,90,0,y
Robbie Robinson,MIA,F,3600,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,3.2,
Rodolfo Pizarro,MIA,M,9200,353,1,0,8,1,4,7,135,10,4,2,1,2,0.8,0.4,88.25,0,y
Victor Ulloa,MIA,M,3600,119,0,0,0,0,2,0,43,0,0,3,0,0,0,0,81,9.5,
Wil Trapp,MIA,M,3600,407,0,0,1,0,1,1,202,1,4,7,1,0,0,0,81.4,,y
Abu Danladi,NSH,F,9800,92,0,0,0,0,1,1,21,1,1,1,3,0,0,0,45,11.75,
Alex Muyl,NSH,F,5600,339,0,2,8,2,5,3,79,6,6,3,1,0,1.2,0.5,79.25,22,y
Alistair Johnston,NSH,M,4400,270,0,0,0,0,5,2,138,1,2,4,2,0,0,0,90,0,y
Anibal Godoy,NSH,M,5200,358,0,0,3,1,3,6,199,14,8,8,6,1,0,0.5,71.6,,y
Brian Anunga,NSH,M,3200,247,0,0,1,0,0,0,108,2,10,4,2,1,0,0,76,20.25,
Daniel Armando Rios,NSH,F,7400,253,1,0,7,2,0,0,59,2,2,2,0,0,0.7,0,63.25,45,
Daniel Lovitz,NSH,D,8200,450,1,0,3,1,31,9,209,2,7,1,4,0,0,0.5,90,,y
David Romney,NSH,D,3400,450,0,0,2,2,2,2,190,1,3,0,2,0,0.2,0.2,90,,y
Dax McCarty,NSH,M,4000,257,0,0,1,1,1,1,140,4,7,4,3,3,0,0,75,16,y
Derrick Jones,NSH,M,4200,267,0,0,3,2,2,1,87,4,4,3,0,1,0,0,69.33333333,7,
Eric Miller,NSH,D,3000,135,0,0,1,0,2,0,51,1,0,0,0,0,0.1,0,67.5,0,
Handwalla Bwana,NSH,M,3400,43,0,0,0,0,1,1,13,0,0,0,0,0,0,0.1,,8.6,
Hany Mukhtar,NSH,M,11400,15,1,1,2,2,2,1,10,1,0,0,0,0,0.2,0.4,70,3,y
Jack Maher,NSH,D,3000,27,0,0,0,0,0,0,19,1,0,0,0,0,0,0,,5.4,
Jalil Anibaba,NSH,D,3200,155,0,0,2,1,3,0,70,1,1,2,1,0,0.2,0,,0.5,
Jhonder Cadiz,NSH,F,10800,174,1,0,11,3,3,0,25,6,3,1,0,0,1,0,65,34.8,y
Joe Willis,NSH,GK,6800,450,0,0,0,0,0,1,101,1,0,0,0,0,0,0.1,90,,y
Matt LaGrassa,NSH,M,3200,113,0,0,0,0,2,1,51,3,3,1,0,0,0,0,68,11.25,
Randall Leal,NSH,M,10400,392,1,2,9,2,9,6,130,10,5,4,3,0,0.6,0.7,78.4,,y
Taylor Washington,NSH,D,5200,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,2.6,
Walker Zimmerman,NSH,D,5000,450,1,0,5,1,1,3,194,0,9,6,4,1,0.4,0,90,,y
