,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Lewis Morgan,MIA,M,12000,4.9222222222222225,0,2,12,5,36,17,134,7,1,2,3,0,14.603160270880359,17.041083521444698,0.19999999999999996,0.8030990181461632,0.24903529388153248,0.2523926772466665,0.3399999999999999,0.5944871794871793,0.571921500970455,0.42906755131933294,12.386126122687948,4.452095504797913,40.0,0.3,3.7158378368063842,0.4166666666666667,1.5482657653359935,34.0,0.5,5.264103602142377,23.81,1.013481556420397,23.202539284667413,88.6,0.0,y,Lewis Morgan
1,Randall Leal,NSH,M,10400,4.355555555555555,1,2,9,2,9,6,130,10,5,4,3,0,8.931122448979593,13.982142857142858,0.12000000000000002,1.1015015992495396,0.10894219316772379,0.15433023002610038,0.14,0.9117027204195346,0.1535588266486435,0.18005193503045042,14.433416792093535,5.841750521646821,44.0,0.20454545454545456,2.9522897983827687,0.2222222222222222,0.6560643996406152,33.0,0.18181818181818182,1.9681931989218455,38.17,1.4166249598858238,12.580161307388934,78.4,0.0,y,Randall Leal
2,Jhonder Cadiz,NSH,F,10800,1.9333333333333333,1,0,11,3,3,0,25,6,3,1,0,0,11.431034482758621,16.60344827586207,0.37356321839080464,1.1015015992495396,0.33913996915239686,0.4804341451961937,0.0,0.9117027204195346,0.0,0.0,14.433416792093535,5.841750521646821,44.0,0.25,3.6083541980233838,0.2727272727272727,0.9840965994609228,33.0,0.0,0.0,38.17,1.4166249598858238,12.422654318411759,65.0,34.8,y,Jhonder Cadiz
3,Rodolfo Pizarro,MIA,M,9200,3.922222222222222,1,0,8,1,4,7,135,10,4,2,1,2,8.158640226628895,9.943342776203966,0.2,0.8030990181461632,0.24903529388153256,0.2523926772466666,0.1,0.5944871794871793,0.16821220616778096,0.12619633862333327,12.386126122687948,4.452095504797913,40.0,0.2,2.4772252245375896,0.125,0.3096531530671987,34.0,0.20588235294117646,2.1675720714703903,23.81,1.013481556420397,11.485555253281845,88.25,0.0,y,Rodolfo Pizarro
4,Alex Muyl,NSH,F,5600,3.7666666666666666,0,2,8,2,5,3,79,6,6,3,1,0,6.525663716814159,9.711504424778761,0.28053097345132744,1.1015015992495396,0.25468049582720087,0.36078674718491016,0.11688790560471977,0.9117027204195346,0.12820835452912976,0.15032781132704587,14.433416792093535,5.841750521646821,44.0,0.18181818181818182,2.624257598562461,0.25,0.6560643996406152,33.0,0.09090909090909091,0.9840965994609228,38.17,1.4166249598858238,11.481376831280686,79.25,22.0,y,Alex Muyl
5,Daniel Lovitz,NSH,D,8200,5.0,1,0,3,1,31,9,209,2,7,1,4,0,8.076,10.076,0.0,1.1015015992495396,0.0,0.0,0.1,0.9117027204195346,0.1096848761776025,0.1286085250217503,14.433416792093535,5.841750521646821,44.0,0.06818181818181818,0.9840965994609228,0.3333333333333333,0.32803219982030757,33.0,0.2727272727272727,2.9522897983827683,38.17,1.4166249598858238,10.5120697477945,90.0,0.0,y,Daniel Lovitz
6,Hany Mukhtar,NSH,M,11400,0.75,1,1,2,2,2,1,10,1,0,0,0,0,10.133333333333335,31.466666666666665,0.2074074074074074,1.1015015992495396,0.18829514868495467,0.2667436074525191,0.4148148148148148,0.9117027204195346,0.45498911599598074,0.5334872149050383,14.433416792093535,5.841750521646821,44.0,0.045454545454545456,0.6560643996406152,1.0,0.6560643996406152,33.0,0.030303030303030304,0.32803219982030757,38.17,1.4166249598858238,10.204816659353256,70.0,3.0,y,Hany Mukhtar
7,Anibal Godoy,NSH,M,5200,3.977777777777778,0,0,3,1,3,6,199,14,8,8,6,1,9.321787709497206,8.944692737430167,0.0,1.1015015992495396,0.0,0.0,0.09999999999999999,0.9117027204195346,0.10968487617760249,0.12860852502175027,14.433416792093535,5.841750521646821,44.0,0.06818181818181818,0.9840965994609228,0.3333333333333333,0.32803219982030757,33.0,0.18181818181818182,1.9681931989218455,38.17,1.4166249598858238,9.167973148333576,71.6,0.0,y,Anibal Godoy
8,Dylan Nealis,MIA,D,4000,3.466666666666667,0,0,4,0,4,4,146,5,3,0,3,0,5.3999999999999995,5.3999999999999995,0.05448717948717949,0.8030990181461632,0.06784615378182778,0.06876082553194442,0.05448717948717949,0.5944871794871793,0.0916540866939832,0.0687608255319444,12.386126122687948,4.452095504797913,40.0,0.1,1.2386126122687948,0.0,0.0,34.0,0.11764705882352941,1.2386126122687946,23.81,1.013481556420397,6.4979112535615196,85.0,0.0,y,Dylan Nealis
9,Blaise Matuidi,MIA,M,4800,5.0,1,0,7,2,1,2,244,5,12,3,2,1,3.9159999999999995,5.616,0.1,0.8030990181461632,0.12451764694076628,0.1261963386233333,0.0,0.5944871794871793,0.0,0.0,12.386126122687948,4.452095504797913,40.0,0.175,2.1675720714703908,0.2857142857142857,0.6193063061343973,34.0,0.058823529411764705,0.6193063061343973,23.81,1.013481556420397,6.084148069972519,90.0,0.0,y,Blaise Matuidi
