Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
A.J. DeLaGarza,MIA,,,180,0,0,0,0,0,0,34,2,4,3,1,0,0,0,,,
Abu Danladi,NSH,,,92,0,0,0,0,1,1,21,1,1,1,3,0,0,0,,,
Alex Muyl,NSH,,,339,0,2,8,2,5,3,79,6,6,3,1,0,1.2,0.5,,,
Alistair Johnston,NSH,,,270,0,0,0,0,5,2,138,1,2,4,2,0,0,0,,,
Alvas Powell,MIA,,,97,0,0,1,1,0,0,31,0,1,1,1,0,0,0,,,
Andres Reyes,MIA,,,177,0,0,1,1,0,0,40,1,8,1,1,4,0,0,,,
Anibal Godoy,NSH,,,358,0,0,3,1,3,6,199,14,8,8,6,1,0,0.5,,,
Ben Sweat,MIA,,,344,0,0,1,1,7,2,163,0,7,5,5,3,0.2,0.1,,,
Blaise Matuidi,MIA,,,450,1,0,7,2,1,2,244,5,12,3,2,1,0.5,0,,,
Brek Shea,MIA,,,100,1,0,1,1,4,0,33,0,0,2,0,0,0,0,,,
Brian Anunga,NSH,,,247,0,0,1,0,0,0,108,2,10,4,2,1,0,0,,,
Christian Makoun,MIA,,,85,0,0,0,0,0,0,21,0,1,0,4,0,0,0,,,
Daniel Armando Rios,NSH,,,253,1,0,7,2,0,0,59,2,2,2,0,0,0.7,0,,,
Daniel Lovitz,NSH,,,450,1,0,3,1,31,9,209,2,7,1,4,0,0,0.5,,,
David Romney,NSH,,,450,0,0,2,2,2,2,190,1,3,0,2,0,0.2,0.2,,,
Dax McCarty,NSH,,,257,0,0,1,1,1,1,140,4,7,4,3,3,0,0,,,
Derrick Jones,NSH,,,267,0,0,3,2,2,1,87,4,4,3,0,1,0,0,,,
Dylan Nealis,MIA,,,312,0,0,4,0,4,4,146,5,3,0,3,0,0.2,0.2,,,
Eric Miller,NSH,,,135,0,0,1,0,2,0,51,1,0,0,0,0,0.1,0,,,
Federico Higuain,MIA,,,21,0,0,2,0,0,0,22,0,0,0,0,0,0.1,0,,,
Gonzalo Higuain,MIA,,,359,0,1,12,5,2,5,112,1,1,5,0,0,0.7,0.8,,,
Handwalla Bwana,NSH,,,43,0,0,0,0,1,1,13,0,0,0,0,0,0,0.1,,,
Hany Mukhtar,NSH,,,15,1,1,2,2,2,1,10,1,0,0,0,0,0.2,0.4,,,
Jack Maher,NSH,,,27,0,0,0,0,0,0,19,1,0,0,0,0,0,0,,,
Jalil Anibaba,NSH,,,155,0,0,2,1,3,0,70,1,1,2,1,0,0.2,0,,,
Jhonder Cadiz,NSH,,,174,1,0,11,3,3,0,25,6,3,1,0,0,1,0,,,
Joe Willis,NSH,,,450,0,0,0,0,0,1,101,1,0,0,0,0,0,0.1,,,
John McCarthy,MIA,,,450,0,0,0,0,0,0,73,1,0,0,0,1,0,0,,,
Jorge Figal,MIA,,,207,0,0,4,0,0,1,117,1,0,0,2,0,0.4,0,,,
Juan Agudelo,MIA,,,83,0,0,2,0,0,0,19,3,3,1,0,1,0.1,0,,,
Julian Carranza,MIA,,,135,0,0,3,0,0,3,21,3,3,3,1,0,0.4,0.2,,,
Leandro Gonzalez Pirez,MIA,,,360,2,1,4,2,2,1,120,6,7,5,3,3,0.5,0,,,
Lewis Morgan,MIA,,,443,0,2,12,5,36,17,134,7,1,2,3,0,1,1.7,,,
Matias Pellegrini,MIA,,,159,0,0,2,1,1,1,34,4,4,1,0,0,0.1,0.1,,,
Matt LaGrassa,NSH,,,113,0,0,0,0,2,1,51,3,3,1,0,0,0,0,,,
Mikey Ambrose,MIA,,,90,1,0,1,1,2,2,27,0,2,0,0,0,0,0.1,,,
Randall Leal,NSH,,,392,1,2,9,2,9,6,130,10,5,4,3,0,0.6,0.7,,,
Robbie Robinson,MIA,,,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,
Rodolfo Pizarro,MIA,,,353,1,0,8,1,4,7,135,10,4,2,1,2,0.8,0.4,,,
Taylor Washington,NSH,,,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,
Victor Ulloa,MIA,,,119,0,0,0,0,2,0,43,0,0,3,0,0,0,0,,,
Walker Zimmerman,NSH,,,450,1,0,5,1,1,3,194,0,9,6,4,1,0.4,0,,,
Wil Trapp,MIA,,,407,0,0,1,0,1,1,202,1,4,7,1,0,0,0,,,
