Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Ethan Finlay,MIN,M,5700,301,0,0,6,1,4,2,53,2,2,4,1,0,0.4,0.4,67.25,32,y
Aaron Schoenfeld,MIN,F,3600,44,0,0,1,0,1,0,7,2,2,0,1,0,0.2,0,60,8.8,y
Bakaye Dibassy,MIN,D,4200,315,0,0,1,0,1,0,103,2,2,4,2,0,0.2,0,78.75,0,y
Chase Gasper,MIN,D,6800,405,0,1,5,1,10,3,181,6,9,3,3,2,0.1,0.3,90,45,
Dayne St. Clair,MIN,GK,5800,450,0,0,0,0,0,0,80,0,0,0,0,0,0,0,90,,
Emanuel Reynoso,MIN,M,10800,383,0,1,8,3,13,14,173,16,8,9,0,0,0.4,1.4,89.75,24,y
Hassani Dotson,MIN,D,5400,450,0,0,5,0,3,1,180,7,14,7,4,1,0.2,0,90,,y
Jacori Hayes,MIN,M,4800,302,0,0,0,0,0,3,128,6,3,5,0,0,0,0.4,75.25,1,y
James Musa,MIN,M,3600,45,0,0,0,0,0,0,24,0,1,0,0,0,0,0,45,0,b
Jan Gregus,MIN,M,9000,357,0,1,5,2,2,3,189,3,1,5,3,0,0.1,0.1,89.25,0,
Jose Aja,MIN,D,3000,180,0,0,3,1,0,0,55,0,4,1,2,1,0.2,0,67.5,15,y
Kei Kamara,MIN,F,10000,231,1,0,5,2,2,2,45,2,1,1,0,0,1.8,0.1,77,,b
Kevin Molino,MIN,M,11200,160,2,0,8,4,3,3,60,5,1,2,0,0,0.8,0.2,85,18.75,y
Marlon Hairston,MIN,M,3800,133,0,0,0,0,0,0,48,4,2,5,1,0,0,0,90,10.75,b
Mason Toye,MIN,F,4200,127,0,0,2,0,0,2,24,2,5,1,0,1,0.2,0,63.5,0,
Michael Boxall,MIN,D,3400,450,0,0,0,0,0,0,165,2,5,6,2,1,0,0,90,,y
Raheem Edwards,MIN,M/F,4600,67,0,0,0,0,2,1,21,2,1,1,1,0,0,0.2,45,5.5,b
Robin Lod,MIN,M,8800,405,2,0,10,5,7,5,102,2,4,4,2,1,1.5,0.5,90,45,b
Romain Metanire,MIN,D,7200,360,0,0,3,1,22,3,183,5,4,3,2,2,0.3,0.3,90,0,y
Thomas Chacon,MIN,M,4000,83,0,0,0,0,0,0,8,3,0,0,1,0,0,0,68,3.75,
Abu Danladi,NSH,F,8400,61,1,0,2,1,2,0,15,1,1,3,1,0,0.4,0,61,0,b
Alan Winn,NSH,F,3600,190,0,0,2,1,1,0,74,7,3,1,1,0,0.1,0,62,19.33333333,b
Alex Muyl,NSH,M,3200,267,0,0,2,1,6,1,57,6,9,3,0,1,0.3,0,66.25,2,y
Alistair Johnston,NSH,M,3800,392,0,0,2,1,8,4,182,3,6,7,1,0,0,0.4,90,32,y
Anibal Godoy,NSH,M,4400,289,0,0,5,0,0,1,214,9,5,7,4,1,0.3,0,85.66666667,16,
Brian Anunga,NSH,M,3200,153,0,0,0,0,1,0,70,1,1,2,2,0,0,0,74,1.666666667,
Daniel Armando Rios,NSH,F,6200,192,2,0,9,3,1,4,33,1,5,0,0,0,1,0.2,74,14.66666667,
Daniel Lovitz,NSH,D,7400,360,0,1,1,0,7,5,128,3,3,7,4,1,0,0.6,90,0,y
David Romney,NSH,D,3600,450,0,1,5,0,0,1,241,0,2,2,1,0,0.3,0,90,,y
Dax McCarty,NSH,M,4400,416,1,2,4,2,1,5,234,6,8,10,3,0,0.3,1.4,83.2,,y
Derrick Jones,NSH,M,4000,248,0,1,1,0,3,2,90,8,4,2,0,0,0,0.6,87,24.66666667,y
Dominique Badji,NSH,F,4400,184,1,1,5,1,4,4,34,1,3,1,0,0,0.9,0.8,82,0,
Hany Mukhtar,NSH,M,9400,329,1,0,6,3,2,3,115,6,2,6,2,0,0.9,0,82.25,0,
Jalil Anibaba,NSH,D,3400,90,0,0,0,0,2,0,29,0,1,0,0,1,0,0,67,5.75,b
Joe Willis,NSH,GK,7600,450,0,0,0,0,0,0,88,0,0,0,0,0,0,0,90,,
Matt LaGrassa,NSH,M,3000,90,0,0,0,0,0,1,27,0,1,6,1,0,0,0,90,0,y
Randall Leal,NSH,M,8000,192,0,0,1,1,3,2,57,1,4,1,1,0,0,0.1,81.5,9.666666667,y
Taylor Washington,NSH,D,3200,147,0,0,1,0,8,2,73,0,4,1,1,1,0,0.1,90,14.25,b
Walker Zimmerman,NSH,D,4600,450,0,0,3,1,0,0,230,3,2,5,6,0,0.3,0,90,,y
