Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
Dax McCarty,NSH,M,4400,4.622222222,1,2,4,2,1,5,234,6,8,10,3,0,6.464423077,11.22403846,0.3,1.7,0.176470588,0.222352941,1.4,3.2,0.4375,1.037647059,13.24941012,3.686251942,24,0.166666667,2.20823502,0.5,1.10411751,23,0.217391304,2.760293775,42.55,1.26,18.29805807,83.2,0,y,Dax McCarty
Emanuel Reynoso,MIN,M,10800,4.255555556,0,1,8,3,13,14,173,16,8,9,0,0,13.76083551,15.17075718,0.4,6,0.066666667,0.112,1.4,3.5,0.4,0.392,9.44068512,4.882380181,50,0.16,1.510509619,0.375,0.566441107,34,0.411764706,2.643391834,31.25,1.68,16.05659843,89.75,24,y,Emanuel Reynoso
Kevin Molino,MIN,M,11200,1.777777778,2,0,8,4,3,3,60,5,1,2,0,0,13.95,25.2,0.8,6,0.133333333,0.224,0.2,3.5,0.057142857,0.056,9.44068512,4.882380181,50,0.16,1.510509619,0.5,0.75525481,34,0.088235294,0.566441107,31.25,1.68,10.61445554,85,18.75,y,Kevin Molino
Daniel Lovitz,NSH,D,7400,4,0,1,1,0,7,5,128,3,3,7,4,1,5.99,7.115,0,1.7,0,0,0.6,3.2,0.1875,0.444705882,13.24941012,3.686251942,24,0.041666667,0.552058755,0,0,23,0.217391304,2.760293775,42.55,1.26,10.09558782,90,0,y,Daniel Lovitz
Robin Lod,MIN,M,8800,4.5,2,0,10,5,7,5,102,2,4,4,2,1,7.097777778,11.20888889,1.5,6,0.25,0.42,0.5,3.5,0.142857143,0.14,9.44068512,4.882380181,50,0.2,1.888137024,0.5,0.944068512,34,0.147058824,0.944068512,31.25,1.68,9.976274048,90,45,b,Robin Lod
Alistair Johnston,NSH,M,3800,4.355555556,0,0,2,1,8,4,182,3,6,7,1,0,5.450510204,5.450510204,0,1.7,0,0,0.4,3.2,0.125,0.296470588,13.24941012,3.686251942,24,0.083333333,1.10411751,0.5,0.552058755,23,0.173913043,2.20823502,42.55,1.26,9.486602161,90,32,y,Alistair Johnston
Derrick Jones,NSH,M,4000,2.755555556,0,1,1,0,3,2,90,8,4,2,0,0,5.407258065,7.584677419,0,1.7,0,0,0.6,3.2,0.1875,0.444705882,13.24941012,3.686251942,24,0.041666667,0.552058755,0,0,23,0.086956522,1.10411751,42.55,1.26,8.499008333,87,24.66666667,y,Derrick Jones
Romain Metanire,MIN,D,7200,4,0,0,3,1,22,3,183,5,4,3,2,2,8.265,7.515,0.3,6,0.05,0.084,0.3,3.5,0.085714286,0.084,9.44068512,4.882380181,50,0.06,0.566441107,0.333333333,0.188813702,34,0.088235294,0.566441107,31.25,1.68,8.430695917,90,0,y,Romain Metanire
Walker Zimmerman,NSH,D,4600,5,0,0,3,1,0,0,230,3,2,5,6,0,3.72,3.72,0.3,1.7,0.176470588,0.222352941,0,3.2,0,0,13.24941012,3.686251942,24,0.125,1.656176265,0.333333333,0.552058755,23,0,0,42.55,1.26,7.351764432,90,0,y,Walker Zimmerman
Matt LaGrassa,NSH,M,3000,1,0,0,0,0,0,1,27,0,1,6,1,0,7.54,7.54,0,1.7,0,0,0,3.2,0,0,13.24941012,3.686251942,24,0,0,0,0,23,0.043478261,0.552058755,42.55,1.26,7.092058755,90,0,y,Matt LaGrassa
