player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Abu Danladi,NSH,DELETE,DELETE,61.0,1.0,0.0,2.0,1.0,2.0,0.0,15.0,1.0,1.0,3.0,1.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Alan Winn,NSH,DELETE,DELETE,190.0,0.0,0.0,2.0,1.0,1.0,0.0,74.0,7.0,3.0,1.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Alex Muyl,NSH,DELETE,DELETE,267.0,0.0,0.0,2.0,1.0,6.0,1.0,57.0,6.0,9.0,3.0,0.0,1.0,0.3,0.0,DELETE,DELETE,DELETE
Alistair Johnston,NSH,DELETE,DELETE,392.0,0.0,0.0,2.0,1.0,8.0,4.0,182.0,3.0,6.0,7.0,1.0,0.0,0.0,0.4,DELETE,DELETE,DELETE
Anibal Godoy,NSH,DELETE,DELETE,289.0,0.0,0.0,5.0,0.0,0.0,1.0,214.0,9.0,5.0,7.0,4.0,1.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Brian Anunga,NSH,DELETE,DELETE,153.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Daniel Armando Rios,NSH,DELETE,DELETE,192.0,2.0,0.0,9.0,3.0,1.0,4.0,33.0,1.0,5.0,0.0,0.0,0.0,1.0,0.2,DELETE,DELETE,DELETE
Daniel Lovitz,NSH,DELETE,DELETE,360.0,0.0,1.0,1.0,0.0,7.0,5.0,128.0,3.0,3.0,7.0,4.0,1.0,0.0,0.6000000000000001,DELETE,DELETE,DELETE
David Romney,NSH,DELETE,DELETE,450.0,0.0,1.0,5.0,0.0,0.0,1.0,241.0,0.0,2.0,2.0,1.0,0.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Dax McCarty,NSH,DELETE,DELETE,416.0,1.0,2.0,5.0,2.0,1.0,5.0,234.0,6.0,8.0,10.0,3.0,0.0,0.30000000000000004,1.4,DELETE,DELETE,DELETE
Derrick Jones,NSH,DELETE,DELETE,248.0,0.0,1.0,1.0,0.0,3.0,2.0,90.0,8.0,4.0,2.0,0.0,0.0,0.0,0.6,DELETE,DELETE,DELETE
Dominique Badji,NSH,DELETE,DELETE,184.0,1.0,1.0,5.0,1.0,4.0,4.0,34.0,1.0,3.0,1.0,0.0,0.0,0.9,0.8,DELETE,DELETE,DELETE
Hany Mukhtar,NSH,DELETE,DELETE,329.0,1.0,0.0,6.0,3.0,2.0,3.0,115.0,6.0,2.0,6.0,2.0,0.0,0.9,0.0,DELETE,DELETE,DELETE
Joe Willis,NSH,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Taylor Washington,NSH,DELETE,DELETE,147.0,0.0,0.0,1.0,0.0,8.0,2.0,73.0,0.0,4.0,1.0,1.0,1.0,0.0,0.1,DELETE,DELETE,DELETE
Walker Zimmerman,NSH,DELETE,DELETE,450.0,0.0,0.0,3.0,1.0,0.0,0.0,230.0,3.0,2.0,5.0,6.0,0.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Jalil Anibaba,NSH,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Randall Leal,NSH,DELETE,DELETE,192.0,0.0,0.0,1.0,1.0,3.0,2.0,57.0,1.0,4.0,1.0,1.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Matt LaGrassa,NSH,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Bakaye Dibassy,MIN,DELETE,DELETE,315.0,0.0,0.0,1.0,0.0,1.0,0.0,103.0,2.0,2.0,4.0,2.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Chase Gasper,MIN,DELETE,DELETE,405.0,0.0,1.0,5.0,1.0,10.0,3.0,181.0,6.0,9.0,3.0,3.0,2.0,0.1,0.30000000000000004,DELETE,DELETE,DELETE
Dayne St. Clair,MIN,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Emanuel Reynoso,MIN,DELETE,DELETE,383.0,0.0,1.0,8.0,3.0,13.0,14.0,173.0,16.0,8.0,9.0,0.0,0.0,0.4,1.4,DELETE,DELETE,DELETE
Hassani Dotson,MIN,DELETE,DELETE,450.0,0.0,0.0,5.0,0.0,3.0,1.0,180.0,7.0,14.0,7.0,4.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Jacori Hayes,MIN,DELETE,DELETE,302.0,0.0,0.0,0.0,0.0,0.0,3.0,128.0,6.0,3.0,5.0,0.0,0.0,0.0,0.4,DELETE,DELETE,DELETE
James Musa,MIN,DELETE,DELETE,45.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jan Gregus,MIN,DELETE,DELETE,357.0,0.0,1.0,5.0,2.0,2.0,3.0,189.0,3.0,1.0,5.0,3.0,0.0,0.1,0.1,DELETE,DELETE,DELETE
Jose Aja,MIN,DELETE,DELETE,180.0,0.0,0.0,3.0,1.0,0.0,0.0,55.0,0.0,4.0,1.0,2.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Kevin Molino,MIN,DELETE,DELETE,160.0,2.0,0.0,8.0,4.0,3.0,3.0,60.0,5.0,1.0,2.0,0.0,0.0,0.8,0.2,DELETE,DELETE,DELETE
Marlon Hairston,MIN,DELETE,DELETE,133.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Mason Toye,MIN,DELETE,DELETE,127.0,0.0,0.0,2.0,0.0,0.0,2.0,24.0,2.0,5.0,1.0,0.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Michael Boxall,MIN,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,2.0,5.0,6.0,2.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Raheem Edwards,MIN,DELETE,DELETE,67.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,2.0,1.0,1.0,1.0,0.0,0.0,0.2,DELETE,DELETE,DELETE
Robin Lod,MIN,DELETE,DELETE,405.0,2.0,0.0,10.0,5.0,7.0,5.0,102.0,2.0,4.0,4.0,2.0,1.0,1.5,0.5,DELETE,DELETE,DELETE
Thomas Chacon,MIN,DELETE,DELETE,83.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Aaron Schoenfeld,MIN,DELETE,DELETE,44.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Romain Metanire,MIN,DELETE,DELETE,360.0,0.0,0.0,3.0,1.0,22.0,3.0,183.0,5.0,4.0,3.0,2.0,2.0,0.30000000000000004,0.30000000000000004,DELETE,DELETE,DELETE
Kei Kamara,MIN,DELETE,DELETE,231.0,1.0,0.0,5.0,2.0,2.0,2.0,45.0,2.0,1.0,1.0,0.0,0.0,1.8,0.1,DELETE,DELETE,DELETE
