Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adam Buksa,NE,F,8000,331,1,1,13,6,2,3,51,1,8,3,0,1,2,0.8,90,30.5,
Alexander Buttner,NE,D,9600,171,0,1,2,0,13,7,122,8,2,2,1,0,0,0.3,80,3.666666667,y
Andrew Farrell,NE,D,3000,361,0,0,0,0,0,0,181,5,3,6,2,0,0,0,90,1,y
Antonio Delamea Mlinar,NE,D,3200,95,0,0,0,0,0,0,23,1,0,1,2,0,0,0,90,1.25,
Brandon Bye,NE,D,5400,258,0,0,3,1,12,6,151,1,2,3,2,1,0.3,1,79.33333333,10,
Cristian Penilla,NE,M/F,9400,87,0,0,2,1,1,4,37,1,1,0,0,0,0.1,0.2,36,12.75,
DeJuan Jones,NE,D,6800,439,0,0,5,4,19,8,238,5,7,7,2,1,0.2,0.4,87.8,,y
Diego Fagundez,NE,M/F,7000,250,0,0,5,2,1,6,108,3,3,5,1,0,0.7,0.5,77.5,28.66666667,y
Gustavo Bou,NE,F,11800,110,0,0,4,2,0,2,26,0,1,0,1,0,0.4,0.1,90,5,
Henry Kessler,NE,D,3400,360,0,0,3,1,0,0,176,3,4,7,3,1,0.1,0,90,0,y
Kekuta Manneh,NE,M/F,7400,45,1,0,4,3,1,2,13,2,1,0,0,0,1.2,0.5,45,0,
Kelyn Rowe,NE,M,5000,124,0,0,3,0,2,1,61,1,3,2,1,1,0.2,0.4,69,13.75,
Lee Nguyen,NE,M,8600,304,1,1,5,2,3,10,136,3,7,1,1,1,1.2,1,76,0,y
Matt Polster,NE,D,3400,154,0,1,0,0,0,4,88,1,2,1,1,2,0,0.1,90,16,
Matt Turner,NE,GK,6600,450,0,0,0,0,0,0,110,1,0,0,0,0,0,0,90,,
Michael Mancienne,NE,D,3200,90,0,0,1,0,0,0,30,0,1,0,1,0,0.1,0,90,0,
Scott Caldwell,NE,M,3200,296,0,0,0,0,0,1,168,3,6,2,5,1,0,0,74,0,y
Tajon Buchanan,NE,M,9000,405,1,0,14,6,11,5,103,13,6,6,1,0,1.2,0.5,90,45,y
Teal Bunbury,NE,F,10600,310,2,0,16,4,6,2,71,6,7,6,1,1,1.6,0.1,74.75,11,y
Thomas McNamara,NE,M,3800,310,0,0,3,0,4,1,164,4,3,2,1,2,0.3,0.2,74,14,y
Abu Danladi,NSH,F,10000,182,1,1,7,2,1,3,33,4,1,4,1,0,0.9,0.4,55,8.5,y
Alan Winn,NSH,F,3600,33,0,0,1,0,1,0,7,1,0,2,0,0,0.2,0,,6.6,
Alex Muyl,NSH,M,3200,267,0,0,5,2,4,4,57,3,5,3,0,0,0.5,0.2,66.25,2,y
Alistair Johnston,NSH,M,3000,323,0,0,1,0,7,3,147,3,6,7,1,2,0,0.4,80.75,0,
Anibal Godoy,NSH,M,4400,77,0,0,0,0,0,0,41,2,6,1,0,1,0,0,56,5.25,y
Brayan Beckeles,NSH,D,6000,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,1.2,
Brian Anunga,NSH,M,3600,379,0,0,2,0,0,1,155,2,6,11,4,0,0.1,0,86.25,34,y
Daniel Armando Rios,NSH,F,8400,16,1,0,2,2,0,0,6,0,0,0,0,0,0.7,0,,3.2,
Daniel Lovitz,NSH,D,8200,360,0,1,0,0,6,6,139,3,4,7,0,1,0,0.5,90,0,y
David Romney,NSH,D,3400,450,0,0,2,0,1,0,162,0,1,6,0,0,0.2,0,90,,y
Dax McCarty,NSH,M,4000,344,0,0,3,1,0,3,160,5,4,6,2,0,0.2,0.2,86,0,
Derrick Jones,NSH,M,3600,351,0,1,5,1,1,3,81,9,4,5,0,1,0.7,0.3,76.5,45,
Eric Miller,NSH,D,3200,121,0,0,0,0,0,0,27,2,1,0,0,0,0,0,90,7.75,y
Hany Mukhtar,NSH,M,11400,120,2,0,4,3,1,2,24,4,2,1,1,0,0.4,0,60,0,
Jack Maher,NSH,D,3200,99,0,0,0,0,0,0,20,0,0,1,0,0,0,0,84,3.75,
Jalil Anibaba,NSH,D,3400,132,0,0,2,0,0,0,22,0,1,0,0,1,0.1,0,90,10.5,y
Jhonder Cadiz,NSH,F,9800,50,1,0,4,3,0,0,10,1,4,1,0,0,0.2,0,,10,
Joe Willis,NSH,GK,6200,450,0,0,0,0,0,0,92,1,0,0,0,0,0,0,90,,
Matt LaGrassa,NSH,M,3400,253,0,0,3,1,0,2,98,2,4,8,5,0,0.2,0,74,15.5,
Randall Leal,NSH,M,11200,403,1,2,8,5,4,7,111,12,13,9,3,1,0.4,1.2,89.5,45,y
Taylor Washington,NSH,D,5600,164,0,1,0,0,8,7,54,3,0,1,2,0,0,1,90,18.5,
Walker Zimmerman,NSH,D,4200,333,1,0,2,1,0,0,138,1,2,6,4,0,0.3,0,83.25,0,y
