,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Randall Leal,NSH,M,11200,4.477777777777778,1,2,8,5,4,7,111,12,13,9,3,1,9.160794044665012,13.73895781637717,0.4,2.5,0.16,0.2036834748873148,1.2,2.3,0.5217391304347826,0.6110504246619443,10.772819133504042,4.537425250652738,28.0,0.2857142857142857,3.0779483238582976,0.625,1.923717702411436,21.0,0.3333333333333333,2.69320478337601,38.1,1.2730217180457175,17.733094955125793,89.5,45.0,y,Randall Leal
1,Tajon Buchanan,NE,M,9000,4.5,1,0,14,6,11,5,103,13,6,6,1,0,11.391111111111112,13.613333333333335,1.2,5.3,0.22641509433962265,0.25052776524594955,0.5,3.0000000000000004,0.16666666666666663,0.10438656885247899,11.885594708583339,3.5899455502020836,53.0,0.2641509433962264,3.139591055097486,0.42857142857142855,1.345539023613208,40.0,0.125,1.1212825196776735,38.46,1.1064976298362772,14.573565219518292,90.0,45.0,y,Tajon Buchanan
2,Abu Danladi,NSH,F,10000,2.022222222222222,1,1,7,2,1,3,33,4,1,4,1,0,10.562637362637362,18.474725274725277,0.9,2.5,0.36,0.4582878184964583,0.4,2.3,0.1739130434782609,0.2036834748873148,10.772819133504042,4.537425250652738,28.0,0.25,2.6932047833760104,0.2857142857142857,0.7694870809645744,21.0,0.14285714285714285,1.1542306214468614,38.1,1.2730217180457175,13.250472948647348,55.0,8.5,y,Abu Danladi
3,Alexander Buttner,NE,D,9600,1.9,0,1,2,0,13,7,122,8,2,2,1,0,15.810526315789476,18.968421052631584,0.0,5.3,0.0,0.0,0.3,3.0000000000000004,0.09999999999999998,0.06263194131148739,11.885594708583339,3.5899455502020836,53.0,0.03773584905660377,0.4485130078710694,0.0,0.0,40.0,0.175,1.5697955275487427,38.46,1.1064976298362772,12.237375037089906,80.0,3.666666667,y,Alexander Buttner
4,Teal Bunbury,NE,F,10600,3.4444444444444446,2,0,16,4,6,2,71,6,7,6,1,1,10.631612903225806,16.00258064516129,1.6,5.3,0.30188679245283023,0.3340370203279328,0.1,3.0000000000000004,0.03333333333333333,0.0208773137704958,11.885594708583339,3.5899455502020836,53.0,0.3018867924528302,3.588104062968555,0.25,0.8970260157421388,40.0,0.05,0.4485130078710694,38.46,1.1064976298362772,11.562890075709872,74.75,11.0,y,Teal Bunbury
5,DeJuan Jones,NE,D,6800,4.877777777777778,0,0,5,4,19,8,238,5,7,7,2,1,9.13530751708428,8.827790432801821,0.2,5.3,0.03773584905660378,0.0417546275409916,0.4,3.0000000000000004,0.13333333333333333,0.0835092550819832,11.885594708583339,3.5899455502020836,53.0,0.09433962264150944,1.1212825196776735,0.8,0.8970260157421388,40.0,0.2,1.7940520314842776,38.46,1.1064976298362772,9.942962372805905,87.8,0.0,y,DeJuan Jones
6,Alex Muyl,NSH,M,3200,2.966666666666667,0,0,5,2,4,4,57,3,5,3,0,0,6.215730337078652,6.215730337078652,0.5,2.5,0.2,0.2546043436091435,0.2,2.3,0.08695652173913045,0.1018417374436574,10.772819133504042,4.537425250652738,28.0,0.17857142857142858,1.923717702411436,0.4,0.7694870809645744,21.0,0.19047619047619047,1.5389741619291486,38.1,1.2730217180457175,9.235340221788874,66.25,2.0,y,Alex Muyl
7,Lee Nguyen,NE,M,8600,3.3777777777777778,1,1,5,2,3,10,136,3,7,1,1,1,6.755921052631579,11.048684210526316,1.2,5.3,0.22641509433962265,0.25052776524594955,1.0,3.0000000000000004,0.33333333333333326,0.20877313770495798,11.885594708583339,3.5899455502020836,53.0,0.09433962264150944,1.1212825196776735,0.4,0.4485130078710694,40.0,0.25,2.242565039355347,38.46,1.1064976298362772,8.650277045593333,76.0,0.0,y,Lee Nguyen
8,Diego Fagundez,NE,M/F,7000,2.7777777777777777,0,0,5,2,1,6,108,3,3,5,1,0,8.2296,8.2296,0.7,5.3,0.1320754716981132,0.14614119639347056,0.5,3.0000000000000004,0.16666666666666663,0.10438656885247899,11.885594708583339,3.5899455502020836,53.0,0.09433962264150944,1.1212825196776735,0.4,0.4485130078710694,40.0,0.15,1.345539023613208,38.46,1.1064976298362772,8.05966592821153,77.5,28.66666667,y,Diego Fagundez
9,Daniel Lovitz,NSH,D,8200,4.0,0,1,0,0,6,6,139,3,4,7,0,1,5.245,6.37,0.0,2.5,0.0,0.0,0.5,2.3,0.2173913043478261,0.2546043436091435,10.772819133504042,4.537425250652738,28.0,0.0,0.0,0.0,0.0,21.0,0.2857142857142857,2.308461242893723,38.1,1.2730217180457175,7.206087304548584,90.0,0.0,y,Daniel Lovitz
