player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Alan Winn,NSH,DELETE,DELETE,33.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Alex Muyl,NSH,DELETE,DELETE,267.0,0.0,0.0,5.0,2.0,4.0,4.0,57.0,3.0,5.0,3.0,0.0,0.0,0.5,0.2,DELETE,DELETE,DELETE
Alistair Johnston,NSH,DELETE,DELETE,323.0,0.0,0.0,1.0,0.0,7.0,3.0,147.0,3.0,6.0,7.0,1.0,2.0,0.0,0.4,DELETE,DELETE,DELETE
Brian Anunga,NSH,DELETE,DELETE,379.0,0.0,0.0,2.0,0.0,0.0,1.0,155.0,2.0,6.0,11.0,4.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Daniel Lovitz,NSH,DELETE,DELETE,360.0,0.0,1.0,0.0,0.0,6.0,6.0,139.0,3.0,4.0,7.0,0.0,1.0,0.0,0.5,DELETE,DELETE,DELETE
David Romney,NSH,DELETE,DELETE,450.0,0.0,0.0,2.0,0.0,1.0,0.0,162.0,0.0,1.0,6.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Dax McCarty,NSH,DELETE,DELETE,344.0,0.0,0.0,3.0,1.0,0.0,3.0,160.0,5.0,4.0,6.0,2.0,0.0,0.2,0.2,DELETE,DELETE,DELETE
Derrick Jones,NSH,DELETE,DELETE,351.0,0.0,1.0,5.0,1.0,1.0,3.0,81.0,9.0,4.0,5.0,0.0,1.0,0.7,0.30000000000000004,DELETE,DELETE,DELETE
Hany Mukhtar,NSH,DELETE,DELETE,120.0,2.0,0.0,4.0,3.0,1.0,2.0,24.0,4.0,2.0,1.0,1.0,0.0,0.4,0.0,DELETE,DELETE,DELETE
Jalil Anibaba,NSH,DELETE,DELETE,132.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Joe Willis,NSH,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Matt LaGrassa,NSH,DELETE,DELETE,253.0,0.0,0.0,3.0,1.0,0.0,2.0,98.0,2.0,4.0,8.0,5.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Randall Leal,NSH,DELETE,DELETE,403.0,1.0,2.0,8.0,5.0,4.0,7.0,111.0,12.0,13.0,9.0,3.0,1.0,0.4,1.2000000000000002,DELETE,DELETE,DELETE
Walker Zimmerman,NSH,DELETE,DELETE,333.0,1.0,0.0,2.0,1.0,0.0,0.0,138.0,1.0,2.0,6.0,4.0,0.0,0.30000000000000004,0.0,DELETE,DELETE,DELETE
Abu Danladi,NSH,DELETE,DELETE,182.0,1.0,1.0,7.0,2.0,1.0,3.0,33.0,4.0,1.0,4.0,1.0,0.0,0.8999999999999999,0.4,DELETE,DELETE,DELETE
Taylor Washington,NSH,DELETE,DELETE,164.0,0.0,1.0,0.0,0.0,8.0,7.0,54.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,DELETE,DELETE,DELETE
Eric Miller,NSH,DELETE,DELETE,121.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jack Maher,NSH,DELETE,DELETE,99.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Anibal Godoy,NSH,DELETE,DELETE,77.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Brayan Beckeles,NSH,DELETE,DELETE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Jhonder Cadiz,NSH,DELETE,DELETE,50.0,1.0,0.0,4.0,3.0,0.0,0.0,10.0,1.0,4.0,1.0,0.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Daniel Armando Rios,NSH,DELETE,DELETE,16.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,DELETE,DELETE,DELETE
Adam Buksa,NE,DELETE,DELETE,331.0,1.0,1.0,13.0,6.0,2.0,3.0,51.0,1.0,8.0,3.0,0.0,1.0,2.0000000000000004,0.8,DELETE,DELETE,DELETE
Andrew Farrell,NE,DELETE,DELETE,361.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,5.0,3.0,6.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Brandon Bye,NE,DELETE,DELETE,258.0,0.0,0.0,3.0,1.0,12.0,6.0,151.0,1.0,2.0,3.0,2.0,1.0,0.30000000000000004,1.0,DELETE,DELETE,DELETE
Cristian Penilla,NE,DELETE,DELETE,87.0,0.0,0.0,2.0,1.0,1.0,4.0,37.0,1.0,1.0,0.0,0.0,0.0,0.1,0.2,DELETE,DELETE,DELETE
DeJuan Jones,NE,DELETE,DELETE,439.0,0.0,0.0,5.0,4.0,19.0,8.0,238.0,5.0,7.0,7.0,2.0,1.0,0.2,0.4,DELETE,DELETE,DELETE
Diego Fagundez,NE,DELETE,DELETE,250.0,0.0,0.0,5.0,2.0,1.0,6.0,108.0,3.0,3.0,5.0,1.0,0.0,0.7,0.5,DELETE,DELETE,DELETE
Gustavo Bou,NE,DELETE,DELETE,110.0,0.0,0.0,4.0,2.0,0.0,2.0,26.0,0.0,1.0,0.0,1.0,0.0,0.4,0.1,DELETE,DELETE,DELETE
Henry Kessler,NE,DELETE,DELETE,360.0,0.0,0.0,3.0,1.0,0.0,0.0,176.0,3.0,4.0,7.0,3.0,1.0,0.1,0.0,DELETE,DELETE,DELETE
Lee Nguyen,NE,DELETE,DELETE,304.0,1.0,1.0,5.0,2.0,3.0,10.0,136.0,3.0,7.0,1.0,1.0,1.0,1.2,1.0,DELETE,DELETE,DELETE
Matt Turner,NE,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Scott Caldwell,NE,DELETE,DELETE,296.0,0.0,0.0,0.0,0.0,0.0,1.0,168.0,3.0,6.0,2.0,5.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Tajon Buchanan,NE,DELETE,DELETE,405.0,1.0,0.0,14.0,6.0,11.0,5.0,103.0,13.0,6.0,6.0,1.0,0.0,1.2,0.5,DELETE,DELETE,DELETE
