Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adrien Regattin,CIN,M,3600,152,0,0,3,1,3,1,41,2,2,1,2,0,0.1,0,76,0,
Alexander Callens,NYC,D,4800,450,0,0,2,1,0,0,247,0,5,7,3,3,0.3,0,90,,y
Alexander Ring,NYC,M,7600,450,1,0,11,3,5,6,191,5,13,4,3,1,1.2,0.3,90,,y
Alexandru Mitrita,NYC,M,10200,129,0,0,3,1,1,1,30,4,1,3,0,0,0.2,0.1,90,9.75,b
Allan Cruz,CIN,M,3800,156,0,0,0,0,2,5,51,4,2,2,1,0,0,0.7,89,16.75,b
Andrew Gutman,CIN,D,5600,317,0,0,0,0,5,2,142,6,2,8,2,0,0,0,90,23.5,y
Anton Tinnerholm,NYC,D,10600,382,1,0,7,2,13,8,226,8,6,7,2,1,0.2,0.5,89,26,y
Brandon Vazquez,CIN,F,5200,190,1,0,5,3,2,1,23,2,4,1,0,0,1.6,0.1,78,11.33333333,y
Caleb Stanko,CIN,M,3000,79,0,0,0,0,0,0,36,2,5,4,0,1,0,0,72,1.75,
Frankie Amaya,CIN,M,4600,360,0,0,5,1,0,2,165,7,5,11,6,2,0.1,0.1,90,,y
Gary Mackay-Steven,NYC,M,6600,307,0,1,4,1,9,4,73,3,3,5,2,0,0.5,0.8,75,41,y
Greg Garza,CIN,D,3800,133,0,0,0,0,2,1,63,2,4,1,0,0,0,0.1,66.5,0,
Gudmundur Thorarinsson,NYC,M,5800,263,0,0,1,0,12,8,145,5,5,4,3,1,0,0.6,83,7,b
Haris Medunjanin,CIN,M,6200,388,1,0,2,1,2,8,258,0,1,8,2,1,0,0.9,88.75,33,y
Heber,NYC,F,11000,324,1,0,13,7,2,5,71,0,5,1,0,0,1.5,0.2,73.25,31,
Ismael Tajouri-Shradi,NYC,M/F,12000,66,0,0,0,0,1,1,24,2,1,0,1,0,0,0,,13.2,b
James Sands,NYC,M,4000,356,0,0,0,0,0,1,226,9,9,4,3,2,0,0.1,89,0,y
Jesus Medina,NYC,M,9600,248,0,0,10,3,3,4,87,3,6,1,2,0,1,0.8,73.66666667,13.5,y
Joe Gyau,CIN,M,3400,450,0,0,5,2,11,3,131,8,9,9,0,1,0.2,0,90,,y
Joseph Scally,NYC,D,3200,68,0,0,0,0,3,0,38,1,2,0,1,1,0,0,64,1,
Jurgen Locadia,CIN,F,8400,450,0,0,18,2,3,4,100,10,3,2,1,0,2.5,0.1,90,,y
Keaton Parks,NYC,M,5000,428,0,0,9,3,2,1,226,3,8,8,0,2,0.9,0,85.6,,y
Kendall Waston,CIN,D,3200,450,0,0,4,1,0,0,209,2,9,3,4,3,0.4,0,90,,y
Maikel van der Werff,CIN,D,3000,165,0,0,2,1,0,0,68,1,4,1,0,1,0.2,0,82,0.333333333,
Mathieu Deplagne,CIN,D,3000,281,0,0,0,0,1,1,151,2,7,3,3,2,0,0,90,5.5,
Maxime Chanot,NYC,D,5400,450,0,0,5,1,0,0,204,3,6,10,7,1,0.5,0,90,,y
Maximiliano Moralez,NYC,M,11400,182,0,0,1,0,7,9,122,5,2,4,4,0,0,0.9,60.66666667,0,
Nick Hagglund,CIN,D,3400,194,0,0,1,0,2,2,74,1,2,2,3,0,0,0.2,84,8.666666667,y
Nicolas Acevedo,NYC,M,3400,80,0,0,0,0,0,0,38,2,2,4,0,1,0,0,73,1.75,
Przemyslaw Tyton,CIN,GK,4200,270,0,0,0,0,0,0,80,0,0,0,0,0,0,0,90,0,
Ronald Matarrita,NYC,D,9800,187,0,1,4,1,5,7,123,1,3,9,3,0,0.1,0.9,83,7,y
Sean Johnson,NYC,GK,9200,450,0,0,0,0,0,0,97,0,0,0,0,0,0,0,90,,
Sebastien Ibeagha,NYC,D,3600,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1.2,
Siem de Jong,CIN,M,3000,200,0,0,2,1,1,2,48,3,3,1,2,0,0.1,0.3,66.66666667,0,
Spencer Richey,CIN,GK,4400,180,0,0,0,0,0,0,40,0,0,0,0,0,0,0,90,0,
Tom Pettersson,CIN,D,3600,286,0,0,1,0,0,1,131,9,7,7,6,0,0.1,0,90,8,y
Tony Rocha,NYC,M,3200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Valentin Castellanos,NYC,M/F,11800,123,0,0,3,1,0,4,22,6,11,5,0,2,0.2,0.3,56,16.75,y
Yuya Kubo,CIN,F,7200,249,0,0,2,0,2,2,76,9,5,7,2,0,0.1,0.4,66,25.5,y
