,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Alexander Ring,NYC,M,7600,5.0,1,0,11,3,5,6,191,5,13,4,3,1,6.264,7.964,1.2,5.1,0.23529411764705882,0.5552941176470588,0.3,4.4,0.06818181818181818,0.1388235294117647,20.747032638447486,6.846520770687671,59.0,0.1864406779661017,3.868090830896989,0.2727272727272727,1.054933862971906,45.0,0.13333333333333333,2.109867725943812,0.6503,2.36,15.382774772753885,90.0,0.0,y,Alexander Ring
1,Jesus Medina,NYC,M,9600,2.7555555555555555,0,0,10,3,3,4,87,3,6,1,2,0,8.288709677419355,8.288709677419355,1.0,5.1,0.19607843137254904,0.4627450980392157,0.8,4.4,0.18181818181818182,0.3701960784313726,20.747032638447486,6.846520770687671,59.0,0.1694915254237288,3.5164462099063534,0.3,1.054933862971906,45.0,0.08888888888888889,1.4065784839625413,0.6503,2.36,14.561317190695387,73.66666667,13.5,y,Jesus Medina
2,Ronald Matarrita,NYC,D,9800,2.077777777777778,0,1,4,1,5,7,123,1,3,9,3,0,13.456684491978608,16.344385026737967,0.1,5.1,0.019607843137254905,0.046274509803921574,0.9,4.4,0.20454545454545453,0.4164705882352941,20.747032638447486,6.846520770687671,59.0,0.06779661016949153,1.4065784839625415,0.25,0.35164462099063537,45.0,0.15555555555555556,2.4615123469344473,0.6503,2.36,14.265154346718283,83.0,7.0,y,Ronald Matarrita
3,Anton Tinnerholm,NYC,D,10600,4.2444444444444445,1,0,7,2,13,8,226,8,6,7,2,1,10.27696335078534,12.279581151832462,0.2,5.1,0.03921568627450981,0.09254901960784315,0.5,4.4,0.11363636363636363,0.23137254901960785,20.747032638447486,6.846520770687671,59.0,0.11864406779661017,2.4615123469344478,0.2857142857142857,0.7032892419812707,45.0,0.17777777777777778,2.8131569679250825,0.6503,2.36,14.144249492063057,89.0,26.0,y,Anton Tinnerholm
4,Gary Mackay-Steven,NYC,M,6600,3.411111111111111,0,1,4,1,9,4,73,3,3,5,2,0,7.112052117263844,8.871009771986971,0.5,5.1,0.09803921568627452,0.23137254901960785,0.8,4.4,0.18181818181818182,0.3701960784313726,20.747032638447486,6.846520770687671,59.0,0.06779661016949153,1.4065784839625415,0.25,0.35164462099063537,45.0,0.08888888888888889,1.4065784839625413,0.6503,2.36,11.427716579015994,75.0,41.0,y,Gary Mackay-Steven
5,Keaton Parks,NYC,M,5000,4.7555555555555555,0,0,9,3,2,1,226,3,8,8,0,2,5.450467289719627,4.8196261682243,0.9,5.1,0.17647058823529413,0.41647058823529415,0.0,4.4,0.0,0.0,20.747032638447486,6.846520770687671,59.0,0.15254237288135594,3.1648015889157186,0.3333333333333333,1.054933862971906,45.0,0.022222222222222223,0.3516446209906353,0.6503,2.36,10.720085955231202,85.6,0.0,y,Keaton Parks
6,Jurgen Locadia,CIN,F,8400,5.0,0,0,18,2,3,4,100,10,3,2,1,0,7.82,7.82,2.5,5.0,0.5,0.315,0.1,2.5,0.04,0.0126,3.441803255879436,1.0118901572285541,43.0,0.4186046511627907,1.4407548512983686,0.1111111111111111,0.16008387236648539,30.0,0.13333333333333333,0.3201677447329708,0.1333,0.63,8.166606468397825,90.0,0.0,y,Jurgen Locadia
7,Maxime Chanot,NYC,D,5400,5.0,0,0,5,1,0,0,204,3,6,10,7,1,4.715999999999999,4.4159999999999995,0.5,5.1,0.09803921568627452,0.23137254901960785,0.0,4.4,0.0,0.0,20.747032638447486,6.846520770687671,59.0,0.0847457627118644,1.7582231049531767,0.2,0.35164462099063537,45.0,0.0,0.0,0.6503,2.36,7.63959321613989,90.0,0.0,y,Maxime Chanot
8,Tom Pettersson,CIN,D,3600,3.1777777777777776,0,0,1,0,0,1,131,9,7,7,6,0,6.331468531468532,6.331468531468532,0.1,5.0,0.02,0.0126,0.0,2.5,0.0,0.0,3.441803255879436,1.0118901572285541,43.0,0.023255813953488372,0.08004193618324269,0.0,0.0,30.0,0.03333333333333333,0.0800419361832427,0.1333,0.63,5.988181774464388,90.0,8.0,y,Tom Pettersson
9,Andrew Gutman,CIN,D,5600,3.522222222222222,0,0,0,0,5,2,142,6,2,8,2,0,6.3425867507886435,6.3425867507886435,0.0,5.0,0.0,0.0,0.0,2.5,0.0,0.0,3.441803255879436,1.0118901572285541,43.0,0.0,0.0,0.0,0.0,30.0,0.06666666666666667,0.1600838723664854,0.1333,0.63,5.934847279306548,90.0,23.5,y,Andrew Gutman
10,Valentin Castellanos,NYC,M/F,11800,1.3666666666666667,0,0,3,1,0,4,22,6,11,5,0,2,10.2,8.004878048780487,0.2,5.1,0.03921568627450981,0.09254901960784315,0.3,4.4,0.06818181818181818,0.1388235294117647,20.747032638447486,6.846520770687671,59.0,0.05084745762711865,1.054933862971906,0.3333333333333333,0.3516446209906353,45.0,0.08888888888888889,1.4065784839625413,0.6503,2.36,5.910124925839956,56.0,16.75,y,Valentin Castellanos
11,Frankie Amaya,CIN,M,4600,4.0,0,0,5,1,0,2,165,7,5,11,6,2,7.45,6.7,0.1,5.0,0.02,0.0126,0.1,2.5,0.04,0.0126,3.441803255879436,1.0118901572285541,43.0,0.11627906976744186,0.4002096809162135,0.2,0.0800419361832427,30.0,0.06666666666666667,0.1600838723664854,0.1333,0.63,5.541935489465942,90.0,0.0,y,Frankie Amaya
12,Yuya Kubo,CIN,F,7200,2.7666666666666666,0,0,2,0,2,2,76,9,5,7,2,0,7.742168674698796,7.742168674698796,0.1,5.0,0.02,0.0126,0.4,2.5,0.16,0.0504,3.441803255879436,1.0118901572285541,43.0,0.046511627906976744,0.16008387236648539,0.0,0.0,30.0,0.06666666666666667,0.1600838723664854,0.1333,0.63,5.365917142323332,66.0,25.5,y,Yuya Kubo
13,Joe Gyau,CIN,M,3400,5.0,0,0,5,2,11,3,131,8,9,9,0,1,6.564,6.264,0.2,5.0,0.04,0.0252,0.0,2.5,0.0,0.0,3.441803255879436,1.0118901572285541,43.0,0.11627906976744186,0.4002096809162135,0.4,0.1600838723664854,30.0,0.1,0.24012580854972812,0.1333,0.63,5.316419361832427,90.0,0.0,y,Joe Gyau
14,Gudmundur Thorarinsson,NYC,M,5800,2.922222222222222,0,0,1,0,12,8,145,5,5,4,3,1,9.684410646387832,9.171102661596958,0.0,5.1,0.0,0.0,0.6,4.4,0.13636363636363635,0.2776470588235294,20.747032638447486,6.846520770687671,59.0,0.01694915254237288,0.35164462099063537,0.0,0.0,45.0,0.17777777777777778,2.8131569679250825,0.6503,2.36,5.304448200412027,83.0,7.0,b,Gudmundur Thorarinsson
15,Haris Medunjanin,CIN,M,6200,4.311111111111111,1,0,2,1,2,8,258,0,1,8,2,1,6.044845360824743,8.016494845360826,0.0,5.0,0.0,0.0,0.9,2.5,0.36,0.1134,3.441803255879436,1.0118901572285541,43.0,0.046511627906976744,0.16008387236648539,0.5,0.08004193618324269,30.0,0.26666666666666666,0.6403354894659417,0.1333,0.63,4.662536555747629,88.75,33.0,y,Haris Medunjanin
16,Brandon Vazquez,CIN,F,5200,2.111111111111111,1,0,5,3,2,1,23,2,4,1,0,0,5.617894736842105,10.354736842105263,1.6,5.0,0.32,0.2016,0.1,2.5,0.04,0.0126,3.441803255879436,1.0118901572285541,43.0,0.11627906976744186,0.4002096809162135,0.6,0.2401258085497281,30.0,0.03333333333333333,0.0800419361832427,0.1333,0.63,3.9860826888070786,78.0,11.33333333,y,Brandon Vazquez
17,Alexander Callens,NYC,D,4800,5.0,0,0,2,1,0,0,247,0,5,7,3,3,2.7880000000000003,1.8880000000000003,0.3,5.1,0.058823529411764705,0.1388235294117647,0.0,4.4,0.0,0.0,20.747032638447486,6.846520770687671,59.0,0.03389830508474576,0.7032892419812707,0.5,0.35164462099063537,45.0,0.0,0.0,0.6503,2.36,3.7311691570895533,90.0,0.0,y,Alexander Callens
18,Alexandru Mitrita,NYC,M,10200,1.4333333333333333,0,0,3,1,1,1,30,4,1,3,0,0,8.930232558139535,8.930232558139535,0.2,5.1,0.03921568627450981,0.09254901960784315,0.1,4.4,0.022727272727272728,0.046274509803921574,20.747032638447486,6.846520770687671,59.0,0.05084745762711865,1.054933862971906,0.3333333333333333,0.3516446209906353,45.0,0.022222222222222223,0.3516446209906353,0.6503,2.36,3.5508952435760675,90.0,9.75,b,Alexandru Mitrita
19,James Sands,NYC,M,4000,3.9555555555555557,0,0,0,0,0,1,226,9,9,4,3,2,3.9235955056179774,3.1651685393258426,0.0,5.1,0.0,0.0,0.1,4.4,0.022727272727272728,0.046274509803921574,20.747032638447486,6.846520770687671,59.0,0.0,0.0,0.0,0.0,45.0,0.022222222222222223,0.3516446209906353,0.6503,2.36,3.5092916798141647,89.0,0.0,y,James Sands
20,Nick Hagglund,CIN,D,3400,2.1555555555555554,0,0,1,0,2,2,74,1,2,2,3,0,4.351546391752578,4.351546391752578,0.0,5.0,0.0,0.0,0.2,2.5,0.08,0.0252,3.441803255879436,1.0118901572285541,43.0,0.023255813953488372,0.08004193618324269,0.0,0.0,30.0,0.06666666666666667,0.1600838723664854,0.1333,0.63,3.1538000353538522,84.0,8.666666667000001,y,Nick Hagglund
21,Allan Cruz,CIN,M,3800,1.7333333333333334,0,0,0,0,2,5,51,4,2,2,1,0,7.453846153846153,7.453846153846153,0.0,5.0,0.0,0.0,0.7,2.5,0.27999999999999997,0.08819999999999999,3.441803255879436,1.0118901572285541,43.0,0.0,0.0,0.0,0.0,30.0,0.16666666666666666,0.4002096809162135,0.1333,0.63,1.7797942963008286,89.0,16.75,b,Allan Cruz
22,Kendall Waston,CIN,D,3200,5.0,0,0,4,1,0,0,209,2,9,3,4,3,2.336,1.436,0.4,5.0,0.08,0.0504,0.0,2.5,0.0,0.0,3.441803255879436,1.0118901572285541,43.0,0.09302325581395349,0.32016774473297077,0.25,0.08004193618324269,30.0,0.0,0.0,0.1333,0.63,1.3402096809162134,90.0,0.0,y,Kendall Waston
