player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Alexander Callens,NYC,DELETE,DELETE,450.0,0.0,0.0,2.0,1.0,0.0,0.0,247.0,0.0,5.0,7.0,3.0,3.0,0.3,0.0,DELETE,DELETE,DELETE
Alexander Ring,NYC,DELETE,DELETE,450.0,1.0,0.0,11.0,3.0,5.0,6.0,191.0,5.0,13.0,4.0,3.0,1.0,1.2,0.30000000000000004,DELETE,DELETE,DELETE
Alexandru Mitrita,NYC,DELETE,DELETE,129.0,0.0,0.0,3.0,1.0,1.0,1.0,30.0,4.0,1.0,3.0,0.0,0.0,0.2,0.1,DELETE,DELETE,DELETE
Anton Tinnerholm,NYC,DELETE,DELETE,382.0,1.0,0.0,7.0,2.0,13.0,8.0,226.0,8.0,6.0,7.0,3.0,1.0,0.2,0.5,DELETE,DELETE,DELETE
Gary Mackay-Steven,NYC,DELETE,DELETE,307.0,0.0,1.0,4.0,1.0,9.0,4.0,73.0,3.0,3.0,5.0,2.0,0.0,0.5,0.8,DELETE,DELETE,DELETE
Heber,NYC,DELETE,DELETE,324.0,1.0,0.0,13.0,7.0,2.0,5.0,71.0,0.0,5.0,1.0,0.0,0.0,1.5000000000000002,0.2,DELETE,DELETE,DELETE
James Sands,NYC,DELETE,DELETE,356.0,0.0,0.0,0.0,0.0,0.0,1.0,226.0,9.0,9.0,4.0,3.0,2.0,0.0,0.1,DELETE,DELETE,DELETE
Jesus Medina,NYC,DELETE,DELETE,248.0,0.0,0.0,10.0,3.0,3.0,4.0,87.0,3.0,6.0,1.0,2.0,0.0,0.8999999999999999,0.8,DELETE,DELETE,DELETE
Joseph Scally,NYC,DELETE,DELETE,68.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Keaton Parks,NYC,DELETE,DELETE,428.0,0.0,0.0,9.0,3.0,2.0,1.0,226.0,3.0,8.0,8.0,0.0,2.0,0.8,0.0,DELETE,DELETE,DELETE
Maxime Chanot,NYC,DELETE,DELETE,450.0,0.0,0.0,5.0,1.0,0.0,0.0,204.0,3.0,6.0,10.0,7.0,1.0,0.5,0.0,DELETE,DELETE,DELETE
Maximiliano Moralez,NYC,DELETE,DELETE,182.0,0.0,0.0,1.0,0.0,7.0,9.0,122.0,5.0,2.0,4.0,4.0,0.0,0.0,0.8999999999999999,DELETE,DELETE,DELETE
Nicolas Acevedo,NYC,DELETE,DELETE,80.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Ronald Matarrita,NYC,DELETE,DELETE,187.0,0.0,1.0,4.0,1.0,5.0,7.0,123.0,1.0,3.0,9.0,3.0,0.0,0.1,0.8999999999999999,DELETE,DELETE,DELETE
Sean Johnson,NYC,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Valentin Castellanos,NYC,DELETE,DELETE,123.0,0.0,0.0,3.0,1.0,0.0,4.0,22.0,6.0,11.0,5.0,0.0,2.0,0.2,0.2,DELETE,DELETE,DELETE
Gudmundur Thorarinsson,NYC,DELETE,DELETE,263.0,0.0,0.0,1.0,0.0,12.0,8.0,145.0,5.0,5.0,4.0,3.0,1.0,0.0,0.6,DELETE,DELETE,DELETE
Ismael Tajouri-Shradi,NYC,DELETE,DELETE,66.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Tony Rocha,NYC,DELETE,DELETE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Sebastien Ibeagha,NYC,DELETE,DELETE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Adrien Regattin,CIN,DELETE,DELETE,152.0,0.0,0.0,3.0,1.0,3.0,1.0,41.0,2.0,2.0,1.0,2.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Allan Cruz,CIN,DELETE,DELETE,156.0,0.0,0.0,0.0,0.0,2.0,5.0,51.0,4.0,2.0,2.0,1.0,0.0,0.0,0.7000000000000001,DELETE,DELETE,DELETE
Andrew Gutman,CIN,DELETE,DELETE,317.0,0.0,0.0,0.0,0.0,6.0,2.0,142.0,6.0,2.0,8.0,2.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Caleb Stanko,CIN,DELETE,DELETE,79.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Frankie Amaya,CIN,DELETE,DELETE,360.0,0.0,0.0,5.0,1.0,0.0,2.0,165.0,7.0,5.0,11.0,6.0,2.0,0.1,0.1,DELETE,DELETE,DELETE
Greg Garza,CIN,DELETE,DELETE,133.0,0.0,0.0,0.0,0.0,2.0,1.0,63.0,2.0,4.0,1.0,0.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Haris Medunjanin,CIN,DELETE,DELETE,388.0,1.0,0.0,2.0,1.0,2.0,8.0,258.0,0.0,1.0,8.0,2.0,1.0,0.0,0.9,DELETE,DELETE,DELETE
Joe Gyau,CIN,DELETE,DELETE,450.0,0.0,0.0,5.0,2.0,11.0,3.0,131.0,8.0,9.0,9.0,0.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Jurgen Locadia,CIN,DELETE,DELETE,450.0,0.0,0.0,18.0,2.0,3.0,4.0,100.0,10.0,3.0,2.0,1.0,0.0,2.5,0.1,DELETE,DELETE,DELETE
Kendall Waston,CIN,DELETE,DELETE,450.0,0.0,0.0,4.0,1.0,0.0,0.0,209.0,2.0,9.0,3.0,4.0,3.0,0.4,0.0,DELETE,DELETE,DELETE
Maikel van der Werff,CIN,DELETE,DELETE,165.0,0.0,0.0,2.0,1.0,0.0,0.0,68.0,1.0,4.0,1.0,0.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Mathieu Deplagne,CIN,DELETE,DELETE,281.0,0.0,0.0,0.0,0.0,1.0,1.0,151.0,2.0,7.0,3.0,3.0,2.0,0.0,0.0,DELETE,DELETE,DELETE
