,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Alexandru Mitrita,NYC,M,10800,2.933333333333333,4,0,11,6,1,7,77,13,2,5,0,0,14.74090909090909,28.377272727272732,1.0,4.6,0.2173913043478261,0.4815217391304348,0.4,3.6,0.11111111111111112,0.19260869565217392,16.358504835787457,5.662805973224838,55.0,0.2,3.2717009671574915,0.5454545454545454,1.7845641639040861,38.0,0.18421052631578946,2.081991524554767,61.54,2.215,19.012308039015558,81.0,10.5,y,Alexandru Mitrita
1,Alexander Ring,NYC,M,8000,4.4222222222222225,1,3,8,2,5,7,159,5,12,6,3,1,6.824623115577889,12.817085427135677,1.1,4.6,0.23913043478260873,0.5296739130434783,0.7,3.6,0.19444444444444442,0.3370652173913043,16.358504835787457,5.662805973224838,55.0,0.14545454545454545,2.3794188852054483,0.25,0.5948547213013621,38.0,0.18421052631578946,2.081991524554767,61.54,2.215,15.01660159599494,90.0,0.0,y,Alexander Ring
2,Anton Tinnerholm,NYC,D,9800,4.288888888888889,3,1,5,3,10,9,199,6,6,3,3,0,8.272538860103628,16.666321243523313,0.4,4.6,0.08695652173913045,0.19260869565217392,1.0,3.6,0.2777777777777778,0.4815217391304348,16.358504835787457,5.662805973224838,55.0,0.09090909090909091,1.4871368032534051,0.6,0.8922820819520431,38.0,0.23684210526315788,2.676846245856129,61.54,2.215,14.180290812521367,90.0,26.0,y,Anton Tinnerholm
3,Jesus Medina,NYC,M,9600,3.033333333333333,1,0,8,3,3,7,100,6,4,2,1,0,9.428571428571429,12.725274725274726,0.3,4.6,0.06521739130434782,0.14445652173913043,1.0,3.6,0.2777777777777778,0.4815217391304348,16.358504835787457,5.662805973224838,55.0,0.14545454545454545,2.3794188852054483,0.375,0.8922820819520432,38.0,0.18421052631578946,2.081991524554767,61.54,2.215,12.547705604333057,73.66666667,26.0,y,Jesus Medina
4,Ola Kamara,DC,F,7000,4.0777777777777775,1,0,7,3,0,1,75,4,2,1,1,0,4.168937329700273,6.621253405994551,1.4,2.2,0.6363636363636362,0.48363636363636353,0.1,0.9,0.11111111111111112,0.034545454545454546,9.559680080849759,2.868062748949928,27.0,0.25925925925925924,2.478435576516604,0.42857142857142855,1.0621866756499732,14.0,0.07142857142857142,0.3540622252166577,20.0,0.76,10.138320841019599,73.4,0.0,y,Ola Kamara
5,Yamil Asad,DC,M,5600,3.8333333333333335,0,0,4,1,3,3,121,13,7,10,3,1,8.744347826086955,8.353043478260869,0.2,2.2,0.09090909090909091,0.06909090909090909,0.1,0.9,0.11111111111111112,0.034545454545454546,9.559680080849759,2.868062748949928,27.0,0.14814814814814814,1.4162489008666308,0.25,0.3540622252166577,14.0,0.21428571428571427,1.0621866756499732,20.0,0.76,9.457186866291892,82.25,16.0,y,Yamil Asad
6,Valentin Castellanos,NYC,M/F,8400,2.977777777777778,0,0,8,2,0,4,52,9,17,3,1,3,6.394029850746268,4.882835820895522,0.6,4.6,0.13043478260869565,0.28891304347826086,0.2,3.6,0.05555555555555556,0.09630434782608696,16.358504835787457,5.662805973224838,55.0,0.14545454545454545,2.3794188852054483,0.25,0.5948547213013621,38.0,0.10526315789473684,1.1897094426027242,61.54,2.215,7.789447033541949,78.66666667,16.0,y,Valentin Castellanos
7,Keaton Parks,NYC,M,4600,4.855555555555555,0,0,6,3,2,0,201,4,5,9,0,1,5.132265446224257,4.823340961098399,0.4,4.6,0.08695652173913045,0.19260869565217392,0.0,3.6,0.0,0.0,16.358504835787457,5.662805973224838,55.0,0.10909090909090909,1.7845641639040861,0.5,0.8922820819520431,38.0,0.0,0.0,61.54,2.215,7.486933202377869,87.4,0.0,y,Keaton Parks
8,Junior Moreno,DC,M,3600,5.0,0,0,4,0,2,5,309,5,7,4,0,1,4.4159999999999995,4.116,0.2,2.2,0.09090909090909091,0.06909090909090909,0.2,0.9,0.22222222222222224,0.06909090909090909,9.559680080849759,2.868062748949928,27.0,0.14814814814814814,1.4162489008666308,0.0,0.0,14.0,0.35714285714285715,1.7703111260832887,20.0,0.76,6.608014572404465,90.0,0.0,y,Junior Moreno
9,Griffin Yow,DC,F,5800,1.9444444444444444,1,0,3,3,3,1,42,4,5,3,0,0,7.426285714285714,12.569142857142857,0.2,2.2,0.09090909090909091,0.06909090909090909,0.3,0.9,0.3333333333333333,0.10363636363636364,9.559680080849759,2.868062748949928,27.0,0.1111111111111111,1.0621866756499732,1.0,1.0621866756499732,14.0,0.07142857142857142,0.3540622252166577,20.0,0.76,6.278248563529591,58.5,19.33333333,y,Griffin Yow
