Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,PassLive,PassDead,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,FPPG-Floor,Opp_Def_OPRK,Starting
Kevin Molino\Kevin-Molino,MIN,MF,2.8,3,1,5,3,8,6,0,86,14,2,2,1,0,0,9800,26.01,2.65,13.15,12.86,10,
Jacori Hayes,MIN,MF,1.033333333,1,0,2,2,0,2,0,29,2,1,5,3,0,0,5200,23.79,4.57,14.11,9.68,10,y
Christopher Mueller\Christopher-Mueller,ORL,FW,3.9,4,0,12,7,9,7,0,90,4,1,1,2,0,0,8400,20.41,2.43,10.15,10.26,8,y
Ján Greguš\Jan-Gregus,MIN,MF,5,1,3,9,3,37,6,12,253,4,8,8,11,1,0,10800,20.39,1.89,14.79,5.6,10,y
Nani\Nani,ORL,FW,3,1,2,7,3,16,9,1,113,5,1,0,0,0,0,11200,19.99,1.78,12.65,7.33,8,y
Luis Amarilla\Luis-Amarilla,MIN,FW,2.9,2,1,11,4,3,4,0,63,5,3,1,1,2,0,9400,18.06,1.92,9.09,8.97,10,y
Andrés Perea\Andres-Perea,ORL,FWMF,1.3,0,1,3,1,2,4,0,34,1,1,2,2,0,0,6200,15.06,2.43,10.45,4.62,8,
Ethan Finlay\Ethan-Finlay,MIN,FWMF,4.7,2,2,5,4,6,9,0,79,5,7,9,2,0,0,8000,14.31,1.79,7.51,6.81,10,y
Mauricio Pereyra\Mauricio-Pereyra,ORL,MF,4,1,0,4,2,14,11,3,167,8,6,2,2,2,0,7600,12.54,1.65,10.04,2.5,8,y
Kyle Smith\Kyle-Smith,ORL,DF,0.8,0,0,1,1,5,2,0,33,0,1,3,1,0,0,3800,11.16,2.94,11.16,0,8,
Raheem Edwards\Raheem-Edwards,MIN,FWMF,0.4,0,1,1,0,0,2,0,11,1,2,1,1,0,0,5000,10.72,2.14,4.72,6,10,
Hassani Dotson\Hassani-Dotson,MIN,MFDF,2.9,0,0,6,2,1,6,0,94,4,1,5,4,1,0,4800,9.17,1.91,9.17,0,10,y
Romain Métanire\Romain-Metanire,MIN,DF,5,0,1,1,1,21,7,0,194,5,5,6,7,1,0,6800,9.02,1.33,7.82,1.2,10,
João Moutinho\Joao-Moutinho,ORL,DF,4.8,0,1,5,0,21,5,2,232,1,5,4,9,3,0,5800,8.93,1.54,7.68,1.25,8,y
Jhegson Méndez\Jhegson-Mendez,ORL,MF,3.4,0,0,7,2,1,2,0,186,2,8,14,2,1,0,3800,8.21,2.16,8.21,0,8,y
Robin Lod\Robin-Lod,MIN,FWMF,4.6,1,0,11,4,5,5,0,107,2,12,4,5,2,0,7000,8.07,1.15,5.9,2.17,10,y
Tesho Akindele\Tesho-Akindele,ORL,FW,3.4,1,0,4,2,2,4,0,78,3,2,1,1,0,0,7200,7.78,1.08,4.84,2.94,8,y
Chase Gasper\Chase-Gasper,MIN,DF,5,0,0,1,1,14,3,1,149,4,2,10,15,1,0,5400,7.76,1.44,7.76,0,10,y
Ruan\Ruan,ORL,DF,4.2,0,0,0,0,16,4,1,175,7,4,7,1,1,0,6000,7.55,1.26,7.55,0,8,y
Júnior Urso\Junior-Urso,ORL,MF,3.9,0,0,6,2,0,7,0,132,7,5,3,6,0,0,5400,7.22,1.34,7.22,0,8,
