Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Adam Buksa,NE,F,7600,388,2,0,14,9,0,4,66,4,8,2,0,1,1.8,0.2,90,28,y
Alexander Buttner,NE,D,6800,300,0,0,4,0,10,4,155,4,3,8,3,0,0.1,0.2,75,0,
Andrew Farrell,NE,D,3400,450,0,0,0,0,0,1,265,5,2,7,4,1,0,0.2,90,,y
Brandon Bye,NE,D,4400,168,0,0,2,0,6,1,70,1,2,1,2,0,0.2,0.2,76,7,
Carles Gil,NE,M/F,10800,305,1,0,7,4,15,14,210,10,3,0,1,0,1.2,1.4,80.66666667,28,y
DeJuan Jones,NE,M,5800,283,0,1,1,0,12,3,176,2,1,6,4,0,0,0.2,88,0,y
Diego Fagundez,NE,M/F,5200,124,0,0,4,1,1,1,47,1,5,1,0,1,0.6,0,62,0,
Gustavo Bou,NE,F,9400,211,1,1,14,2,6,6,60,0,4,2,0,1,1.2,0.7,83,15,y
Henry Kessler,NE,D,4000,450,0,0,4,0,0,0,261,3,1,6,2,0,0.4,0,90,,y
Justin Rennicks,NE,F,4400,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,1,
Kekuta Manneh,NE,M/F,6000,91,0,1,2,0,4,3,18,1,2,1,0,1,0.1,0.3,62,7.25,
Kelyn Rowe,NE,M,4600,97,0,0,3,1,4,1,32,1,2,0,0,0,0.3,0.1,63,8.5,
Lee Nguyen,NE,M,5400,212,0,0,1,0,2,4,176,3,4,2,1,1,0.2,0.2,90,30.5,
Matt Polster,NE,D,3600,193,0,0,0,0,2,3,119,1,3,2,6,0,0,0.1,90,25.75,y
Matt Turner,NE,GK,5200,450,0,0,0,0,0,0,129,1,0,0,0,0,0,0,90,,
Scott Caldwell,NE,M,4200,303,0,0,1,0,1,1,227,2,10,1,2,2,0.1,0.1,65.5,41,y
Seth Sinovic,NE,D,3000,14,0,0,0,0,1,1,10,0,0,0,0,0,0,0,,2.8,
Tajon Buchanan,NE,M,6200,281,0,1,2,1,8,3,72,9,5,7,2,1,0,0.5,63.5,27,y
Teal Bunbury,NE,F,7200,321,2,0,6,3,5,2,88,3,3,1,3,1,0.8,0.2,80.25,0,y
Thomas McNamara,NE,M,4200,304,0,0,7,2,2,4,176,5,2,3,1,1,0.4,0.4,76,0,
Alejandro Bedoya,PHI,M,5400,350,0,0,6,2,10,12,145,6,4,6,5,1,0.4,1.9,87.5,0,y
Andre Blake,PHI,GK,6400,269,0,0,0,0,0,0,58,0,1,0,0,1,0,0,89.66666667,0,
Andrew Wooten,PHI,F,5000,39,0,0,0,0,0,1,11,0,0,2,0,0,0,0,,7.8,
Anthony Fontana,PHI,M,8000,146,1,0,2,2,0,0,37,6,3,2,0,1,0.2,0,68,3.333333333,
Brenden Aaronson,PHI,M,7400,433,0,1,7,4,5,6,103,8,4,7,0,0,1.2,1,86.6,,y
Cory Burke,PHI,F,5600,115,2,0,9,5,3,0,22,0,5,1,0,0,1.3,0,,23,
Ilsinho,PHI,M,8400,80,0,0,1,0,1,2,45,0,1,3,0,1,0,0.3,,16,
Jack Elliott,PHI,D,3400,288,0,0,5,5,1,2,113,4,6,7,0,1,0.1,0.5,90,9,
Jakob Glesnes,PHI,D,3800,450,0,0,4,1,0,3,193,4,3,4,2,1,0.2,0.1,90,,y
Jamiro Monteiro,PHI,M,10200,359,2,1,11,1,8,16,167,11,8,10,2,2,1.6,1.5,89.75,0,y
Joe Bendik,PHI,GK,6400,91,0,0,0,0,0,0,12,0,0,0,0,0,0,0,90,0.25,
Jose Andres Martinez,PHI,M,4800,163,0,1,5,1,2,1,73,6,5,6,2,1,0.1,0.6,81.5,0,y
Kacper Przybylko,PHI,F,8800,409,1,2,17,5,9,8,106,2,5,4,0,0,2.5,1.6,81.8,,y
Kai Wagner,PHI,D,5600,448,0,2,2,0,15,8,207,5,6,7,3,0,0,0.8,89.6,,y
Mark McKenzie,PHI,D,4400,450,1,0,3,1,0,1,187,1,6,7,5,0,1.3,0,90,,y
Matt Freese,PHI,GK,6600,90,0,0,0,0,0,0,8,1,0,0,0,0,0,0,90,0,
Matthew Real,PHI,D,4600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4,
Olivier Mbaizo,PHI,D,4800,135,0,1,1,1,5,3,62,2,5,2,2,0,0.1,0.3,90,11.25,
Ray Gaddis,PHI,D,4600,315,0,0,2,1,2,1,132,0,2,2,2,0,0.2,0.1,78.75,0,y
Sergio Santos Gomes,PHI,F,8200,318,4,0,8,5,8,2,62,7,8,8,0,1,3.1,0.2,63.6,0,y
