,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Jamiro Monteiro,PHI,M,10200,3.988888888888889,2,1,11,1,8,16,167,11,8,10,2,2,13.773259052924791,19.53927576601671,0.4,2.2600000000000002,0.17699115044247787,0.3277871196052335,0.375,1.915,0.195822454308094,0.3073004246299064,13.720078949851905,5.719059679750698,65.0,0.16923076923076924,2.3218595145903222,0.09090909090909091,0.2110781376900293,58.0,0.27586206896551724,3.377250203040469,52.36,1.8519972257695694,17.016861599152595,89.75,0.0,y,Jamiro Monteiro
1,Carles Gil,NE,M/F,10800,3.388888888888889,1,0,7,4,15,14,210,10,3,0,1,0,14.37049180327869,17.321311475409836,0.3173770491934426,1.5085578987974337,0.21038440052346932,0.2427381420392798,0.37027322405901636,1.0254498495060704,0.3610836982787274,0.2831944990458264,11.304102829505323,3.308747836318112,49.0,0.14285714285714285,1.6148718327864746,0.5714285714285714,0.922783904449414,37.0,0.3783783783783784,3.2297436655729492,26.67,1.1537839375700352,16.162144539047084,80.66666667,28.0,y,Carles Gil
2,Kacper Przybylko,PHI,F,8800,4.544444444444444,1,2,17,5,9,8,106,2,5,4,0,0,9.22444987775061,14.065525672371637,0.5,2.2600000000000002,0.22123893805309733,0.4097338995065419,0.32,1.915,0.1671018276762402,0.2622296956841868,13.720078949851905,5.719059679750698,65.0,0.26153846153846155,3.5883283407304982,0.29411764705882354,1.0553906884501465,58.0,0.13793103448275862,1.6886251015202345,52.36,1.8519972257695694,14.38706129987142,81.8,0.0,y,Kacper Przybylko
3,Alejandro Bedoya,PHI,M,5400,3.888888888888889,0,0,6,2,10,12,145,6,4,6,5,1,10.902857142857142,10.517142857142858,0.1,2.2600000000000002,0.04424778761061947,0.08194677990130837,0.475,1.915,0.24804177545691905,0.38924720453121475,13.720078949851905,5.719059679750698,65.0,0.09230769230769231,1.266468826140176,0.3333333333333333,0.4221562753800586,58.0,0.20689655172413793,2.5329376522803515,52.36,1.8519972257695694,12.601513780000959,87.5,0.0,y,Alejandro Bedoya
4,Sergio Santos Gomes,PHI,F,8200,3.533333333333333,4,0,8,5,8,2,62,7,8,8,0,1,9.29433962264151,20.190566037735852,0.62,2.2600000000000002,0.2743362831858407,0.5080700353881119,0.04000000000000001,1.915,0.02088772845953003,0.03277871196052336,13.720078949851905,5.719059679750698,65.0,0.12307692307692308,1.6886251015202345,0.625,1.0553906884501465,58.0,0.034482758620689655,0.4221562753800586,52.36,1.8519972257695694,11.7115446909947,63.6,0.0,y,Sergio Santos Gomes
5,Gustavo Bou,NE,F,9400,2.3444444444444446,1,1,14,2,6,6,60,0,4,2,0,1,11.687203791469193,17.872037914691944,0.4720379146919431,1.5085578987974337,0.3129067270591564,0.36102675563846576,0.27535545023696684,1.0254498495060704,0.2685216155325369,0.21059894078910507,11.304102829505323,3.308747836318112,49.0,0.2857142857142857,3.2297436655729492,0.14285714285714285,0.461391952224707,37.0,0.16216216216216217,1.3841758566741211,26.67,1.1537839375700352,11.483295898339879,83.0,15.0,y,Gustavo Bou
6,Brenden Aaronson,PHI,M,7400,4.811111111111111,0,1,7,4,5,6,103,8,4,7,0,0,7.391224018475751,8.638337182448037,0.24,2.2600000000000002,0.10619469026548671,0.1966722717631401,0.2,1.915,0.10443864229765014,0.16389355980261675,13.720078949851905,5.719059679750698,65.0,0.1076923076923077,1.4775469638302052,0.5714285714285714,0.8443125507601172,58.0,0.10344827586206896,1.2664688261401758,52.36,1.8519972257695694,10.2504124171776,86.6,0.0,y,Brenden Aaronson
7,Adam Buksa,NE,F,7600,4.311111111111111,2,0,14,9,0,4,66,4,8,2,0,1,7.03298969072165,11.324226804123713,0.4175257731958763,1.5085578987974337,0.2767714606968101,0.31933446572977575,0.04639175257731959,1.0254498495060704,0.04524039142398349,0.03548160730330842,11.304102829505323,3.308747836318112,49.0,0.2857142857142857,3.2297436655729492,0.6428571428571429,2.076263785011182,37.0,0.10810810810810811,0.922783904449414,26.67,1.1537839375700352,10.057190604604761,90.0,28.0,y,Adam Buksa
8,Jose Andres Martinez,PHI,M,4800,1.8111111111111111,0,1,5,1,2,1,73,6,5,6,2,1,11.241717791411043,13.726380368098159,0.05,2.2600000000000002,0.022123893805309734,0.040973389950654186,0.3,1.915,0.15665796344647517,0.24584033970392508,13.720078949851905,5.719059679750698,65.0,0.07692307692307693,1.0553906884501465,0.2,0.2110781376900293,58.0,0.017241379310344827,0.2110781376900293,52.36,1.8519972257695694,9.292322901560297,81.5,0.0,y,Jose Andres Martinez
9,Kai Wagner,PHI,D,5600,4.977777777777778,0,2,2,0,15,8,207,5,6,7,3,0,7.059375,9.470089285714286,0.0,2.2600000000000002,0.0,0.0,0.16,1.915,0.0835509138381201,0.1311148478420934,13.720078949851905,5.719059679750698,65.0,0.03076923076923077,0.4221562753800586,0.0,0.0,58.0,0.13793103448275862,1.6886251015202345,52.36,1.8519972257695694,7.925470463952854,89.6,0.0,y,Kai Wagner
10,DeJuan Jones,NE,M,5800,3.1444444444444444,0,1,1,0,12,3,176,2,1,6,4,0,8.084098939929328,9.992226148409893,0.0,1.5085578987974337,0.0,0.0,0.06219081272084806,1.0254498495060704,0.06064734687006252,0.047565135444215256,11.304102829505323,3.308747836318112,49.0,0.02040816326530612,0.2306959761123535,0.0,0.0,37.0,0.08108108108108109,0.6920879283370606,26.67,1.1537839375700352,7.868810759517531,88.0,0.0,y,DeJuan Jones
11,Tajon Buchanan,NE,M,6200,3.1222222222222222,0,1,2,1,8,3,72,9,5,7,2,1,8.820640569395017,10.261921708185055,0.0,1.5085578987974337,0.0,0.0,0.11298932384341638,1.0254498495060704,0.11018512889522591,0.08641714518969087,11.304102829505323,3.308747836318112,49.0,0.04081632653061224,0.461391952224707,0.5,0.2306959761123535,37.0,0.08108108108108109,0.6920879283370606,26.67,1.1537839375700352,6.431290827456395,63.5,27.0,y,Tajon Buchanan
