Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andre Shinyashiki,COL,F,8200,405,3,0,11,7,8,5,123,4,9,6,2,1,1.7,0.4,81,,y
Auston Trusty,COL,D,3200,229,0,1,0,0,0,2,127,1,2,4,1,0,0,0.7,90,16.33333333,
Brian Galvan,COL,M,4000,98,0,1,1,0,2,3,45,4,0,1,0,0,0,0.1,67,7.75,
Cole Bassett,COL,M,8800,449,3,1,10,4,9,5,182,2,3,3,2,0,1,0.5,89.8,,y
Collen Warner,COL,M,3000,43,0,0,0,0,0,0,24,0,3,1,1,1,0,0,,4,
Danny Wilson,COL,D,3000,237,0,0,1,1,0,0,115,1,3,7,5,1,0,0,79,0,y
Diego Rubio,COL,F,7600,269,0,1,4,1,2,4,64,6,1,3,1,0,0.5,0.9,89.66666667,0,y
Drew Moor,COL,D,3200,34,0,0,0,0,0,0,22,0,0,0,0,0,0,0,,6.8,
Jack Price,COL,M,8000,434,0,2,2,1,5,11,312,2,3,7,6,1,0.1,0.8,86.8,,y
Jeremy Kelly,COL,D,3000,50,0,0,0,0,0,1,43,1,0,0,0,0,0,0.1,,10,
Jonathan Lewis,COL,F,8400,221,2,0,8,2,8,3,41,2,2,2,0,0,1.1,0.1,68,8.5,
Keegan Rosenberry,COL,D,5200,403,1,0,7,3,4,3,242,0,4,11,8,0,0.3,0.4,80.6,,y
Kellyn Acosta,COL,M,3400,149,0,1,4,1,0,2,76,4,1,3,0,1,0.6,0.4,74.5,0,
Lalas Abubakar,COL,D,3000,434,0,0,3,0,0,1,256,2,8,10,5,1,0.1,0.1,86.8,,y
Nicolas Benezet,COL,M,7400,170,0,0,5,2,4,4,77,4,4,5,2,0,0.3,0.3,79,22.75,y
Nicolas Mezquida,COL,M/F,9000,133,1,0,5,4,3,3,65,3,0,4,0,0,1.3,0.5,,26.6,
Sam Vines,COL,D,4800,450,0,2,0,0,8,3,207,6,2,3,3,0,0,0.4,90,,y
William Yarbrough,COL,GK,5600,450,0,0,0,0,0,0,111,0,0,0,0,0,0,0,90,,y
Younes Namli,COL,M,5000,292,0,0,5,2,2,2,123,3,5,3,4,0,0.2,0,73,0,y
Aljaz Ivacic,POR,GK,7000,90,0,0,0,0,0,0,17,0,0,0,0,0,0,0,90,,
Andres Flores,POR,M,4400,142,1,0,1,1,3,1,45,2,2,0,1,0,0.1,0.1,67.5,2.333333333,y
Andy Polo,POR,M/F,3600,118,1,0,2,1,5,1,64,0,0,0,0,0,0,0.1,90,7,y
Bill Tuiloma,POR,D,4200,91,1,0,2,1,0,2,40,1,0,1,2,0,0.1,0,90,0.25,y
Chris Duvall,POR,D,3000,74,0,0,0,0,4,1,23,1,1,1,0,0,0,0,74,0,
Cristhian Paredes,POR,M,3200,107,0,0,2,1,1,1,46,0,0,0,2,0,0,0,90,4.25,y
Dario Zuparic,POR,D,3000,367,0,0,0,0,0,0,141,3,4,2,3,0,0,0,90,7,y
Diego Chara,POR,M,3800,450,0,0,1,0,3,2,316,10,13,8,6,1,0,0.1,90,,y
Diego Valeri,POR,M,11600,433,1,1,12,3,13,15,184,9,1,4,1,0,1.8,1.1,86.6,,
Eryk Williamson,POR,M,6800,353,1,0,6,1,0,1,150,7,5,6,6,2,0.6,0.2,88.25,0,y
Felipe Mora,POR,F,9600,357,0,1,11,5,0,6,71,5,2,2,1,0,1.4,0.7,84.5,19,y
Jaroslaw Niezgoda,POR,F,8600,94,2,1,2,2,1,2,25,1,0,0,0,0,0.2,0.4,71,5.75,
Jeremy Ebobisse,POR,F,9800,177,1,0,5,2,3,0,30,2,1,0,0,0,0.3,0,88.5,0,
Jorge Villafana,POR,D,5800,360,0,2,1,0,15,5,197,2,3,5,3,0,0,0.4,90,0,
Larrys Mabiala,POR,D,3400,450,0,0,4,1,1,0,215,5,7,6,6,0,0.5,0,90,,
Marco Farfan,POR,D,3400,224,0,0,1,0,2,0,91,2,5,3,1,0,0,0,86.5,17,y
Marvin Loria,POR,M,6000,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,1.6,
Pablo Bonilla,POR,D,4600,245,0,1,1,0,9,2,118,2,4,4,0,0,0.1,0.1,76,8.5,y
Renzo Zambrano,POR,M,3200,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.4,
Steve Clark,POR,GK,7200,360,0,0,0,0,0,0,130,0,0,0,0,0,0,0,90,,
Tomas Conechny,POR,F,3800,52,0,0,1,0,0,0,13,1,1,0,0,0,0,0,45,1.75,
Yimmi Chara,POR,M/F,9200,391,1,1,5,4,7,6,194,5,1,11,2,0,0.5,0.8,86.5,45,
