Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andres Ricaurte,DAL,M,8800,425,0,1,8,3,5,12,286,17,4,5,2,0,0.9,1,85,,y
Brandon Servania,DAL,M,3200,13,0,0,0,0,0,0,6,0,1,0,0,0,0,0,,2.6,
Bressan,DAL,D,3400,450,0,0,1,0,0,0,264,2,1,4,4,0,0.1,0,90,,y
Bryan Reynolds,DAL,D,6000,403,0,1,1,1,11,4,201,7,8,5,0,1,0.1,0.7,90,,y
Ema Twumasi,DAL,M,3400,30,0,0,0,0,1,1,8,0,1,1,0,0,0,0,,6,
Fafa Picault,DAL,M,8000,244,2,0,5,3,9,3,75,7,2,4,1,1,1,0.6,80.5,27.66666667,y
Franco Jara,DAL,F,9600,283,2,0,10,5,3,6,50,3,6,4,0,1,2.9,0.5,81.66666667,19,y
Harold Santiago Mosquera,DAL,M,6400,79,0,0,3,2,1,0,21,2,1,2,0,0,0.2,0,52,6.75,
Jesus Ferreira,DAL,F,4400,306,0,0,2,1,1,3,89,2,2,4,3,0,0.1,0.4,61.2,,y
Jimmy Maurer,DAL,GK,5600,360,0,0,0,0,0,0,88,1,0,0,0,0,0,0,90,0,
John Nelson,DAL,D,4000,141,0,0,0,0,0,0,67,0,0,2,0,0,0,0,90,4,y
Matt Hedges,DAL,D,3000,381,0,0,1,0,1,0,209,0,1,3,1,0,0,0,90,21,y
Michael Barrios,DAL,M/F,9400,413,0,1,9,2,13,8,82,5,3,1,1,0,0.4,1.3,82.6,,
Phelipe Megiolaro,DAL,GK,5800,90,0,0,0,0,0,0,15,0,0,0,0,0,0,0,90,0,
Reto Ziegler,DAL,D,6600,113,0,0,0,0,2,1,51,0,1,1,0,0,0,0.1,90,5.75,
Ricardo Pepi,DAL,F,4800,180,0,0,7,3,0,2,37,3,4,0,0,0,1.1,0.2,80.5,6.333333333,
Ryan Hollingshead,DAL,D,7000,450,2,0,9,5,4,4,180,8,6,10,4,3,1.4,0.6,90,,y
Tanner Tessmann,DAL,M,3200,166,0,0,3,0,3,2,60,0,0,0,0,0,0,0.1,90,19,
Thiago dos Santos,DAL,M,3800,423,0,0,1,0,1,1,231,9,9,12,8,2,0.4,0.2,84.6,,y
Andres Flores,POR,M,3200,187,1,0,1,1,3,2,57,3,2,0,1,0,0.1,0.1,60,3.5,
Andy Polo,POR,M/F,4600,219,1,0,4,1,6,1,113,1,0,2,1,0,0.1,0.1,88.5,14,y
Bill Tuiloma,POR,D,3800,90,0,0,3,0,0,0,47,1,2,0,1,0,0,0,90,0,
Chris Duvall,POR,D,3600,76,0,0,0,0,1,0,29,1,1,1,0,0,0,0,90,0,
Cristhian Paredes,POR,M,4200,167,0,0,0,0,0,2,89,3,1,5,3,0,0,0.1,83,0.333333333,
Dairon Asprilla,POR,M/F,7800,27,0,0,2,0,1,0,7,0,1,1,0,1,0.3,0,,5.4,
Dario Zuparic,POR,D,3000,450,0,0,0,0,0,2,195,2,5,2,4,1,0,0,90,,y
Diego Chara,POR,M,3200,360,0,0,1,0,1,2,292,6,10,7,1,1,0,0.1,90,0,y
Diego Valeri,POR,M,12000,395,1,1,13,3,8,11,173,7,2,4,1,1,2,0.8,89.75,36,y
Eryk Williamson,POR,M,6800,407,1,0,5,1,1,0,169,8,5,4,6,1,0.6,0,81.4,,y
Felipe Mora,POR,F,8400,358,0,0,7,3,0,3,68,8,4,0,0,0,0.6,0.3,84.75,19,y
Jaroslaw Niezgoda,POR,F,9200,91,2,1,2,2,1,2,22,1,0,0,0,0,0.2,0.4,71,5,
Jorge Villafana,POR,D,7600,383,1,2,3,1,14,6,226,3,4,3,1,0,0.4,0.7,90,23,y
Larrys Mabiala,POR,D,3200,363,0,0,2,1,0,0,204,5,9,3,4,1,0.1,0,90,3,y
Marco Farfan,POR,D,3600,206,0,0,0,0,2,1,81,3,7,3,0,0,0,0.1,78.5,16.33333333,
Marvin Loria,POR,M,5200,67,0,0,1,0,2,0,23,0,1,1,3,0,0,0,66,0.25,
Pablo Bonilla,POR,D,5000,249,0,1,1,0,9,3,118,2,6,4,1,1,0.1,0.2,77.33333333,8.5,y
Renzo Zambrano,POR,M,3000,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.4,
Steve Clark,POR,GK,7400,450,0,0,0,0,0,0,180,0,0,0,0,0,0,0,90,,
Tomas Conechny,POR,F,4400,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1.4,
Yimmi Chara,POR,M/F,9800,391,1,1,5,3,8,6,192,3,2,8,0,0,0.4,0.9,86.5,45,y
