,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Diego Valeri,POR,M,12000,4.388888888888889,1,1,13,3,8,11,173,7,2,4,1,1,10.608607594936709,13.91240506329114,0.4544303797468354,0.9952172234735295,0.45661426372905034,0.7282917530329139,0.1817721518987342,0.7439135120019976,0.24434581300930328,0.2913167012131656,15.284880746993599,5.8557672230427285,41.0,0.3170731707317073,4.846425602705287,0.23076923076923078,1.118405908316605,34.0,0.3235294117647059,4.100821663827551,48.31,1.5949824849647576,23.1999772415715,89.75,36.0,y,Diego Valeri
1,Andres Ricaurte,DAL,M,8800,4.722222222222222,0,1,8,3,5,12,286,17,4,5,2,0,11.270117647058823,12.54070588235294,0.18,1.769117441262444,0.10174564774600368,0.11954894260730888,0.19999999999999998,0.9385657600399117,0.21309108910119964,0.1328321584525654,13.136002977984324,4.438593270631731,38.0,0.21052631578947367,2.7654743111545943,0.375,1.0370528666829728,33.0,0.36363636363636365,4.148211466731892,28.57,1.1749784413948503,15.98722102135794,85.0,0.0,y,Andres Ricaurte
2,Franco Jara,DAL,F,9600,3.1444444444444444,2,0,10,5,3,6,50,3,6,4,0,1,8.936395759717316,14.819787985865725,0.8368669022720847,1.769117441262444,0.47304202804924905,0.5558141848315657,0.14428739694346288,0.9385657600399117,0.15373179279129806,0.09583003186751132,13.136002977984324,4.438593270631731,38.0,0.2631578947368421,3.456842888943243,0.5,1.7284214444716215,33.0,0.18181818181818182,2.074105733365946,28.57,1.1749784413948503,15.00851095206832,81.66666667,19.0,y,Franco Jara
3,Yimmi Chara,POR,M/F,9800,4.344444444444444,1,1,5,3,8,6,192,3,2,8,0,0,7.697186700767263,11.380051150895142,0.0884910485933504,0.9952172234735295,0.08891631545975155,0.14181996578590483,0.19910485933503838,0.7439135120019976,0.2676451712769854,0.31909492301828585,15.284880746993599,5.8557672230427285,41.0,0.12195121951219512,1.8640098471943414,0.6,1.1184059083166047,34.0,0.17647058823529413,2.23681181663321,48.31,1.5949824849647576,12.852661729749748,86.5,45.0,y,Yimmi Chara
4,Ryan Hollingshead,DAL,D,7000,5.0,2,0,9,5,4,4,180,8,6,10,4,3,8.280000000000001,11.379999999999999,0.27999999999999997,1.769117441262444,0.15827100760489463,0.1859650218335916,0.12,0.9385657600399117,0.1278546534607198,0.07969929507153926,13.136002977984324,4.438593270631731,38.0,0.23684210526315788,3.1111586000489186,0.5555555555555556,1.7284214444716215,33.0,0.12121212121212122,1.3827371555772974,28.57,1.1749784413948503,12.340163188862988,90.0,0.0,y,Ryan Hollingshead
5,Fafa Picault,DAL,M,8000,2.7111111111111112,2,0,5,3,9,3,75,7,2,4,1,1,10.807377049180328,17.631147540983605,0.32991803278688525,1.769117441262444,0.18648735527216068,0.21911862203753107,0.19795081967213113,0.9385657600399117,0.210907778762048,0.13147117322251864,13.136002977984324,4.438593270631731,38.0,0.13157894736842105,1.7284214444716215,0.6,1.0370528666829728,33.0,0.09090909090909091,1.037052866682973,28.57,1.1749784413948503,12.325163388367663,80.5,27.66666667,y,Fafa Picault
6,Jorge Villafana,POR,D,7600,4.2555555555555555,1,2,3,1,14,6,226,3,4,3,1,0,6.772323759791122,11.942036553524805,0.09399477806788513,0.9952172234735295,0.0944464945450024,0.15064050456559835,0.16449086161879894,0.7439135120019976,0.22111557185744093,0.2636208829897971,15.284880746993599,5.8557672230427285,41.0,0.07317073170731707,1.1184059083166047,0.3333333333333333,0.37280196943886823,34.0,0.17647058823529413,2.23681181663321,48.31,1.5949824849647576,11.238604346077445,90.0,23.0,y,Jorge Villafana
7,Felipe Mora,POR,F,8400,3.977777777777778,0,0,7,3,0,3,68,8,4,0,0,0,5.118435754189944,5.118435754189944,0.14203910614525136,0.9952172234735295,0.14272171220018007,0.22763863118346817,0.07101955307262568,0.7439135120019976,0.09546748637687734,0.1138193155917341,15.284880746993599,5.8557672230427285,41.0,0.17073170731707318,2.609613786072078,0.42857142857142855,1.118405908316605,34.0,0.08823529411764706,1.118405908316605,48.31,1.5949824849647576,9.548074176805457,84.75,19.0,y,Felipe Mora
8,Andy Polo,POR,M/F,4600,2.433333333333333,1,0,4,1,6,1,113,1,0,2,1,0,6.558904109589041,10.668493150684933,0.04041095890410959,0.9952172234735295,0.040605164330925016,0.06476452590694112,0.04041095890410959,0.7439135120019976,0.05432211977889316,0.06476452590694112,15.284880746993599,5.8557672230427285,41.0,0.0975609756097561,1.4912078777554731,0.25,0.3728019694388683,34.0,0.029411764705882353,0.37280196943886823,48.31,1.5949824849647576,7.297975737993583,88.5,14.0,y,Andy Polo
9,Eryk Williamson,POR,M,6800,4.522222222222222,1,0,5,1,1,0,169,8,5,4,6,1,4.9931203931203925,6.872727272727272,0.12,0.9952172234735295,0.1205766913691197,0.19231771082874718,0.0,0.7439135120019976,0.0,0.0,15.284880746993599,5.8557672230427285,41.0,0.12195121951219512,1.8640098471943414,0.2,0.3728019694388683,34.0,0.0,0.0,48.31,1.5949824849647576,7.175988924920682,81.4,0.0,y,Eryk Williamson
10,Bryan Reynolds,DAL,D,6000,4.477777777777778,0,1,1,1,11,4,201,7,8,5,0,1,5.743920595533498,6.748883374689826,0.022332506203473945,1.769117441262444,0.01262352949702279,0.014832375013313756,0.1563275434243176,0.9385657600399117,0.1665600324240146,0.10382662509319629,13.136002977984324,4.438593270631731,38.0,0.02631578947368421,0.3456842888943243,1.0,0.3456842888943243,33.0,0.12121212121212122,1.3827371555772974,28.57,1.1749784413948503,6.914371864331214,90.0,0.0,y,Bryan Reynolds
11,Thiago dos Santos,DAL,M,3800,4.7,0,0,1,0,1,1,231,9,9,12,8,2,5.919148936170212,5.280851063829787,0.07999999999999999,1.769117441262444,0.04522028788711274,0.05313286338102616,0.039999999999999994,0.9385657600399117,0.042618217820239924,0.026566431690513082,13.136002977984324,4.438593270631731,38.0,0.02631578947368421,0.3456842888943243,0.0,0.0,33.0,0.030303030303030304,0.34568428889432434,28.57,1.1749784413948503,5.946095801741988,84.6,0.0,y,Thiago dos Santos
12,Pablo Bonilla,POR,D,5000,2.7666666666666666,0,1,1,0,9,3,118,2,6,4,1,1,5.840963855421687,7.467469879518072,0.031057563586345385,0.9952172234735295,0.031206818826896483,0.04977432944036833,0.06211512717269077,0.7439135120019976,0.08349778054915068,0.09954865888073668,15.284880746993599,5.8557672230427285,41.0,0.024390243902439025,0.3728019694388683,0.0,0.0,34.0,0.08823529411764706,1.118405908316605,48.31,1.5949824849647576,5.896979403747994,77.33333333,8.5,y,Pablo Bonilla
13,Diego Chara,POR,M,3200,4.0,0,0,1,0,1,2,292,6,10,7,1,1,4.51,4.135,0.0,0.9952172234735295,0.0,0.0,0.025,0.7439135120019976,0.03360605715134916,0.040066189755989,15.284880746993599,5.8557672230427285,41.0,0.024390243902439025,0.3728019694388683,0.0,0.0,34.0,0.058823529411764705,0.7456039388777365,48.31,1.5949824849647576,4.7438030468525385,90.0,0.0,y,Diego Chara
14,Jesus Ferreira,DAL,F,4400,3.4,0,0,2,1,1,3,89,2,2,4,3,0,4.405882352941177,4.405882352941177,0.020000000000000004,1.769117441262444,0.01130507197177819,0.013283215845256546,0.08000000000000002,0.9385657600399117,0.08523643564047988,0.05313286338102618,13.136002977984324,4.438593270631731,38.0,0.05263157894736842,0.6913685777886486,0.5,0.3456842888943243,33.0,0.09090909090909091,1.037052866682973,28.57,1.1749784413948503,4.321735072104669,61.2,0.0,y,Jesus Ferreira
15,Larrys Mabiala,POR,D,3200,4.033333333333333,0,0,2,1,0,0,204,5,9,3,4,1,3.11900826446281,2.747107438016529,0.024793388429752067,0.9952172234735295,0.02491253953907432,0.03973506422081554,0.0,0.7439135120019976,0.0,0.0,15.284880746993599,5.8557672230427285,41.0,0.04878048780487805,0.7456039388777366,0.5,0.3728019694388683,34.0,0.0,0.0,48.31,1.5949824849647576,3.519062335648727,90.0,3.0,y,Larrys Mabiala
