Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aljaz Ivacic,POR,GK,6600,90,0,0,0,0,0,0,25,0,0,0,0,0,0,0,90,0,
Andy Polo,POR,M/F,3600,205,0,0,2,1,0,0,85,3,2,1,1,0,0.1,0,90,8.333333333,
Bill Tuiloma,POR,D,3000,180,0,0,1,0,1,0,60,0,4,0,0,0,0,0,90,0,y
Cristhian Paredes,POR,M,3200,210,0,0,3,2,1,2,71,2,7,3,2,3,0.3,0.1,82,15.33333333,
Dario Zuparic,POR,D,3600,360,0,0,1,1,0,0,135,5,4,0,0,1,0.2,0,90,0,y
Diego Chara,POR,M,5000,448,0,2,1,0,0,4,233,7,7,5,4,1,0.1,0.9,89.6,,y
Diego Valeri,POR,M,12400,296,3,1,6,3,13,11,104,6,3,1,0,0,1.1,1,83.66666667,22.5,y
Eryk Williamson,POR,M,7000,282,0,2,3,1,2,3,97,6,7,8,4,1,0.1,0.5,70,2,y
Felipe Mora,POR,F,9600,236,3,0,3,3,2,3,36,7,0,1,0,0,1.5,0.2,72,10,b
Jaroslaw Niezgoda,POR,F,7800,186,1,0,4,2,0,0,22,0,2,2,0,0,1,0,80,12,y
Jeremy Ebobisse,POR,F,9800,286,3,1,9,6,1,3,61,4,2,1,2,0,1,0.5,81.66666667,20.5,
Jorge Villafana,POR,D,5800,270,0,2,0,0,6,2,86,2,1,4,2,0,0,0.9,90,0,y
Julio Cascante,POR,D,4000,180,1,0,2,1,0,1,27,4,4,2,1,0,0.2,0,90,0,
Larrys Mabiala,POR,D,4200,185,1,0,1,1,0,0,104,1,2,3,3,0,0.6,0,90,1.666666667,b
Marco Farfan,POR,D,4200,283,0,0,1,0,4,0,84,2,8,6,0,1,0,0,90,6.5,y
Marvin Loria,POR,M,5600,200,0,0,6,2,1,3,43,4,4,1,5,0,0.4,0.1,68.5,21,y
Pablo Bonilla,POR,D,5200,347,0,0,3,0,3,2,84,6,7,3,0,1,0.1,0.2,86.75,0,b
Renzo Zambrano,POR,M,3200,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.4,b
Steve Clark,POR,GK,6800,360,0,0,0,0,0,0,113,0,0,0,0,1,0,0,90,0,
Tomas Conechny,POR,F,6200,58,0,0,0,0,1,1,22,2,3,0,0,1,0,0.2,45,3.25,b
Yimmi Chara,POR,M/F,8600,286,3,2,8,4,5,4,97,2,0,0,4,0,1.8,0.8,69,39.5,y
Andres Rios,SJ,F,6000,381,2,0,4,2,0,3,73,10,6,0,1,1,1.4,0.1,76.2,,y
Cade Cowell,SJ,M,4400,101,0,0,3,3,0,0,10,1,1,0,0,0,0.4,0,45,14,b
Carlos Fierro,SJ,M/F,6400,375,1,1,11,5,5,6,66,8,5,1,1,1,1.8,0.5,75,,y
Chris Wondolowski,SJ,F,6600,281,0,0,7,1,2,3,50,3,2,1,0,0,1.5,0.2,69.66666667,36,y
Cristian Espinoza,SJ,M,8800,363,1,2,9,5,19,10,110,3,6,2,2,1,0.7,1.9,84,27,y
Danny Hoesen,SJ,F,5800,28,0,0,1,1,0,0,10,0,2,0,0,1,0.4,0,,5.6,
Eric Calvillo,SJ,M,3800,80,0,0,1,0,0,1,27,3,0,0,1,0,0.4,0,63,4.25,
Florian Jungwirth,SJ,D,3000,424,0,0,2,0,0,0,260,1,6,5,3,2,0.1,0,84.8,,
Gilbert Fuentes,SJ,M,3200,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,1.2,
J.T. Marcinkowski,SJ,GK,4600,270,0,0,0,0,0,1,95,0,0,0,0,1,0,0.2,90,0,
Jack Skahan,SJ,F,3600,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2.4,b
Jackson Yueill,SJ,M,3800,450,1,0,3,2,3,1,240,6,5,7,4,1,0.8,0.3,90,,y
Judson,SJ,M,3200,415,0,0,3,0,0,0,243,3,12,18,7,1,0.5,0,83,,y
Luis Felipe,SJ,M,3200,18,0,0,0,0,0,1,8,0,0,1,1,0,0,0,,3.6,
Marcos Lopez,SJ,D,5400,304,1,1,3,2,6,5,140,7,6,4,1,0,0.1,0.2,76,0,
Mario Daniel Vega,SJ,GK,4400,180,0,0,0,0,0,0,35,0,0,0,0,0,0,0,90,0,
Nick Lima,SJ,D,4800,327,0,2,4,2,8,5,174,5,4,1,3,1,0.2,1.1,81.75,0,y
Paul Marie,SJ,D,3400,27,1,0,1,1,1,0,10,1,0,1,0,0,0.1,0,,5.4,b
Shea Salinas,SJ,D,5200,166,1,0,4,2,3,3,64,3,5,2,0,1,0.2,0.6,78,22,
Siad Haji,SJ,M,3200,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,,0.6,b
Tanner Beason,SJ,D,3400,450,0,0,3,0,3,1,250,3,2,6,4,0,0.1,0.1,90,,y
Tommy Thompson,SJ,D,4000,207,0,1,0,0,0,3,124,4,1,4,3,0,0,0.2,90,9,y
Valeri Qazaishvili,SJ,M/F,8400,82,0,0,3,2,1,2,26,1,0,0,0,0,0.3,0.2,,16.4,
