Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
Diego Valeri,POR,M,12400,3.288888889,3,1,6,3,13,11,104,6,3,1,0,0,11.1527027,22.09864865,1.1,7.9,0.139240506,0.340443038,1,5.3,0.188679245,0.309493671,15.24716178,5.797239367,47,0.127659574,1.946446185,0.5,0.973223092,36,0.305555556,3.568484672,61.11,2.445,16.46427608,83.66666667,22.5,y,Diego Valeri
Yimmi Chara,POR,M/F,8600,3.177777778,3,2,8,4,5,4,97,2,0,0,4,0,8.005594406,21.22237762,1.8,7.9,0.227848101,0.557088608,0.8,5.3,0.150943396,0.247594937,15.24716178,5.797239367,47,0.170212766,2.595261579,0.5,1.29763079,36,0.111111111,1.29763079,61.11,2.445,14.52446137,69,39.5,y,Yimmi Chara
Cristian Espinoza,SJ,M,8800,4.033333333,1,2,9,5,19,10,110,3,6,2,2,1,10.53719008,15.61983471,0.7,7.5,0.093333333,0.090066667,1.9,4.4,0.431818182,0.244466667,9.617608143,3.865296165,48,0.1875,1.803301527,0.555555556,1.001834182,33,0.303030303,2.003668363,18.52,0.965,11.11015504,84,27,y,Cristian Espinoza
Jeremy Ebobisse,POR,F,9800,3.177777778,3,1,9,6,1,3,61,4,2,1,2,0,7.841958042,19.17062937,1,7.9,0.126582278,0.309493671,0.5,5.3,0.094339623,0.154746835,15.24716178,5.797239367,47,0.191489362,2.919669277,0.666666667,1.946446185,36,0.083333333,0.973223092,61.11,2.445,10.35877026,81.66666667,20.5,b,Jeremy Ebobisse
Carlos Fierro,SJ,M/F,6400,4.166666667,1,1,11,5,5,6,66,8,5,1,1,1,8.1168,11.5968,1.8,7.5,0.24,0.2316,0.5,4.4,0.113636364,0.064333333,9.617608143,3.865296165,48,0.229166667,2.2040352,0.454545455,1.001834182,33,0.181818182,1.202201018,18.52,0.965,9.174070399,75,0,y,Carlos Fierro
Felipe Mora,POR,F,9600,2.622222222,3,0,3,3,2,3,36,7,0,1,0,0,7.291525424,18.73220339,1.5,7.9,0.189873418,0.464240506,0.2,5.3,0.037735849,0.061898734,15.24716178,5.797239367,47,0.063829787,0.973223092,1,0.973223092,36,0.083333333,0.973223092,61.11,2.445,8.362280304,72,10,b,Felipe Mora
Marvin Loria,POR,M,5600,2.222222222,0,0,6,2,1,3,43,4,4,1,5,0,8.127,8.127,0.4,7.9,0.050632911,0.123797468,0.1,5.3,0.018867925,0.030949367,15.24716178,5.797239367,47,0.127659574,1.946446185,0.333333333,0.648815395,36,0.083333333,0.973223092,61.11,2.445,7.410205558,68.5,21,y,Marvin Loria
Eryk Williamson,POR,M,7000,3.133333333,0,2,3,1,2,3,97,6,7,8,4,1,7.289361702,10.64042553,0.1,7.9,0.012658228,0.030949367,0.5,5.3,0.094339623,0.154746835,15.24716178,5.797239367,47,0.063829787,0.973223092,0.333333333,0.324407697,36,0.083333333,0.973223092,61.11,2.445,7.068403034,70,2,y,Eryk Williamson
Nick Lima,SJ,D,4800,3.633333333,0,2,4,2,8,5,174,5,4,1,3,1,7.040366972,9.930275229,0.2,7.5,0.026666667,0.025733333,1.1,4.4,0.25,0.141533333,9.617608143,3.865296165,48,0.083333333,0.801467345,0.5,0.400733673,33,0.151515152,1.001834182,18.52,0.965,6.580568533,81.75,0,y,Nick Lima
Jorge Villafana,POR,D,5800,3,0,2,0,0,6,2,86,2,1,4,2,0,4.806666667,8.806666667,0,7.9,0,0,0.9,5.3,0.169811321,0.278544304,15.24716178,5.797239367,47,0,0,0,0,36,0.055555556,0.648815395,61.11,2.445,6.460081218,90,0,y,Jorge Villafana
Diego Chara,POR,M,5000,4.977777778,0,2,1,0,0,4,233,7,7,5,4,1,4.05,6.159375,0.1,7.9,0.012658228,0.030949367,0.9,5.3,0.169811321,0.278544304,15.24716178,5.797239367,47,0.021276596,0.324407697,0,0,36,0.111111111,1.29763079,61.11,2.445,6.334797981,89.6,0,y,Diego Chara
Jackson Yueill,SJ,M,3800,5,1,0,3,2,3,1,240,6,5,7,4,1,5.08,6.78,0.8,7.5,0.106666667,0.102933333,0.3,4.4,0.068181818,0.0386,9.617608143,3.865296165,48,0.0625,0.601100509,0.666666667,0.400733673,33,0.03030303,0.200366836,18.52,0.965,6.043134351,90,0,y,Jackson Yueill
Tommy Thompson,SJ,D,4000,2.3,0,1,0,0,0,3,124,4,1,4,3,0,6.295652174,8.904347826,0,7.5,0,0,0.2,4.4,0.045454545,0.025733333,9.617608143,3.865296165,48,0,0,0,0,33,0.090909091,0.601100509,18.52,0.965,5.746804857,90,9,y,Tommy Thompson
Jaroslaw Niezgoda,POR,F,7800,2.066666667,1,0,4,2,0,0,22,0,2,2,0,0,3.6,8.438709677,1,7.9,0.126582278,0.309493671,0,5.3,0,0,15.24716178,5.797239367,47,0.085106383,1.29763079,0.5,0.648815395,36,0,0,61.11,2.445,5.660737732,80,12,y,Jaroslaw Niezgoda
Chris Wondolowski,SJ,F,6600,3.122222222,0,0,7,1,2,3,50,3,2,1,0,0,5.252669039,5.252669039,1.5,7.5,0.2,0.193,0.2,4.4,0.045454545,0.025733333,9.617608143,3.865296165,48,0.145833333,1.402567854,0.142857143,0.200366836,33,0.090909091,0.601100509,18.52,0.965,5.627225235,69.66666667,36,y,Chris Wondolowski
Judson,SJ,M,3200,4.611111111,0,0,3,0,0,0,243,3,12,18,7,1,5.716626506,5.391325301,0.5,7.5,0.066666667,0.064333333,0,4.4,0,0,9.617608143,3.865296165,48,0.0625,0.601100509,0,0,33,0,0,18.52,0.965,5.616433842,83,0,y,Judson
Andres Rios,SJ,F,6000,4.233333333,2,0,4,2,0,3,73,10,6,0,1,1,4.242519685,8.612598425,1.4,7.5,0.186666667,0.180133333,0.1,4.4,0.022727273,0.012866667,9.617608143,3.865296165,48,0.083333333,0.801467345,0.5,0.400733673,33,0.090909091,0.601100509,18.52,0.965,5.17383486,76.2,0,y,Andres Rios
Tanner Beason,SJ,D,3400,5,0,0,3,0,3,1,250,3,2,6,4,0,4.22,4.22,0.1,7.5,0.013333333,0.012866667,0.1,4.4,0.022727273,0.012866667,9.617608143,3.865296165,48,0.0625,0.601100509,0,0,33,0.03030303,0.200366836,18.52,0.965,4.427334012,90,0,y,Tanner Beason
Larrys Mabiala,POR,D,4200,2.055555556,1,0,1,1,0,0,104,1,2,3,3,0,4.174054054,9.038918919,0.6,7.9,0.075949367,0.185696203,0,5.3,0,0,15.24716178,5.797239367,47,0.021276596,0.324407697,1,0.324407697,36,0,0,61.11,2.445,2.565056699,90,1.666666667,b,Larrys Mabiala
Marco Farfan,POR,D,4200,3.144444444,0,0,1,0,4,0,84,2,8,6,0,1,3.014840989,2.537809187,0,7.9,0,0,0,5.3,0,0,15.24716178,5.797239367,47,0.021276596,0.324407697,0,0,36,0,0,61.11,2.445,2.544195683,90,6.5,y,Marco Farfan
Dario Zuparic,POR,D,3600,4,0,0,1,1,0,0,135,5,4,0,0,1,1.925,1.55,0.2,7.9,0.025316456,0.061898734,0,5.3,0,0,15.24716178,5.797239367,47,0.021276596,0.324407697,1,0.324407697,36,0,0,61.11,2.445,2.317802737,90,0,y,Dario Zuparic
Pablo Bonilla,POR,D,5200,3.855555556,0,0,3,0,3,2,84,6,7,3,0,1,3.703746398,3.314697406,0.1,7.9,0.012658228,0.030949367,0.2,5.3,0.037735849,0.061898734,15.24716178,5.797239367,47,0.063829787,0.973223092,0,0,36,0.055555556,0.648815395,61.11,2.445,2.302924563,86.75,0,b,Pablo Bonilla
Cade Cowell,SJ,M,4400,1.122222222,0,0,3,3,0,0,10,1,1,0,0,0,5.97029703,5.97029703,0.4,7.5,0.053333333,0.051466667,0,4.4,0,0,9.617608143,3.865296165,48,0.0625,0.601100509,1,0.601100509,33,0,0,18.52,0.965,1.813897388,45,14,b,Cade Cowell
Paul Marie,SJ,D,3400,0.3,1,0,1,1,1,0,10,1,0,1,0,0,16.33333333,49.66666667,0.1,7.5,0.013333333,0.012866667,0,4.4,0,0,9.617608143,3.865296165,48,0.020833333,0.200366836,1,0.200366836,33,0,0,18.52,0.965,1.109400339,0,5.4,b,Paul Marie
Tomas Conechny,POR,F,6200,0.644444444,0,0,0,0,1,1,22,2,3,0,0,1,4.096551724,1.768965517,0,7.9,0,0,0.2,5.3,0.037735849,0.061898734,15.24716178,5.797239367,47,0,0,0,0,36,0.027777778,0.324407697,61.11,2.445,0.70364493,45,3.25,b,Tomas Conechny
Bill Tuiloma,POR,D,3000,2,0,0,1,0,1,0,60,0,4,0,0,0,0.45,0.45,0,7.9,0,0,0,5.3,0,0,15.24716178,5.797239367,47,0.021276596,0.324407697,0,0,36,0,0,61.11,2.445,0.274407697,90,0,y,Bill Tuiloma
Siad Haji,SJ,M,3200,0.033333333,0,0,0,0,0,1,4,0,0,0,0,0,32.4,32.4,0,7.5,0,0,0,4.4,0,0,9.617608143,3.865296165,48,0,0,0,0,33,0.03030303,0.200366836,18.52,0.965,0.216366836,0,0.6,b,Siad Haji
