player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andy Polo,POR,DELETE,DELETE,205.0,0.0,0.0,2.0,1.0,0.0,0.0,85.0,3.0,2.0,1.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Bill Tuiloma,POR,DELETE,DELETE,180.0,0.0,0.0,1.0,0.0,1.0,0.0,60.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Cristhian Paredes,POR,DELETE,DELETE,210.0,0.0,0.0,3.0,2.0,1.0,2.0,71.0,2.0,7.0,3.0,2.0,3.0,0.30000000000000004,0.1,DELETE,DELETE,DELETE
Dario Zuparic,POR,DELETE,DELETE,360.0,0.0,0.0,1.0,1.0,0.0,0.0,135.0,5.0,4.0,0.0,0.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Diego Chara,POR,DELETE,DELETE,448.0,0.0,2.0,1.0,0.0,0.0,4.0,233.0,7.0,7.0,5.0,4.0,1.0,0.1,0.9,DELETE,DELETE,DELETE
Eryk Williamson,POR,DELETE,DELETE,282.0,0.0,2.0,3.0,1.0,2.0,3.0,97.0,6.0,7.0,8.0,4.0,1.0,0.1,0.5,DELETE,DELETE,DELETE
Felipe Mora,POR,DELETE,DELETE,236.0,3.0,0.0,3.0,3.0,2.0,3.0,36.0,7.0,0.0,1.0,0.0,0.0,1.5,0.2,DELETE,DELETE,DELETE
Jaroslaw Niezgoda,POR,DELETE,DELETE,186.0,1.0,0.0,4.0,2.0,0.0,0.0,22.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,DELETE,DELETE,DELETE
Jeremy Ebobisse,POR,DELETE,DELETE,286.0,3.0,1.0,9.0,6.0,1.0,3.0,61.0,4.0,2.0,1.0,2.0,0.0,1.0,0.5,DELETE,DELETE,DELETE
Marco Farfan,POR,DELETE,DELETE,283.0,0.0,0.0,1.0,0.0,4.0,0.0,84.0,2.0,8.0,6.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Marvin Loria,POR,DELETE,DELETE,200.0,0.0,0.0,6.0,2.0,1.0,3.0,43.0,4.0,4.0,1.0,5.0,0.0,0.4,0.1,DELETE,DELETE,DELETE
Pablo Bonilla,POR,DELETE,DELETE,347.0,0.0,0.0,3.0,0.0,3.0,2.0,84.0,6.0,7.0,3.0,0.0,1.0,0.1,0.2,DELETE,DELETE,DELETE
Steve Clark,POR,DELETE,DELETE,360.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Tomas Conechny,POR,DELETE,DELETE,58.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,2.0,3.0,0.0,0.0,1.0,0.0,0.2,DELETE,DELETE,DELETE
Yimmi Chara,POR,DELETE,DELETE,286.0,3.0,2.0,8.0,4.0,5.0,4.0,97.0,2.0,0.0,0.0,4.0,0.0,1.8,0.7999999999999999,DELETE,DELETE,DELETE
Aljaz Ivacic,POR,DELETE,DELETE,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Diego Valeri,POR,DELETE,DELETE,296.0,3.0,1.0,6.0,3.0,13.0,11.0,104.0,6.0,3.0,1.0,0.0,0.0,1.1,1.0,DELETE,DELETE,DELETE
Jorge Villafana,POR,DELETE,DELETE,270.0,0.0,2.0,0.0,0.0,6.0,2.0,86.0,2.0,1.0,4.0,2.0,0.0,0.0,0.9,DELETE,DELETE,DELETE
Julio Cascante,POR,DELETE,DELETE,180.0,1.0,0.0,2.0,1.0,0.0,1.0,27.0,4.0,4.0,2.0,1.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Renzo Zambrano,POR,DELETE,DELETE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Larrys Mabiala,POR,DELETE,DELETE,185.0,1.0,0.0,1.0,1.0,0.0,0.0,104.0,1.0,2.0,3.0,3.0,0.0,0.6,0.0,DELETE,DELETE,DELETE
Andres Rios,SJ,DELETE,DELETE,381.0,2.0,0.0,4.0,2.0,0.0,3.0,73.0,10.0,6.0,0.0,1.0,1.0,1.4000000000000001,0.1,DELETE,DELETE,DELETE
Carlos Fierro,SJ,DELETE,DELETE,375.0,1.0,1.0,11.0,5.0,5.0,6.0,66.0,8.0,5.0,1.0,1.0,1.0,1.8,0.5,DELETE,DELETE,DELETE
Chris Wondolowski,SJ,DELETE,DELETE,281.0,0.0,0.0,7.0,1.0,2.0,3.0,50.0,3.0,2.0,1.0,0.0,0.0,1.5,0.2,DELETE,DELETE,DELETE
