Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Proj_Team_Goals,xA,Team_xA,xA_Share,Proj_Ast,Goal_Odds,Pts_w_GOdds,Start_Mins,Sub_Mins,Starting
Alphonso Davies,BAY,D,5800,4.92,0,1,2,0,9,5,218,6,6,9,9,1,0,0.48,14.77,2.55,13.57,2.34,14.93,2.57,13.71,2.36,2.19,1.7,12.8,0.13,0.29,,,88.6,,y
Alvaro Odriozola,BAY,D,4800,0.9,0,1,0,0,4,2,36,1,0,0,1,0,0,0.48,9.35,1.95,8.15,1.7,30.23,6.3,23.56,4.91,2.19,0.2,12.8,0.02,0.03,,,61,4,
Ander Herrera,PSG,M,3800,2.4,0,0,0,0,0,2,115,9,4,1,5,2,0,0.28,6.88,1.81,6.88,1.81,11.32,2.98,11.32,2.98,1.62,0.6,7.5,0.08,0.13,,,76.5,16.5,y
Angel Di Maria,PSG,M/F,8600,3.29,1,2,7,6,14,8,95,4,2,0,1,1,0,0.28,16.7,1.94,12.3,1.43,23.94,2.78,17.25,2.01,1.62,1.2,7.5,0.16,0.26,,,88.66666667,,y
Benjamin Pavard,BAY,D,4600,1.42,0,0,0,0,2,0,76,0,3,0,4,0,0,0.48,7.31,1.59,7.31,1.59,13.71,2.98,13.71,2.98,2.19,0,12.8,0,0,,,90,19,
Colin Dagba,PSG,D,3600,0.79,0,0,0,0,3,0,44,0,0,2,1,0,0,0.28,5.79,1.61,5.79,1.61,21.89,6.08,21.89,6.08,1.62,0,7.5,0,0,,,,17.75,
Corentin Tolisso,BAY,M,6400,0.41,1,0,2,1,0,1,22,0,0,0,1,0,0,0.48,9.49,1.48,7.49,1.17,62.26,9.73,37.94,5.93,2.19,0,12.8,0,0,,,,7.4,
David Alaba,BAY,D,3600,4.88,1,0,4,2,0,0,328,1,5,3,4,0,0,0.48,11.71,3.25,9.71,2.7,11.89,3.3,9.84,2.73,2.19,0,12.8,0,0,,,87.8,,y
Eric Maxim Choupo-Moting,PSG,M/F,5400,0.19,1,0,2,1,0,0,8,0,0,0,0,0,0,0.28,7.15,1.32,5.15,0.95,118.51,21.95,65.57,12.14,1.62,0,7.5,0,0,,,,4.25,
Idrissa Gueye,PSG,M,3200,2.42,0,0,2,1,1,1,126,4,4,3,2,0,0,0.28,7.22,2.26,7.22,2.26,11.95,3.73,11.95,3.73,1.62,0.2,7.5,0.03,0.04,,,72.66666667,0,
Ivan Perisic,BAY,M,7200,2.74,2,1,8,5,9,6,59,0,3,2,3,0,0,0.48,17.94,2.49,12.74,1.77,28.77,4,19.29,2.68,2.19,1.4,12.8,0.11,0.24,,,63.66666667,28,
Javi Martinez,BAY,M,3600,0.11,0,0,0,0,0,0,11,0,0,0,0,0,0,0.48,6.55,1.82,6.55,1.82,85.04,23.62,85.04,23.62,2.19,0,12.8,0,0,,,,2,
Jerome Boateng,BAY,D,3200,3.78,0,0,0,0,0,0,244,1,4,1,6,1,0,0.48,7.78,2.43,7.78,2.43,8.75,2.74,8.75,2.74,2.19,0,12.8,0,0,,,68,,y
Joshua Kimmich,BAY,D,6600,3.9,1,4,3,1,26,11,174,14,3,5,4,1,0,0.48,25.8,3.91,19,2.88,31.73,4.81,23.01,3.49,2.19,1.3,12.8,0.1,0.22,,,85.25,11,y
Juan Bernat,PSG,D,4600,2,1,0,1,1,1,2,111,5,2,3,1,1,0,0.28,9.16,1.99,7.16,1.56,18.74,4.07,13.74,2.99,1.62,0.1,7.5,0.01,0.02,,,90,0,y
Julian Draxler,PSG,M,5000,0.3,0,0,1,0,0,1,20,1,0,0,1,0,0,0.28,5.3,1.06,5.3,1.06,44.78,8.96,44.78,8.96,1.62,0.2,7.5,0.03,0.04,,,,6.75,
Keylor Navas,PSG,GK,5000,3.2,0,0,0,0,0,0,78,0,0,0,0,0,0,0.28,4.83,0.97,4.83,0.97,5.98,1.2,5.98,1.2,1.62,0,7.5,0,0,,,,,
