Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,PassLive,PassDead,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,FPPG-Floor,Team_Odds,FPPG_w_Odds,Floor_w_Odds,Opp_Def_OPRK,Starting
Kevin De Bruyne\Kevin-De-Bruyne,MCI,MF,40.3,15,23,114,31,375,176,44,1844,38,34,40,27,5,0,11400,25.29,2.22,18.15,7.15,0.55,25.79,18.65,16,y
Riyad Mahrez\Riyad-Mahrez,MCI,FWMF,34.6,13,13,116,49,149,103,15,1276,57,26,31,24,1,0,9600,20.41,2.13,14.40,6.01,0.55,20.91,14.90,16,
Sergio Agüero\Sergio-Aguero,MCI,FW,23.2,23,3,100,38,14,29,0,316,19,12,8,3,1,0,9400,19.49,2.07,8.80,10.69,0.55,19.99,9.30,16,
Raheem Sterling\Raheem-Sterling,MCI,FW,42.7,30,4,145,55,75,98,1,1130,60,42,42,23,6,0,10000,18.30,1.83,10.72,7.59,0.55,18.80,11.22,16,y
Gabriel Jesus\Gabriel-Jesus,MCI,FWMF,34.8,22,10,130,55,8,63,0,654,45,38,29,22,3,0,9000,17.48,1.94,9.43,8.05,0.55,17.98,9.93,16,y
Phil Foden\Phil-Foden,MCI,MF,19.1,8,9,63,23,51,43,2,546,16,18,16,10,2,1,8800,17.47,1.98,10.45,7.02,0.55,17.97,10.95,16,y
Marco Asensio\Marco-Asensio,RMA,FW,3.7,3,1,9,5,10,8,0,134,4,2,4,1,0,0,6800,20.32,2.99,10.59,9.73,0.24,17.70,7.97,2,
Mariano\Mariano,RMA,FW,1,1,0,9,3,0,1,0,11,0,4,0,0,1,0,5600,19.72,3.52,9.72,10.00,0.24,17.10,7.10,2,
Karim Benzema\Karim-Benzema,RMA,FW,43.1,26,11,152,68,25,127,0,1350,17,24,16,11,0,0,8000,17.26,2.16,9.70,7.56,0.24,14.64,7.08,2,y
David Silva\David-Silva,MCI,MF,28.6,6,11,55,17,45,93,1,1398,27,29,17,15,0,0,8200,13.58,1.66,9.18,4.41,0.55,14.08,9.68,16,
Toni Kroos\Toni-Kroos,RMA,MF,38.6,6,8,77,25,190,78,47,2658,55,37,57,33,3,0,7000,16.23,2.32,13.44,2.80,0.24,13.62,10.82,2,y
Bernardo Silva\Bernardo-Silva,MCI,FWMF,36.8,8,10,65,22,105,87,2,1532,29,34,34,32,6,0,8400,12.86,1.53,9.05,3.80,0.55,13.36,9.55,16,
Rodrygo\Rodrygo,RMA,FW,15.2,7,2,27,16,52,37,1,538,23,10,7,14,0,0,7400,15.93,2.15,10.54,5.39,0.24,13.31,7.92,2,y
