,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Brian Rodriguez,LAFC,M/F,10400,4.633333333333334,0,2,13,5,25,14,122,5,6,4,3,0,12.828776978417265,15.418705035971222,1.4,9.600000000000001,0.14583333333333331,0.2814583333333333,1.6,6.2,0.25806451612903225,0.32166666666666666,13.566900119845045,4.941395155087996,75.0,0.17333333333333334,2.3515960207731412,0.38461538461538464,0.9044600079896697,58.0,0.2413793103448276,2.532488022371075,47.22,1.9300000000000002,16.02112738446722,83.4,0.0,y,Brian Rodriguez
1,Maikel Chang,RSL,M,6200,3.9444444444444446,0,2,6,2,16,16,89,5,3,1,2,0,10.769577464788734,13.811830985915494,0.5,4.5,0.1111111111111111,0.15666666666666668,1.7,3.0,0.5666666666666667,0.5326666666666667,11.614360708333704,4.611523705443711,60.0,0.1,1.1614360708333704,0.3333333333333333,0.3871453569444568,40.0,0.4,3.0971628555556543,31.11,1.4100000000000001,13.820185597887473,84.75,16.0,y,Maikel Chang
2,Diego Rossi,LAFC,M/F,9800,4.955555555555556,2,0,16,7,9,7,120,1,2,0,1,0,7.91031390134529,11.946188340807174,2.0,9.600000000000001,0.20833333333333331,0.40208333333333335,0.8,6.2,0.12903225806451613,0.16083333333333333,13.566900119845045,4.941395155087996,75.0,0.21333333333333335,2.894272025566943,0.4375,1.2662440111855378,58.0,0.1206896551724138,1.2662440111855375,47.22,1.9300000000000002,12.252593381271353,89.2,0.0,y,Diego Rossi
3,Damir Kreilach,RSL,M,8800,4.766666666666667,2,0,13,4,0,4,141,10,6,4,1,1,7.40979020979021,11.290909090909091,1.6,4.5,0.35555555555555557,0.5013333333333334,0.3,3.0,0.09999999999999999,0.094,11.614360708333704,4.611523705443711,60.0,0.21666666666666667,2.5164448201389695,0.3076923076923077,0.7742907138889138,40.0,0.1,0.7742907138889136,31.11,1.4100000000000001,12.20635958125013,85.8,0.0,y,Damir Kreilach
4,Mark-Anthony Kaye,LAFC,M,7800,3.533333333333333,2,2,5,3,1,10,186,4,4,6,2,0,8.89245283018868,17.949056603773585,1.4,9.600000000000001,0.14583333333333331,0.2814583333333333,1.8,6.2,0.2903225806451613,0.361875,13.566900119845045,4.941395155087996,75.0,0.06666666666666667,0.9044600079896696,0.6,0.5426760047938017,58.0,0.1724137931034483,1.8089200159793393,47.22,1.9300000000000002,11.596889362096146,79.5,0.0,y,Mark-Anthony Kaye
5,Aaron Herrera,RSL,D,5200,5.0,0,0,5,1,16,7,220,4,5,8,9,0,8.52,8.52,0.2,4.5,0.044444444444444446,0.06266666666666668,0.4,3.0,0.13333333333333333,0.12533333333333335,11.614360708333704,4.611523705443711,60.0,0.08333333333333333,0.9678633923611419,0.2,0.1935726784722284,40.0,0.175,1.3550087493055987,31.11,1.4100000000000001,9.815111486805636,90.0,0.0,y,Aaron Herrera
6,Latif Blessing,LAFC,D,5000,4.5,0,0,5,0,7,2,248,16,11,12,1,0,8.857777777777777,8.857777777777777,0.5,9.600000000000001,0.05208333333333333,0.10052083333333334,0.2,6.2,0.03225806451612903,0.04020833333333333,13.566900119845045,4.941395155087996,75.0,0.06666666666666667,0.9044600079896696,0.0,0.0,58.0,0.034482758620689655,0.36178400319586784,47.22,1.9300000000000002,9.814924566741093,90.0,45.0,y,Latif Blessing
7,Jose Cifuentes,LAFC,M,7400,4.311111111111111,0,0,12,3,4,9,216,4,12,12,2,3,9.770103092783506,8.726288659793816,0.5,9.600000000000001,0.05208333333333333,0.10052083333333334,0.7,6.2,0.1129032258064516,0.14072916666666663,13.566900119845045,4.941395155087996,75.0,0.16,2.1707040191752074,0.25,0.5426760047938018,58.0,0.15517241379310345,1.6280280143814052,47.22,1.9300000000000002,8.914991371683747,77.6,0.0,y,Jose Cifuentes
8,Diego Palacios,LAFC,D,5800,3.611111111111111,0,0,0,0,14,2,198,8,6,13,0,0,9.348923076923077,9.348923076923077,0.0,9.600000000000001,0.0,0.0,0.1,6.2,0.016129032258064516,0.020104166666666666,13.566900119845045,4.941395155087996,75.0,0.0,0.0,0.0,0.0,58.0,0.034482758620689655,0.36178400319586784,47.22,1.9300000000000002,8.422409003195868,81.25,0.0,y,Diego Palacios
9,Pablo Ruiz,RSL,M,4800,3.922222222222222,0,0,10,4,0,4,197,3,4,10,1,2,8.525779036827196,7.760906515580737,0.4,4.5,0.08888888888888889,0.12533333333333335,0.0,3.0,0.0,0.0,11.614360708333704,4.611523705443711,60.0,0.16666666666666666,1.9357267847222839,0.4,0.7742907138889136,40.0,0.1,0.7742907138889136,31.11,1.4100000000000001,7.5392846053235285,79.5,35.0,y,Pablo Ruiz
10,Justin Meram,RSL,M/F,6600,3.8444444444444446,2,0,6,4,13,3,89,4,5,1,1,0,6.991907514450867,12.194219653179191,0.4,4.5,0.08888888888888889,0.12533333333333335,0.4,3.0,0.13333333333333333,0.12533333333333335,11.614360708333704,4.611523705443711,60.0,0.1,1.1614360708333704,0.6666666666666666,0.7742907138889136,40.0,0.075,0.5807180354166851,31.11,1.4100000000000001,7.2977781534723025,69.2,0.0,y,Justin Meram
