Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Diego Rossi,LAFC,M/F,12400,3.89,3,0,12,7,4,4,98,6,1,2,0,0,0,9.07,16.78,1.8,5.8,0.31,0.60,0.3,5.4,0.06,0.11,13.01,5.34,57,0.21,2.74,0.58,1.60,42,0.10,0.91,0.454545455,1.92,15.30,87.5,,y
Albert Rusnak,RSL,M,10800,3.09,0,1,7,2,31,8,124,5,1,1,1,0,0,15.27,17.22,0.4,5.2,0.08,0.12,0.6,2.9,0.21,0.32,10.00,3.21,59,0.12,1.19,0.29,0.34,42,0.19,1.36,0.3125,1.54,14.75,88.33333333,13,y
Jose Cifuentes,LAFC,M,6200,2.99,1,1,11,4,8,6,120,6,1,4,3,0,0,13.38,18.74,0.7,5.8,0.12,0.23,1.2,5.4,0.22,0.43,13.01,5.34,57,0.19,2.51,0.36,0.91,42,0.14,1.37,0.454545455,1.92,14.02,74.66666667,45,y
Brian Rodriguez,LAFC,M/F,11600,2.84,0,1,9,3,21,7,72,3,2,2,1,0,0,13.94,16.05,0.6,5.8,0.10,0.20,1.6,5.4,0.30,0.57,13.01,5.34,57,0.16,2.05,0.33,0.68,42,0.17,1.60,0.454545455,1.92,12.81,64,,y
Damir Kreilach,RSL,M,9200,3.14,2,1,10,6,1,3,184,8,9,3,3,2,0,9.98,17.29,1.2,5.2,0.23,0.35,0.2,2.9,0.07,0.11,10.00,3.21,59,0.17,1.69,0.60,1.02,42,0.07,0.51,0.3125,1.54,9.69,90,13,y
Maikel Chang,RSL,M,4400,2.12,1,2,3,1,10,7,53,3,2,1,0,1,0,10.39,20.05,0.8,5.2,0.15,0.24,0.8,2.9,0.28,0.42,10.00,3.21,59,0.05,0.51,0.33,0.17,42,0.17,1.19,0.3125,1.54,7.32,64,31.5,y
Corey Baird,RSL,M,9000,3.20,2,1,6,2,5,4,74,4,5,1,1,1,0,6.24,13.90,1,5.2,0.19,0.30,0.3,2.9,0.10,0.16,10.00,3.21,59,0.10,1.02,0.33,0.34,42,0.10,0.68,0.3125,1.54,7.27,90,18,y
Andy Najar,LAFC,M,4200,0.34,0,1,0,0,3,1,14,0,0,0,1,0,0,11.26,28.68,0,5.8,0.00,0.00,0.1,5.4,0.02,0.04,13.01,5.34,57,0.00,0.00,0.00,0.00,42,0.02,0.23,0.454545455,1.92,7.08,65,7.75,y
Bradley Wright-Phillips,LAFC,F,10400,2.63,1,0,11,4,0,1,41,4,1,0,0,0,0,7.72,11.51,1.4,5.8,0.24,0.46,0.2,5.4,0.04,0.07,13.01,5.34,57,0.19,2.51,0.36,0.91,42,0.02,0.23,0.454545455,1.92,5.90,64,45,
Pablo Ruiz,RSL,M,5800,2.76,1,0,5,3,3,6,150,0,2,2,4,0,0,8.02,11.65,0.2,5.2,0.04,0.06,0.3,2.9,0.10,0.16,10.00,3.21,59,0.08,0.85,0.60,0.51,42,0.14,1.02,0.3125,1.54,5.60,82.66666667,0,y
Justin Meram,RSL,M/F,7200,2.33,1,1,4,3,3,4,90,4,0,3,0,0,0,9.39,16.24,0.4,5.2,0.08,0.12,0.2,2.9,0.07,0.11,10.00,3.21,59,0.07,0.68,0.75,0.51,42,0.10,0.68,0.3125,1.54,5.52,67,22.5,y
Aaron Herrera,RSL,D,6000,3.00,0,0,3,0,12,1,134,0,5,3,7,1,0,6.36,5.86,0.1,5.2,0.02,0.03,0.1,2.9,0.03,0.05,10.00,3.21,59,0.05,0.51,0.00,0.00,42,0.02,0.17,0.3125,1.54,5.12,90,0,y
Justen Glad,RSL,D,3000,3.00,1,0,3,2,5,0,150,3,6,3,7,0,0,6.00,9.33,0.2,5.2,0.04,0.06,0,2.9,0.00,0.00,10.00,3.21,59,0.05,0.51,0.67,0.34,42,0.00,0.00,0.3125,1.54,5.08,90,0,y
Francisco Ginella,LAFC,M,3200,2.76,0,0,1,0,3,3,136,2,1,4,1,0,0,5.38,5.38,0,5.8,0.00,0.00,0,5.4,0.00,0.00,13.01,5.34,57,0.02,0.23,0.00,0.00,42,0.07,0.68,0.454545455,1.92,4.92,78,14,y
Bryce Duke,LAFC,M,3000,0.50,0,0,0,0,0,0,24,2,2,1,0,0,0,4.96,4.96,0,5.8,0.00,0.00,0,5.4,0.00,0.00,13.01,5.34,57,0.00,0.00,0.00,0.00,42,0.00,0.00,0.454545455,1.92,4.31,65,22.5,y
Daniel Musovski,LAFC,F,3600,0.67,1,0,1,1,0,0,9,1,1,1,1,0,0,6.27,21.27,0.1,5.8,0.02,0.03,0,5.4,0.00,0.00,13.01,5.34,57,0.02,0.23,1.00,0.23,42,0.00,0.00,0.454545455,1.92,3.66,65,15,y
Diego Palacios,LAFC,D,7000,3.48,0,0,2,0,14,4,165,6,6,10,10,1,0,10.67,10.24,0,5.8,0.00,0.00,1.3,5.4,0.24,0.46,13.01,5.34,57,0.04,0.46,0.00,0.00,42,0.10,0.91,0.454545455,1.92,3.54,78.25,20,
