Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Andres Ricaurte,DAL,M,8200,435,0,1,7,3,4,11,286,15,7,5,2,1,0.9,0.9,87,,y
Brandon Servania,DAL,M,3600,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,1.6,
Bressan,DAL,D,3600,480,0,0,1,1,0,0,270,2,2,3,7,0,0.8,0,90,,y
Bryan Reynolds,DAL,D,5200,433,0,1,1,1,12,5,217,5,8,4,1,1,0.1,0.7,90,,y
Ema Twumasi,DAL,M,3800,70,0,0,0,0,3,1,26,1,3,1,0,1,0.8,0,,8,
Fafa Picault,DAL,M,7200,308,2,0,4,3,13,6,98,4,5,5,5,2,0.9,0.7,83.66666667,19,y
Franco Jara,DAL,F,7800,318,2,0,13,6,4,5,52,4,8,1,0,0,3.5,0.5,83.33333333,19,y
Harold Santiago Mosquera,DAL,M,6000,79,0,0,3,2,1,0,21,2,1,2,0,0,0.2,0,52,6.75,
Jesus Ferreira,DAL,F,4000,321,0,0,2,1,1,3,90,2,1,3,3,0,0.1,0.4,64.2,,y
Jimmy Maurer,DAL,GK,5000,390,0,0,0,0,0,0,101,2,0,0,0,0,0,0,90,0,
John Nelson,DAL,D,4200,225,0,0,0,0,1,0,104,1,0,4,1,0,0,0,87,2,
Matt Hedges,DAL,D,3400,480,0,0,1,0,1,1,268,1,1,1,5,0,0.8,0.3,90,,y
Michael Barrios,DAL,M/F,9000,359,0,1,7,0,18,9,82,4,3,4,1,0,0.3,1.5,81,5,y
Phelipe Megiolaro,DAL,GK,4800,90,0,0,0,0,0,0,15,0,0,0,0,0,0,0,90,0,
Reto Ziegler,DAL,D,6200,34,0,0,0,0,1,0,20,0,1,1,0,0,0.8,0,90,0,
Ricardo Pepi,DAL,F,4600,216,1,0,10,6,1,2,50,3,5,2,0,0,2.8,0.2,80.5,8.333333333,
Ryan Hollingshead,DAL,D,6600,480,2,0,10,5,4,3,188,10,7,12,6,3,2.2,0.2,90,,y
Tanner Tessmann,DAL,M,3800,136,0,0,4,0,3,1,68,1,1,2,1,0,0.8,0,,21.2,
Thiago dos Santos,DAL,M,3800,418,0,0,1,0,1,1,232,8,10,12,9,2,0.4,0.2,83.6,,y
Alex Roldan,SEA,M,4800,224,0,0,1,0,9,5,109,2,3,5,1,0,0,0.3,175,16.33333333,
Brad Smith,SEA,D,4600,48,0,0,0,0,1,0,15,0,2,0,0,0,0,0,,9.6,
Cristian Roldan,SEA,M,6800,397,0,2,5,1,10,3,241,6,4,9,3,0,0.3,0.1,90,37,y
Ethan Dobbelaere,SEA,M,4000,53,0,0,1,0,1,0,9,0,1,0,0,0,0.1,0,53,0,
Gustav Svensson,SEA,M,4000,243,0,0,3,0,2,2,164,2,3,2,2,0,0.1,0.2,81,0,
Jimmy Medranda,SEA,M,7400,14,0,0,0,0,0,0,12,0,0,1,0,0,0,0,,2.8,
Joao Paulo Mior,SEA,M,6400,345,0,0,3,0,3,2,298,4,3,13,3,0,0,0.1,82,17,y
Joevin Jones,SEA,M,4600,221,0,0,3,1,1,0,103,4,0,1,2,0,0.1,0,67.66666667,9,y
Jordan Morris,SEA,F,9600,387,3,2,7,4,9,7,131,2,2,3,1,1,1.7,1.1,87.5,37,y
Jordy Delem,SEA,M,4200,97,0,0,1,0,0,0,50,0,0,1,1,0,0.1,0,72,6,
Joshua Atencio,SEA,M,3800,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.2,
Kelvin Leerdam,SEA,D,5000,237,0,0,3,0,4,1,103,0,1,2,2,0,0.2,0,79,0,y
Nicolas Lodeiro,SEA,M/F,12400,450,3,1,13,5,17,11,306,15,4,3,2,1,1.2,0.8,90,,y
Nouhou Tolo,SEA,D,5600,405,0,1,2,0,6,4,245,5,8,9,5,0,0.2,0.6,81,,y
Raul Ruidiaz,SEA,F,10800,450,4,2,16,7,5,5,105,5,1,0,1,0,1.5,1.4,90,,y
Roman Torres,SEA,D,3000,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,,1.8,
Shandon Hopeau,SEA,F,4200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,
Shane O'Neill,SEA,D,3200,270,0,0,0,0,0,0,139,0,4,3,3,1,0,0,90,0,y
Stefan Frei,SEA,GK,7000,450,0,0,0,0,0,0,158,1,0,0,0,0,0,0,90,,
Will Bruin,SEA,F,4800,18,0,0,1,0,1,0,8,1,0,0,0,0,0,0,,3.6,
Xavier Arreaga,SEA,D,3400,270,0,0,1,0,0,0,191,4,3,2,2,1,0.3,0,90,0,
Yeimar Gomez Andrade,SEA,D,4400,360,0,0,2,0,0,0,238,4,4,2,9,1,0.2,0,90,0,y
