,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
0,Nicolas Lodeiro,SEA,M/F,12400,5.0,3,1,13,5,17,11,306,15,4,3,2,1,12.803999999999998,19.704,0.24,1.1796620685061616,0.20344809450719947,0.376601552477869,0.16,0.8551461514668632,0.18710252010787418,0.25106770165191267,17.31608552390901,6.327951094624556,54.0,0.24074074074074073,4.168687255755873,0.38461538461538464,1.6033412522137973,33.0,0.3333333333333333,3.527350754870354,60.24,1.8510940266611446,21.27580099753019,90.0,0.0,y,Nicolas Lodeiro
1,Raul Ruidiaz,SEA,F,10800,5.0,4,2,16,7,5,5,105,5,1,0,1,0,7.720000000000001,18.119999999999997,0.3,1.1796620685061616,0.25431011813399934,0.4707519405973362,0.27999999999999997,0.8551461514668632,0.3274294101887798,0.4393684778908472,17.31608552390901,6.327951094624556,54.0,0.2962962962962963,5.130692007084151,0.4375,2.244677753099316,33.0,0.15151515151515152,1.6033412522137975,60.24,1.8510940266611446,18.44244128571571,90.0,0.0,y,Raul Ruidiaz
2,Jordan Morris,SEA,F,9600,4.3,3,2,7,4,9,7,131,2,2,3,1,1,7.306976744186048,16.72558139534884,0.38436692506459946,1.1796620685061616,0.3258279937332679,0.603138252918637,0.24870801033591733,0.8551461514668632,0.29083684690540845,0.3902659283591182,17.31608552390901,6.327951094624556,54.0,0.12962962962962962,2.244677753099316,0.5714285714285714,1.2826730017710377,33.0,0.21212121212121213,2.2446777530993165,60.24,1.8510940266611446,16.840097046587232,87.5,37.0,y,Jordan Morris
3,Franco Jara,DAL,F,7800,3.533333333333333,2,0,13,6,4,5,52,4,8,1,0,0,8.162264150943397,13.822641509433963,0.9171907756446541,2.242644536818575,0.408977330373446,0.45792171301760437,0.131027253663522,1.1988654160399925,0.10929271285205804,0.06541738757394347,12.687469755680777,3.9603722331453066,47.0,0.2765957446808511,3.5093001451883,0.46153846153846156,1.619676990086908,44.0,0.11363636363636363,1.349730825072423,19.23,1.11967505044709,12.718773231430232,83.33333333,19.0,y,Franco Jara
4,Andres Ricaurte,DAL,M,8200,4.833333333333333,0,1,7,3,4,11,286,15,7,5,2,1,9.728275862068966,10.659310344827588,0.18000000000000002,2.242644536818575,0.0802623853423284,0.08986779035717532,0.18000000000000002,1.1988654160399925,0.15014195721364895,0.0898677903571753,12.687469755680777,3.9603722331453066,47.0,0.14893617021276595,1.8896231551013922,0.42857142857142855,0.8098384950434537,44.0,0.25,2.9694078151593306,19.23,1.11967505044709,12.010754111018981,87.0,0.0,y,Andres Ricaurte
5,Ryan Hollingshead,DAL,D,6600,5.333333333333333,2,0,10,5,4,3,188,10,7,12,6,3,8.63625,11.5425,0.41250000000000003,2.242644536818575,0.18393463307616922,0.20594701956852676,0.037500000000000006,1.1988654160399925,0.0312795744195102,0.018722456324411524,12.687469755680777,3.9603722331453066,47.0,0.2127659574468085,2.6994616501448463,0.5,1.3497308250724231,44.0,0.06818181818181818,0.8098384950434537,19.23,1.11967505044709,11.44833590389246,90.0,0.0,y,Ryan Hollingshead
6,Michael Barrios,DAL,M/F,9000,3.988888888888889,0,1,7,0,18,9,82,4,3,4,1,0,9.335933147632312,10.840111420612814,0.06768802228412257,2.242644536818575,0.030182234042379758,0.033794294424007436,0.3384401114206128,1.1988654160399925,0.2823003373794235,0.16897147212003713,12.687469755680777,3.9603722331453066,47.0,0.14893617021276595,1.8896231551013922,0.0,0.0,44.0,0.20454545454545456,2.4295154851303615,19.23,1.11967505044709,10.463222394907929,81.0,5.0,y,Michael Barrios
7,Cristian Roldan,SEA,M,6800,4.411111111111111,0,2,5,1,10,3,241,6,4,9,3,0,8.00705289672544,10.727455919395466,0.06801007556675062,1.1796620685061616,0.05765216783894191,0.10671958351073113,0.022670025188916875,0.8551461514668632,0.026510117773470836,0.03557319450357705,17.31608552390901,6.327951094624556,54.0,0.09259259259259259,1.603341252213797,0.2,0.32066825044275943,33.0,0.09090909090909091,0.9620047513282785,60.24,1.8510940266611446,10.133399885836528,90.0,37.0,y,Cristian Roldan
8,Fafa Picault,DAL,M,7200,3.422222222222222,2,0,4,3,13,6,98,4,5,5,5,2,9.660389610389611,14.62792207792208,0.24448051949025973,2.242644536818575,0.1090143870223325,0.12206068928868874,0.19015151515909087,1.1988654160399925,0.15860955918403744,0.09493609166898011,12.687469755680777,3.9603722331453066,47.0,0.0851063829787234,1.0797846600579384,0.75,0.8098384950434538,44.0,0.13636363636363635,1.6196769900869075,19.23,1.11967505044709,9.933787657537769,83.66666667,19.0,y,Fafa Picault
9,Nouhou Tolo,SEA,D,5600,4.5,0,1,2,0,6,4,245,5,8,9,5,0,6.133333333333334,7.466666666666667,0.04,1.1796620685061616,0.033908015751199914,0.06276692541297817,0.12,0.8551461514668632,0.14032689008090563,0.18830077623893451,17.31608552390901,6.327951094624556,54.0,0.037037037037037035,0.6413365008855189,0.0,0.0,33.0,0.12121212121212122,1.282673001771038,60.24,1.8510940266611446,8.001483414219948,81.0,0.0,y,Nouhou Tolo
