player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Alex Roldan,SEA,DELETE,DELETE,224.0,0.0,0.0,1.0,0.0,9.0,5.0,109.0,2.0,3.0,5.0,1.0,0.0,0.0,0.3,DELETE,DELETE,DELETE
Cristian Roldan,SEA,DELETE,DELETE,397.0,0.0,2.0,5.0,1.0,10.0,3.0,241.0,6.0,4.0,9.0,3.0,0.0,0.30000000000000004,0.1,DELETE,DELETE,DELETE
Gustav Svensson,SEA,DELETE,DELETE,243.0,0.0,0.0,3.0,0.0,2.0,2.0,164.0,2.0,3.0,2.0,2.0,0.0,0.1,0.2,DELETE,DELETE,DELETE
Joao Paulo Mior,SEA,DELETE,DELETE,345.0,0.0,0.0,3.0,0.0,3.0,2.0,298.0,4.0,3.0,13.0,3.0,0.0,0.0,0.1,DELETE,DELETE,DELETE
Joevin Jones,SEA,DELETE,DELETE,221.0,0.0,0.0,3.0,1.0,1.0,0.0,103.0,4.0,0.0,1.0,2.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Jordan Morris,SEA,DELETE,DELETE,387.0,3.0,2.0,7.0,4.0,9.0,7.0,131.0,2.0,2.0,3.0,1.0,1.0,1.7,1.1,DELETE,DELETE,DELETE
Kelvin Leerdam,SEA,DELETE,DELETE,237.0,0.0,0.0,3.0,0.0,4.0,1.0,103.0,0.0,1.0,2.0,2.0,0.0,0.2,0.0,DELETE,DELETE,DELETE
Nicolas Lodeiro,SEA,DELETE,DELETE,450.0,3.0,1.0,13.0,5.0,17.0,11.0,306.0,15.0,4.0,3.0,2.0,1.0,1.2,0.8,DELETE,DELETE,DELETE
Nouhou Tolo,SEA,DELETE,DELETE,405.0,0.0,1.0,2.0,0.0,6.0,4.0,245.0,5.0,8.0,9.0,5.0,0.0,0.2,0.6000000000000001,DELETE,DELETE,DELETE
Raul Ruidiaz,SEA,DELETE,DELETE,450.0,4.0,2.0,16.0,7.0,5.0,5.0,105.0,5.0,1.0,0.0,1.0,0.0,1.5000000000000002,1.4,DELETE,DELETE,DELETE
Roman Torres,SEA,DELETE,DELETE,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Stefan Frei,SEA,DELETE,DELETE,450.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Xavier Arreaga,SEA,DELETE,DELETE,270.0,0.0,0.0,1.0,0.0,0.0,0.0,191.0,4.0,3.0,2.0,2.0,1.0,0.3,0.0,DELETE,DELETE,DELETE
Yeimar Gomez Andrade,SEA,DELETE,DELETE,360.0,0.0,0.0,2.0,0.0,0.0,0.0,238.0,4.0,4.0,2.0,9.0,1.0,0.2,0.0,DELETE,DELETE,DELETE
Brad Smith,SEA,DELETE,DELETE,48.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Jordy Delem,SEA,DELETE,DELETE,97.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,1.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
Shane O'Neill,SEA,DELETE,DELETE,270.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,DELETE,DELETE,DELETE
Will Bruin,SEA,DELETE,DELETE,18.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DELETE,DELETE,DELETE
Ethan Dobbelaere,SEA,DELETE,DELETE,53.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,DELETE,DELETE,DELETE
