Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,xG,xA,Start_Mins,Sub_Mins,Starting
Brian Rodriguez,LAFC,M/F,9400,380.00,0,2,13,4,34,15,99,7,4,3,2,0,0,0.7,2.5,76,,y
Nicolas Lodeiro,SEA,M/F,9200,431.00,1,2,3,1,29,8,300,8,5,0,3,0,0,0.9,2.7,86.2,,y
Jordan Morris,SEA,F,9600,370.00,3,2,8,6,2,6,105,5,1,5,2,0,0,2.7,1.2,83.75,35,y
Diego Rossi,LAFC,M/F,10200,440.00,4,0,15,9,7,7,127,3,1,1,0,0,0,2.4,0.9,88,,y
Jose Cifuentes,LAFC,M,6400,387.00,1,1,18,7,10,11,180,5,6,9,3,2,0,0.9,1.5,77.4,,y
Raul Ruidiaz,SEA,F,9000,359.00,5,2,13,6,1,6,78,2,4,1,2,0,0,2.4,1.4,71.8,,y
Diego Palacios,LAFC,D,4600,339.00,0,0,2,0,13,4,187,3,7,9,12,1,0,0,1.3,84.75,0,y
Nouhou Tolo,SEA,D,4800,206.00,0,0,3,2,4,1,86,4,3,5,5,0,0,0.6,0.5,80,15.33333333,y
Joao Paulo Mior,SEA,M,8200,350.00,1,1,3,1,13,3,226,7,7,6,7,1,0,0.2,0.5,82.5,20,y
Latif Blessing,LAFC,D,5000,405.00,0,0,4,2,0,2,204,13,9,11,8,2,0,0.4,0.1,90,45,y
Joevin Jones,SEA,M,6600,341.00,2,2,4,2,9,2,197,6,3,2,2,0,0,1,0.2,80.25,20,y
Kelvin Leerdam,SEA,D,5400,335.00,3,1,7,3,7,4,140,0,4,2,5,1,0,1.2,0.5,81.75,8,y
Bradley Wright-Phillips,LAFC,F,8400,288.00,2,1,14,6,0,1,49,5,4,1,1,0,0,2,0.2,67.75,27,y
Cristian Roldan,SEA,M,4000,412.00,0,0,4,1,12,3,144,12,4,4,1,1,0,0,0.2,82.4,,y
Francisco Ginella,LAFC,M,3800,338.00,0,1,2,1,5,5,194,4,1,7,1,0,0,0.3,0.3,81,14,y
Dejan Jakovic,LAFC,D,3000,265.00,0,0,0,0,0,3,151,1,0,5,7,0,0,0,0.1,90,28.33333333,y
Yeimar Gomez Andrade,SEA,D,3400,405.00,1,0,3,1,0,0,152,3,6,8,16,0,0,0.2,0,81,,y
Mark-Anthony Kaye,LAFC,M,5200,308.00,1,2,2,1,0,4,197,2,5,4,3,1,1,0.9,0.5,77,,y
Eddie Segura,LAFC,D,3200,384.00,0,0,0,0,0,1,257,1,4,5,9,0,0,0,0,84.75,45,y
Tristan Blackmon,LAFC,D,3000,290.00,0,0,1,0,3,3,154,1,4,4,8,0,0,0.7,0.3,81.66666667,45,
Xavier Arreaga,SEA,D,3600,185.00,0,1,0,0,0,1,113,2,5,2,3,1,0,0,0.4,90,1.666666667,y
Shane O'Neill,SEA,D,3000,403.00,0,0,1,0,0,0,180,2,6,8,6,1,0,0.1,0,89.5,45,
Andy Najar,LAFC,M,4000,102.00,0,1,0,0,4,2,44,1,2,2,5,0,0,0,0.1,45,14.25,
Adrien Perez,LAFC,F,6800,100.00,0,0,2,0,0,0,23,2,2,2,0,0,0,0.5,0,,20,
Stefan Frei,SEA,GK,6000,450.00,0,0,0,0,0,0,143,1,0,0,0,0,0,0,0,90,,y
Daniel Musovski,LAFC,F,3600,134.00,2,0,4,3,0,0,24,1,3,1,1,0,0,0.7,0,63,17.75,
Christian Torres,LAFC,F,3800,23.00,0,0,0,0,3,0,10,0,0,1,0,0,0,0,0,,4.6,
Alex Roldan,SEA,M,4600,132.00,0,1,0,0,4,1,50,1,3,3,1,0,0,0,0.1,82,12.5,
Bryce Duke,LAFC,M,3000,64.00,0,0,0,0,5,1,26,2,2,2,3,0,0,0,0,45,4.75,
Mohamed El Monir,LAFC,D,3600,21.00,0,0,0,0,3,1,16,0,1,1,0,0,0,0,0,,4.2,
Will Bruin,SEA,F,6200,126.00,0,0,3,1,0,2,29,1,2,0,1,1,0,0.3,0.3,,25.2,
Miguel Ibarra,SEA,M,3000,14.00,0,0,1,0,1,0,4,0,0,1,1,0,0,0.3,0,,2.8,
Jordy Delem,SEA,M,3000,178.00,0,0,0,0,0,1,66,4,6,1,2,0,0,0,0,65.5,15.66666667,
Pablo Sisniega,LAFC,GK,5600,360.00,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,90,0,y
Handwalla Bwana,SEA,M,3000,67.00,0,0,1,1,1,0,17,1,1,1,0,0,0,0.1,0,55,3,
Eduard Atuesta,LAFC,M,5200,11.00,0,0,1,0,0,0,11,0,1,0,1,0,0,0.1,0,,2.2,
Danilo da Silva,LAFC,D,3400,38.00,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,38,0,
Jordan Harvey,LAFC,D,3000,90.00,0,0,0,0,0,0,32,1,4,0,3,1,0,0,0,90,0,
Mohamed Traore,LAFC,D,3000,45.00,0,0,1,0,0,0,37,0,0,0,0,0,0,0,0,45,0,
Joshua Atencio,SEA,M,3600,6.00,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,,1.2,
Gustav Svensson,SEA,M,3200,180.00,0,0,2,0,0,0,91,1,3,6,4,0,0,0.1,0,90,0,
